"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/1988","936.00","936.00","936.00","936.00","","-6.88%"
"02/01/1988","1,083.34","1,083.34","1,083.34","1,083.34","","15.74%"
"03/01/1988","1,062.33","1,062.33","1,062.33","1,062.33","","-1.94%"
"04/01/1988","1,049.17","1,049.17","1,049.17","1,049.17","","-1.24%"
"05/01/1988","1,075.66","1,075.66","1,075.66","1,075.66","","2.52%"
"06/01/1988","1,133.81","1,133.81","1,133.81","1,133.81","","5.41%"
"07/01/1988","1,178.53","1,178.53","1,178.53","1,178.53","","3.94%"
"08/01/1988","1,169.46","1,169.46","1,169.46","1,169.46","","-0.77%"
"09/01/1988","1,253.68","1,253.68","1,253.68","1,253.68","","7.20%"
"10/01/1988","1,308.25","1,308.25","1,308.25","1,308.25","","4.35%"
"11/01/1988","1,273.76","1,273.76","1,273.76","1,273.76","","-2.64%"
"12/01/1988","1,330.23","1,330.23","1,330.23","1,330.23","","4.43%"
"01/01/1989","1,324.34","1,324.34","1,324.34","1,324.34","","-0.44%"
"02/01/1989","1,289.79","1,289.79","1,289.79","1,289.79","","-2.61%"
"03/01/1989","1,319.88","1,319.88","1,319.88","1,319.88","","2.33%"
"04/01/1989","1,374.04","1,374.04","1,374.04","1,374.04","","4.10%"
"05/01/1989","1,407.05","1,407.05","1,407.05","1,407.05","","2.40%"
"06/01/1989","1,477.22","1,477.22","1,477.22","1,477.22","","4.99%"
"07/01/1989","1,548.68","1,548.68","1,548.68","1,548.68","","4.84%"
"08/01/1989","1,594.70","1,594.70","1,594.70","1,594.70","","2.97%"
"09/01/1989","1,570.64","1,570.64","1,570.64","1,570.64","","-1.51%"
"10/01/1989","1,464.87","1,464.87","1,464.87","1,464.87","","-6.73%"
"11/01/1989","1,556.41","1,556.41","1,556.41","1,556.41","","6.25%"
"12/01/1989","1,778.12","1,778.12","1,778.12","1,778.12","","14.24%"
"01/01/1990","1,821.21","1,821.21","1,821.21","1,821.21","","2.42%"
"02/01/1990","1,806.63","1,806.63","1,806.63","1,806.63","","-0.80%"
"03/01/1990","1,966.75","1,966.75","1,966.75","1,966.75","","8.86%"
"04/01/1990","1,812.91","1,812.91","1,812.91","1,812.91","","-7.82%"
"05/01/1990","1,836.69","1,836.69","1,836.69","1,836.69","","1.31%"
"06/01/1990","1,884.67","1,884.67","1,884.67","1,884.67","","2.61%"
"07/01/1990","1,922.92","1,922.92","1,922.92","1,922.92","","2.03%"
"08/01/1990","1,622.01","1,622.01","1,622.01","1,622.01","","-15.65%"
"09/01/1990","1,327.98","1,327.98","1,327.98","1,327.98","","-18.13%"
"10/01/1990","1,434.50","1,434.50","1,434.50","1,434.50","","8.02%"
"11/01/1990","1,436.57","1,436.57","1,436.57","1,436.57","","0.14%"
"12/01/1990","1,389.35","1,389.35","1,389.35","1,389.35","","-3.29%"
"01/01/1991","1,421.16","1,421.16","1,421.16","1,421.16","","2.29%"
"02/01/1991","1,564.45","1,564.45","1,564.45","1,564.45","","10.08%"
"03/01/1991","1,515.32","1,515.32","1,515.32","1,515.32","","-3.14%"
"04/01/1991","1,606.87","1,606.87","1,606.87","1,606.87","","6.04%"
"05/01/1991","1,707.96","1,707.96","1,707.96","1,707.96","","6.29%"
"06/01/1991","1,623.73","1,623.73","1,623.73","1,623.73","","-4.93%"
"07/01/1991","1,619.29","1,628.75","1,647.84","1,604.95","","-0.27%"
"08/01/1991","1,649.88","1,620.49","1,654.11","1,501.82","","1.89%"
"09/01/1991","1,605.47","1,653.52","1,657.51","1,605.47","","-2.69%"
"10/01/1991","1,579.77","1,609.32","1,609.32","1,561.89","","-1.60%"
"11/01/1991","1,571.06","1,572.58","1,627.08","1,568.09","","-0.55%"
"12/01/1991","1,577.26","1,549.81","1,577.26","1,542.77","","0.39%"
"01/01/1992","1,685.70","1,598.19","1,687.07","1,581.68","","6.88%"
"02/01/1992","1,746.76","1,685.66","1,746.76","1,676.17","","3.62%"
"03/01/1992","1,718.35","1,749.29","1,763.86","1,698.84","","-1.63%"
"04/01/1992","1,728.09","1,706.69","1,753.10","1,706.69","","0.57%"
"05/01/1992","1,806.36","1,731.29","1,812.33","1,719.92","","4.53%"
"06/01/1992","1,754.95","1,798.23","1,800.62","1,752.83","","-2.85%"
"07/01/1992","1,608.49","1,759.90","1,776.50","1,608.49","","-8.35%"
"08/01/1992","1,529.97","1,605.11","1,624.94","1,464.03","","-4.88%"
"09/01/1992","1,470.09","1,516.44","1,601.50","1,470.09","","-3.91%"
"10/01/1992","1,489.68","1,484.78","1,536.60","1,402.34","","1.33%"
"11/01/1992","1,545.12","1,482.44","1,550.27","1,470.57","","3.72%"
"12/01/1992","1,538.43","1,546.82","1,547.51","1,472.59","","-0.43%"
"01/01/1993","1,574.04","1,538.04","1,593.35","1,510.18","","2.31%"
"02/01/1993","1,680.02","1,590.33","1,683.30","1,584.14","","6.73%"
"03/01/1993","1,676.84","1,691.37","1,714.48","1,653.20","","-0.19%"
"04/01/1993","1,626.83","1,670.04","1,687.14","1,618.60","","-2.98%"
"05/01/1993","1,627.21","1,632.00","1,636.02","1,606.64","","0.02%"
"06/01/1993","1,700.93","1,625.59","1,712.33","1,625.59","","4.53%"
"07/01/1993","1,823.07","1,698.36","1,859.49","1,694.83","","7.18%"
"08/01/1993","1,931.88","1,818.10","1,937.77","1,818.10","","5.97%"
"09/01/1993","1,910.23","1,923.67","1,928.63","1,852.81","","-1.12%"
"10/01/1993","2,064.98","1,920.46","2,083.62","1,920.46","","8.10%"
"11/01/1993","2,052.92","2,068.51","2,086.40","2,007.50","","-0.58%"
"12/01/1993","2,255.29","2,089.77","2,284.18","2,089.77","","9.86%"
"01/01/1994","2,192.60","2,252.43","2,280.41","2,056.11","","-2.78%"
"02/01/1994","2,103.24","2,207.06","2,208.40","2,053.65","","-4.08%"
"03/01/1994","2,142.88","2,101.99","2,187.18","1,999.11","","1.88%"
"04/01/1994","2,252.51","2,134.25","2,267.60","2,130.58","","5.12%"
"05/01/1994","2,137.34","2,261.23","2,281.72","2,108.91","","-5.11%"
"06/01/1994","2,020.85","2,143.62","2,170.25","1,953.15","","-5.45%"
"07/01/1994","2,152.19","2,024.74","2,168.78","2,019.65","","6.50%"
"08/01/1994","2,207.09","2,150.58","2,227.70","2,094.12","","2.55%"
"09/01/1994","2,002.30","2,209.57","2,215.75","1,984.65","","-9.28%"
"10/01/1994","2,061.58","1,995.80","2,147.03","1,930.55","","2.96%"
"11/01/1994","2,057.28","2,052.22","2,115.90","2,025.36","","-0.21%"
"12/01/1994","2,097.51","2,054.16","2,116.32","1,998.20","","1.96%"
"01/01/1995","2,024.82","2,091.47","2,095.50","2,007.10","","-3.47%"
"02/01/1995","2,097.85","2,028.70","2,149.86","2,026.72","","3.61%"
"03/01/1995","1,914.69","2,100.20","2,131.77","1,891.71","","-8.73%"
"04/01/1995","2,017.95","1,916.17","2,031.84","1,908.83","","5.39%"
"05/01/1995","2,099.95","2,022.81","2,116.68","2,018.90","","4.06%"
"06/01/1995","2,089.04","2,116.64","2,174.14","2,079.86","","-0.52%"
"07/01/1995","2,222.51","2,081.01","2,246.52","2,081.01","","6.39%"
"08/01/1995","2,234.23","2,225.67","2,278.12","2,203.05","","0.53%"
"09/01/1995","2,201.27","2,237.28","2,320.58","2,164.68","","-1.48%"
"10/01/1995","2,165.76","2,206.35","2,219.04","2,094.35","","-1.61%"
"11/01/1995","2,254.95","2,162.45","2,255.81","2,151.74","","4.12%"
"12/01/1995","2,260.69","2,256.21","2,293.66","2,227.23","","0.25%"
"01/01/1996","2,463.00","2,259.92","2,471.79","2,259.92","","8.95%"
"02/01/1996","2,485.18","2,458.46","2,494.66","2,358.49","","0.90%"
"03/01/1996","2,489.35","2,489.95","2,527.28","2,387.74","","0.17%"
"04/01/1996","2,492.63","2,495.79","2,559.60","2,477.24","","0.13%"
"05/01/1996","2,523.81","2,501.23","2,572.68","2,451.93","","1.25%"
"06/01/1996","2,570.44","2,517.36","2,582.79","2,516.31","","1.85%"
"07/01/1996","2,491.50","2,567.01","2,589.91","2,442.88","","-3.07%"
"08/01/1996","2,534.49","2,499.01","2,574.60","2,486.79","","1.73%"
"09/01/1996","2,655.49","2,534.97","2,672.48","2,509.36","","4.77%"
"10/01/1996","2,671.40","2,646.98","2,745.82","2,644.49","","0.60%"
"11/01/1996","2,848.84","2,679.47","2,854.59","2,661.51","","6.64%"
