"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/1970","777.59","777.59","777.59","777.59","","4.51%"
"03/01/1970","785.57","785.57","785.57","785.57","","1.03%"
"04/01/1970","736.07","736.07","736.07","736.07","","-6.30%"
"05/01/1970","700.44","700.44","700.44","700.44","","-4.84%"
"06/01/1970","683.53","683.53","683.53","683.53","","-2.41%"
"07/01/1970","734.12","734.12","734.12","734.12","","7.40%"
"08/01/1970","764.58","764.58","764.58","764.58","","4.15%"
"09/01/1970","760.68","760.68","760.68","760.68","","-0.51%"
"10/01/1970","755.61","755.61","755.61","755.61","","-0.67%"
"11/01/1970","794.09","794.09","794.09","794.09","","5.09%"
"12/01/1970","838.92","838.92","838.92","838.92","","5.65%"
"01/01/1971","868.50","868.50","868.50","868.50","","3.53%"
"02/01/1971","878.83","878.83","878.83","878.83","","1.19%"
"03/01/1971","904.37","904.37","904.37","904.37","","2.91%"
"04/01/1971","941.75","941.75","941.75","941.75","","4.13%"
"05/01/1971","907.81","907.81","907.81","907.81","","-3.60%"
"06/01/1971","891.14","891.14","891.14","891.14","","-1.84%"
"07/01/1971","858.43","858.43","858.43","858.43","","-3.67%"
"08/01/1971","898.07","898.07","898.07","898.07","","4.62%"
"09/01/1971","887.19","887.19","887.19","887.19","","-1.21%"
"10/01/1971","839.00","839.00","839.00","839.00","","-5.43%"
"11/01/1971","831.34","831.34","831.34","831.34","","-0.91%"
"12/01/1971","890.20","890.20","890.20","890.20","","7.08%"
"01/01/1972","902.17","902.17","902.17","902.17","","1.34%"
"02/01/1972","928.13","928.13","928.13","928.13","","2.88%"
"03/01/1972","940.70","940.70","940.70","940.70","","1.35%"
"04/01/1972","954.17","954.17","954.17","954.17","","1.43%"
"05/01/1972","960.72","960.72","960.72","960.72","","0.69%"
"06/01/1972","929.03","929.03","929.03","929.03","","-3.30%"
"07/01/1972","924.74","924.74","924.74","924.74","","-0.46%"
"08/01/1972","963.73","963.73","963.73","963.73","","4.22%"
"09/01/1972","953.27","953.27","953.27","953.27","","-1.09%"
"10/01/1972","955.52","955.52","955.52","955.52","","0.24%"
"11/01/1972","1,018.21","1,018.21","1,018.21","1,018.21","","6.56%"
"12/01/1972","1,020.02","1,020.02","1,020.02","1,020.02","","0.18%"
"01/01/1973","999.02","999.02","999.02","999.02","","-2.06%"
"02/01/1973","955.07","955.07","955.07","955.07","","-4.40%"
"03/01/1973","951.01","951.01","951.01","951.01","","-0.43%"
"04/01/1973","921.43","921.43","921.43","921.43","","-3.11%"
"05/01/1973","901.41","901.41","901.41","901.41","","-2.17%"
"06/01/1973","891.71","891.71","891.71","891.71","","-1.08%"
"07/01/1973","926.40","926.40","926.40","926.40","","3.89%"
"08/01/1973","887.57","887.57","887.57","887.57","","-4.19%"
"09/01/1973","947.10","947.10","947.10","947.10","","6.71%"
"10/01/1973","956.58","956.58","956.58","956.58","","1.00%"
"11/01/1973","822.25","822.25","822.25","822.25","","-14.04%"
"12/01/1973","850.86","850.86","850.86","850.86","","3.48%"
"01/01/1974","855.55","855.55","855.55","855.55","","0.55%"
"02/01/1974","860.53","860.53","860.53","860.53","","0.58%"
"03/01/1974","846.68","846.68","846.68","846.68","","-1.61%"
"04/01/1974","836.75","836.75","836.75","836.75","","-1.17%"
"05/01/1974","802.17","802.17","802.17","802.17","","-4.13%"
"06/01/1974","802.41","802.41","802.41","802.41","","0.03%"
"07/01/1974","757.43","757.43","757.43","757.43","","-5.61%"
"08/01/1974","678.58","678.58","678.58","678.58","","-10.41%"
"09/01/1974","607.87","607.87","607.87","607.87","","-10.42%"
"10/01/1974","665.52","665.52","665.52","665.52","","9.48%"
"11/01/1974","618.66","618.66","618.66","618.66","","-7.04%"
"12/01/1974","616.24","616.24","616.24","616.24","","-0.39%"
"01/01/1975","703.69","703.69","703.69","703.69","","14.19%"
"02/01/1975","739.05","739.05","739.05","739.05","","5.02%"
"03/01/1975","768.15","768.15","768.15","768.15","","3.94%"
"04/01/1975","821.34","821.34","821.34","821.34","","6.92%"
"05/01/1975","832.29","832.29","832.29","832.29","","1.33%"
"06/01/1975","878.99","878.99","878.99","878.99","","5.61%"
"07/01/1975","831.51","831.51","831.51","831.51","","-5.40%"
"08/01/1975","835.34","835.34","835.34","835.34","","0.46%"
"09/01/1975","793.88","793.88","793.88","793.88","","-4.96%"
"10/01/1975","836.04","836.04","836.04","836.04","","5.31%"
"11/01/1975","860.67","860.67","860.67","860.67","","2.95%"
"12/01/1975","852.41","852.41","852.41","852.41","","-0.96%"
"01/01/1976","975.28","975.28","975.28","975.28","","14.41%"
"02/01/1976","972.61","972.61","972.61","972.61","","-0.27%"
"03/01/1976","999.45","999.45","999.45","999.45","","2.76%"
"04/01/1976","996.85","996.85","996.85","996.85","","-0.26%"
"05/01/1976","975.23","975.23","975.23","975.23","","-2.17%"
"06/01/1976","1,002.78","1,002.78","1,002.78","1,002.78","","2.82%"
"07/01/1976","984.64","984.64","984.64","984.64","","-1.81%"
"08/01/1976","973.74","973.74","973.74","973.74","","-1.11%"
"09/01/1976","990.19","990.19","990.19","990.19","","1.69%"
"10/01/1976","964.93","964.93","964.93","964.93","","-2.55%"
"11/01/1976","947.22","947.22","947.22","947.22","","-1.84%"
"12/01/1976","1,004.65","1,004.65","1,004.65","1,004.65","","6.06%"
"01/01/1977","954.37","1,004.65","1,007.81","944.90","","-5.00%"
"02/01/1977","936.42","954.37","963.76","926.03","","-1.88%"
"03/01/1977","919.13","936.42","971.58","914.15","","-1.85%"
"04/01/1977","926.90","919.55","956.07","909.74","","0.85%"
"05/01/1977","898.66","926.90","949.46","892.55","","-3.05%"
"06/01/1977","916.30","898.66","934.36","896.46","","1.96%"
"07/01/1977","890.07","916.30","927.84","878.81","","-2.86%"
"08/01/1977","861.49","890.07","900.03","844.42","","-3.21%"
"09/01/1977","847.11","861.49","879.76","830.30","","-1.67%"
"10/01/1977","818.35","847.11","855.77","792.79","","-3.40%"
"11/01/1977","829.70","816.01","850.05","794.53","","1.39%"
"12/01/1977","831.17","829.70","835.15","800.42","","0.18%"
"01/01/1978","769.92","830.39","835.15","759.44","","-7.37%"
"02/01/1978","742.12","769.92","787.42","739.17","","-3.61%"
"03/01/1978","757.36","742.12","777.81","736.75","","2.05%"
"04/01/1978","837.32","756.67","846.15","747.05","","10.56%"
"05/01/1978","840.61","837.32","865.64","813.84","","0.39%"
"06/01/1978","818.95","840.61","879.33","807.95","","-2.58%"
"07/01/1978","862.27","818.95","866.34","800.94","","5.29%"
"08/01/1978","876.82","862.27","911.21","855.34","","1.69%"
"09/01/1978","865.82","876.82","917.27","850.92","","-1.25%"
"10/01/1978","792.45","865.82","909.39","782.05","","-8.47%"
"11/01/1978","799.03","805.53","831.69","779.11","","0.83%"
"12/01/1978","805.01","801.98","829.87","781.01","","0.75%"
"01/01/1979","839.22","805.96","865.04","798.51","","4.25%"
"02/01/1979","808.82","839.22","843.99","802.23","","-3.62%"
"03/01/1979","862.18","808.82","876.99","807.26","","6.60%"
"04/01/1979","854.90","859.93","884.62","847.28","","-0.84%"
"05/01/1979","822.33","854.90","863.22","815.14","","-3.81%"
"06/01/1979","841.98","822.33","853.86","817.74","","2.39%"
"07/01/1979","846.42","840.61","857.00","818.00","","0.53%"
"08/01/1979","887.63","846.42","893.60","839.08","","4.87%"
"09/01/1979","878.58","883.70","902.13","857.85","","-1.02%"
"10/01/1979","815.70","877.73","904.86","795.99","","-7.16%"
"11/01/1979","822.35","815.70","838.57","792.24","","0.82%"
"12/01/1979","838.74","822.35","851.54","814.76","","1.99%"
"01/01/1980","875.85","838.74","897.88","809.05","","4.42%"
"02/01/1980","863.14","875.84","918.17","847.27","","-1.45%"
"03/01/1980","785.75","863.14","868.69","729.95","","-8.97%"
"04/01/1980","817.06","785.75","818.52","751.37","","3.98%"
"05/01/1980","850.85","817.06","866.13","795.81","","4.14%"
"06/01/1980","867.92","850.84","896.33","840.70","","2.01%"
"07/01/1980","935.32","867.92","946.94","862.63","","7.77%"
"08/01/1980","932.59","935.31","972.34","918.52","","-0.29%"
"09/01/1980","932.42","932.59","980.72","918.00","","-0.02%"
"10/01/1980","924.49","932.42","987.30","911.59","","-0.85%"
"11/01/1980","993.34","924.48","1,009.39","924.48","","7.45%"
"12/01/1980","963.99","991.13","991.13","895.45","","-2.95%"
"01/01/1981","947.27","963.98","1,013.14","930.89","","-1.73%"
"02/01/1981","974.58","947.09","980.88","923.89","","2.88%"
"03/01/1981","1,003.87","974.58","1,021.81","955.70","","3.01%"
"04/01/1981","997.75","1,003.87","1,030.98","981.81","","-0.61%"
"05/01/1981","991.75","997.75","1,005.22","956.69","","-0.60%"
"06/01/1981","976.88","991.75","1,023.02","972.70","","-1.50%"
"07/01/1981","952.34","976.88","978.98","918.66","","-2.51%"
"08/01/1981","881.47","952.34","961.47","879.09","","-7.44%"
"09/01/1981","849.98","881.47","892.41","807.45","","-3.57%"
"10/01/1981","852.55","849.98","885.84","823.63","","0.30%"
"11/01/1981","888.98","855.97","892.80","834.57","","4.27%"
"12/01/1981","875.00","888.98","898.50","862.81","","-1.57%"
"01/01/1982","871.10","875.00","887.38","832.56","","-0.45%"
"02/01/1982","824.39","866.34","866.34","802.23","","-5.36%"
"03/01/1982","822.77","824.39","840.66","786.16","","-0.20%"
"04/01/1982","848.36","822.77","871.19","820.48","","3.11%"
"05/01/1982","819.54","848.36","876.52","815.55","","-3.40%"
"06/01/1982","811.93","819.55","824.30","784.25","","-0.93%"
"07/01/1982","808.60","811.94","843.80","787.39","","-0.41%"
"08/01/1982","901.31","808.59","910.95","769.98","","11.47%"
"09/01/1982","896.25","901.31","951.16","888.70","","-0.56%"
"10/01/1982","991.72","896.25","1,046.08","892.02","","10.65%"
"11/01/1982","1,039.28","990.80","1,072.01","983.71","","4.80%"
"12/01/1982","1,046.54","1,043.22","1,074.32","988.59","","0.70%"
"01/01/1983","1,075.70","1,048.92","1,100.07","1,020.23","","2.79%"
"02/01/1983","1,112.62","1,076.88","1,130.51","1,051.78","","3.43%"
"03/01/1983","1,130.03","1,113.09","1,152.09","1,108.55","","1.56%"
"04/01/1983","1,226.20","1,129.84","1,228.04","1,104.68","","8.51%"
"05/01/1983","1,199.98","1,226.01","1,240.52","1,176.86","","-2.14%"
"06/01/1983","1,221.96","1,200.08","1,251.20","1,180.89","","1.83%"
"07/01/1983","1,199.22","1,221.35","1,252.90","1,183.79","","-1.86%"
"08/01/1983","1,216.16","1,199.82","1,216.15","1,156.45","","1.41%"
"09/01/1983","1,233.13","1,215.75","1,264.74","1,205.28","","1.40%"
"10/01/1983","1,225.20","1,232.42","1,284.65","1,219.82","","-0.64%"
"11/01/1983","1,276.02","1,225.41","1,291.67","1,213.21","","4.15%"
"12/01/1983","1,258.64","1,275.81","1,279.37","1,236.38","","-1.36%"
"01/01/1984","1,220.58","1,257.72","1,291.87","1,215.45","","-3.02%"
"02/01/1984","1,154.63","1,220.79","1,223.20","1,117.88","","-5.40%"
"03/01/1984","1,164.89","1,154.31","1,191.48","1,136.10","","0.89%"
"04/01/1984","1,170.75","1,165.20","1,177.76","1,120.39","","0.50%"
