"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/1975","1.3847","1.3847","1.3847","1.3847","","2.78%"
"03/01/1975","1.3561","1.3561","1.3561","1.3561","","-2.07%"
"04/01/1975","1.3524","1.3524","1.3524","1.3524","","-0.27%"
"05/01/1975","1.3708","1.3708","1.3708","1.3708","","1.36%"
"06/01/1975","1.3622","1.3622","1.3622","1.3622","","-0.63%"
"07/01/1975","1.2637","1.2637","1.2637","1.2637","","-7.23%"
"08/01/1975","1.2582","1.2582","1.2582","1.2582","","-0.44%"
"09/01/1975","1.2243","1.2243","1.2243","1.2243","","-2.69%"
"10/01/1975","1.2636","1.2636","1.2636","1.2636","","3.21%"
"11/01/1975","1.2346","1.2346","1.2346","1.2346","","-2.30%"
"12/01/1975","1.2356","1.2356","1.2356","1.2356","","0.08%"
"01/01/1976","1.2228","1.2228","1.2228","1.2228","","-1.04%"
"02/01/1976","1.2127","1.2127","1.2127","1.2127","","-0.83%"
"03/01/1976","1.1906","1.1906","1.1906","1.1906","","-1.82%"
"04/01/1976","1.1798","1.1798","1.1798","1.1798","","-0.91%"
"05/01/1976","1.1719","1.1719","1.1719","1.1719","","-0.67%"
"06/01/1976","1.1756","1.1756","1.1756","1.1756","","0.32%"
"07/01/1976","1.1748","1.1748","1.1748","1.1748","","-0.07%"
"08/01/1976","1.1797","1.1797","1.1797","1.1797","","0.42%"
"09/01/1976","1.1983","1.1983","1.1983","1.1983","","1.58%"
"10/01/1976","1.2039","1.2039","1.2039","1.2039","","0.47%"
"11/01/1976","1.2037","1.2037","1.2037","1.2037","","-0.02%"
"12/01/1976","1.2171","1.2171","1.2171","1.2171","","1.11%"
"01/01/1977","1.1985","1.1985","1.1985","1.1985","","-1.53%"
"02/01/1977","1.2032","1.2032","1.2032","1.2032","","0.39%"
"03/01/1977","1.2015","1.2015","1.2015","1.2015","","-0.14%"
"04/01/1977","1.2118","1.2118","1.2118","1.2118","","0.86%"
"05/01/1977","1.2107","1.2107","1.2107","1.2107","","-0.09%"
"06/01/1977","1.2143","1.2143","1.2143","1.2143","","0.30%"
"07/01/1977","1.2134","1.2134","1.2134","1.2134","","-0.07%"
"08/01/1977","1.2066","1.2066","1.2066","1.2066","","-0.56%"
"09/01/1977","1.2074","1.2074","1.2074","1.2074","","0.07%"
"10/01/1977","1.2264","1.2264","1.2264","1.2264","","1.57%"
"11/01/1977","1.2324","1.2324","1.2324","1.2324","","0.49%"
"12/01/1977","1.2892","1.2892","1.2892","1.2892","","4.61%"
"01/01/1978","1.2863","1.2863","1.2863","1.2863","","-0.22%"
"02/01/1978","1.3135","1.3135","1.3135","1.3135","","2.11%"
"03/01/1978","1.3323","1.3323","1.3323","1.3323","","1.43%"
"04/01/1978","1.3026","1.3026","1.3026","1.3026","","-2.23%"
"05/01/1978","1.2935","1.2935","1.2935","1.2935","","-0.70%"
"06/01/1978","1.3091","1.3091","1.3091","1.3091","","1.21%"
"07/01/1978","1.3335","1.3335","1.3335","1.3335","","1.86%"
"08/01/1978","1.3585","1.3585","1.3585","1.3585","","1.87%"
"09/01/1978","1.3850","1.3850","1.3850","1.3850","","1.95%"
"10/01/1978","1.5117","1.5117","1.5117","1.5117","","9.15%"
"11/01/1978","1.3765","1.3765","1.3765","1.3765","","-8.94%"
"12/01/1978","1.4455","1.4455","1.4455","1.4455","","5.01%"
"01/01/1979","1.4138","1.4138","1.4138","1.4138","","-2.19%"
"02/01/1979","1.4233","1.4233","1.4233","1.4233","","0.67%"
"03/01/1979","1.4158","1.4158","1.4158","1.4158","","-0.53%"
"04/01/1979","1.3976","1.3976","1.3976","1.3976","","-1.29%"
"05/01/1979","1.3864","1.3864","1.3864","1.3864","","-0.80%"
"06/01/1979","1.4292","1.4292","1.4292","1.4292","","3.09%"
"07/01/1979","1.4368","1.4368","1.4368","1.4368","","0.53%"
"08/01/1979","1.4424","1.4424","1.4424","1.4424","","0.39%"
"09/01/1979","1.4952","1.4952","1.4952","1.4952","","3.66%"
"10/01/1979","1.4478","1.4478","1.4478","1.4478","","-3.17%"
"11/01/1979","1.4970","1.4970","1.4970","1.4970","","3.40%"
"12/01/1979","1.5081","1.5081","1.5081","1.5081","","0.74%"
"01/01/1980","1.4945","1.4945","1.4945","1.4945","","-0.90%"
"02/01/1980","1.4689","1.4689","1.4689","1.4689","","-1.71%"
"03/01/1980","1.3492","1.3492","1.3492","1.3492","","-8.15%"
"04/01/1980","1.4426","1.4426","1.4426","1.4426","","6.92%"
"05/01/1980","1.4646","1.4646","1.4646","1.4646","","1.53%"
"06/01/1980","1.4741","1.4741","1.4741","1.4741","","0.65%"
"07/01/1980","1.4605","1.4605","1.4605","1.4605","","-0.92%"
"08/01/1980","1.4465","1.4465","1.4465","1.4465","","-0.96%"
"09/01/1980","1.4341","1.4341","1.4341","1.4341","","-0.86%"
"10/01/1980","1.3734","1.3734","1.3734","1.3734","","-4.23%"
"11/01/1980","1.3499","1.3499","1.3499","1.3499","","-1.71%"
"12/01/1980","1.3275","1.3275","1.3275","1.3275","","-1.66%"
"01/01/1981","1.2349","1.2349","1.2349","1.2349","","-6.98%"
"02/01/1981","1.2117","1.2117","1.2117","1.2117","","-1.88%"
"03/01/1981","1.2235","1.2235","1.2235","1.2235","","0.97%"
"04/01/1981","1.1620","1.1620","1.1620","1.1620","","-5.03%"
"05/01/1981","1.1019","1.1019","1.1019","1.1019","","-5.17%"
"06/01/1981","1.0719","1.0719","1.0719","1.0719","","-2.72%"
"07/01/1981","1.0410","1.0410","1.0410","1.0410","","-2.88%"
"08/01/1981","1.0424","1.0424","1.0424","1.0424","","0.13%"
"09/01/1981","1.0967","1.0967","1.0967","1.0967","","5.21%"
"10/01/1981","1.1056","1.1056","1.1056","1.1056","","0.81%"
"11/01/1981","1.1274","1.1274","1.1274","1.1274","","1.97%"
"12/01/1981","1.1046","1.1046","1.1046","1.1046","","-2.02%"
"01/01/1982","1.0728","1.0728","1.0728","1.0728","","-2.88%"
"02/01/1982","1.0324","1.0324","1.0324","1.0324","","-3.77%"
"03/01/1982","1.0082","1.0082","1.0082","1.0082","","-2.34%"
"04/01/1982","1.0400","1.0400","1.0400","1.0400","","3.15%"
"05/01/1982","1.0339","1.0339","1.0339","1.0339","","-0.59%"
"06/01/1982","0.9713","0.9713","0.9713","0.9713","","-6.05%"
"07/01/1982","0.9679","0.9679","0.9679","0.9679","","-0.35%"
"08/01/1982","0.9521","0.9521","0.9521","0.9521","","-1.63%"
"09/01/1982","0.9380","0.9380","0.9380","0.9380","","-1.48%"
"10/01/1982","0.9207","0.9207","0.9207","0.9207","","-1.84%"
"11/01/1982","0.9438","0.9438","0.9438","0.9438","","2.51%"
"12/01/1982","0.9756","0.9756","0.9756","0.9756","","3.37%"
"01/01/1983","0.9471","0.9471","0.9471","0.9471","","-2.92%"
"02/01/1983","0.9527","0.9527","0.9527","0.9527","","0.59%"
"03/01/1983","0.9344","0.9344","0.9344","0.9344","","-1.92%"
"04/01/1983","0.9228","0.9228","0.9228","0.9228","","-1.24%"
"05/01/1983","0.8998","0.8998","0.8998","0.8998","","-2.49%"
"06/01/1983","0.8908","0.8908","0.8908","0.8908","","-1.00%"
"07/01/1983","0.8564","0.8564","0.8564","0.8564","","-3.86%"
"08/01/1983","0.8379","0.8379","0.8379","0.8379","","-2.16%"
"09/01/1983","0.8528","0.8528","0.8528","0.8528","","1.78%"
"10/01/1983","0.8525","0.8525","0.8525","0.8525","","-0.04%"
"11/01/1983","0.8325","0.8325","0.8325","0.8325","","-2.35%"
"12/01/1983","0.8226","0.8226","0.8226","0.8226","","-1.19%"
"01/01/1984","0.7957","0.7957","0.7957","0.7957","","-3.27%"
"02/01/1984","0.8574","0.8574","0.8574","0.8574","","7.75%"
"03/01/1984","0.8584","0.8584","0.8584","0.8584","","0.12%"
"04/01/1984","0.8218","0.8218","0.8218","0.8218","","-4.26%"
"05/01/1984","0.8177","0.8177","0.8177","0.8177","","-0.50%"
"06/01/1984","0.8030","0.8030","0.8030","0.8030","","-1.80%"
"07/01/1984","0.7739","0.7739","0.7739","0.7739","","-3.62%"
"08/01/1984","0.7736","0.7736","0.7736","0.7736","","-0.04%"
"09/01/1984","0.7303","0.7303","0.7303","0.7303","","-5.60%"
