"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/1975","183.00","179.10","189.00","171.30","","2.81%"
"03/01/1975","179.50","183.30","187.50","175.00","","-1.91%"
"04/01/1975","166.80","179.70","179.90","162.30","","-7.08%"
"05/01/1975","169.00","167.00","176.90","163.40","","1.32%"
"06/01/1975","167.80","164.50","175.00","160.00","","-0.71%"
"07/01/1975","173.40","168.30","175.40","161.40","","3.34%"
"08/01/1975","162.80","173.80","173.90","160.40","","-6.11%"
"09/01/1975","142.20","152.80","156.30","129.00","","-12.65%"
"10/01/1975","142.80","145.00","148.00","138.50","","0.42%"
"11/01/1975","138.80","143.50","149.10","138.10","","-2.80%"
"12/01/1975","141.00","138.80","147.90","136.70","","1.59%"
"01/01/1976","129.00","140.80","141.50","123.40","","-8.51%"
"02/01/1976","132.60","130.50","134.70","128.50","","2.79%"
"03/01/1976","129.70","132.50","135.30","127.50","","-2.19%"
"04/01/1976","128.90","129.70","131.00","126.90","","-0.62%"
"05/01/1976","127.30","128.80","129.80","124.10","","-1.24%"
"06/01/1976","123.90","127.80","132.50","123.50","","-2.67%"
"07/01/1976","114.20","123.60","124.50","105.00","","-7.83%"
"08/01/1976","103.20","113.70","115.20","100.00","","-9.63%"
"09/01/1976","116.10","104.30","121.00","104.10","","12.50%"
"10/01/1976","123.80","115.80","126.00","112.90","","6.63%"
"11/01/1976","132.60","122.80","141.00","122.80","","7.11%"
"12/01/1976","135.70","131.90","139.90","131.30","","2.34%"
"01/01/1977","134.00","135.50","137.70","127.50","","-1.25%"
"02/01/1977","144.60","134.00","145.40","132.80","","7.91%"
"03/01/1977","151.00","143.00","154.70","142.40","","4.43%"
"04/01/1977","148.00","150.50","154.70","144.80","","-1.99%"
"05/01/1977","144.30","147.90","149.70","142.00","","-2.50%"
"06/01/1977","143.60","144.80","145.60","137.60","","-0.49%"
"07/01/1977","147.10","143.50","148.00","140.50","","2.44%"
"08/01/1977","148.10","147.20","150.20","144.00","","0.68%"
"09/01/1977","156.40","147.70","157.10","147.40","","5.60%"
"10/01/1977","162.70","157.80","166.80","155.40","","4.03%"
"11/01/1977","162.30","163.80","169.90","154.70","","-0.25%"
"12/01/1977","167.50","162.90","167.90","157.10","","3.20%"
"01/01/1978","178.90","169.90","179.70","165.50","","6.81%"
"02/01/1978","184.40","179.40","185.80","173.60","","3.07%"
"03/01/1978","186.20","184.90","192.80","176.00","","0.98%"
"04/01/1978","170.60","185.70","185.90","166.80","","-8.38%"
"05/01/1978","217.40","217.40","217.40","217.40","","27.43%"
"06/01/1978","214.20","214.20","214.20","214.20","","-1.47%"
"07/01/1978","237.30","237.30","237.30","237.30","","10.78%"
"08/01/1978","237.80","237.80","237.80","237.80","","0.21%"
"09/01/1978","250.80","250.80","250.80","250.80","","5.47%"
"10/01/1978","276.40","276.40","276.40","276.40","","10.21%"
"11/01/1978","222.50","222.50","222.50","222.50","","-19.50%"
"12/01/1978","258.60","258.60","258.60","258.60","","16.22%"
"01/01/1979","261.80","261.80","261.80","261.80","","1.24%"
"02/01/1979","281.20","281.20","281.20","281.20","","7.41%"
"03/01/1979","265.40","265.40","265.40","265.40","","-5.62%"
"04/01/1979","271.20","271.20","271.20","271.20","","2.19%"
"05/01/1979","300.30","300.30","300.30","300.30","","10.73%"
"06/01/1979","302.50","302.50","302.50","302.50","","0.73%"
"07/01/1979","308.20","308.20","308.20","308.20","","1.88%"
"08/01/1979","338.60","338.60","338.60","338.60","","9.86%"
"09/01/1979","420.90","420.90","420.90","420.90","","24.31%"
"10/01/1979","395.50","395.50","395.50","395.50","","-6.03%"
"11/01/1979","430.50","407.80","432.80","400.00","","8.85%"
"12/01/1979","549.40","440.00","515.00","433.00","","27.62%"
"01/01/1980","704.00","574.40","882.00","574.40","38.48K","28.14%"
"02/01/1980","651.00","700.00","742.50","617.00","168.86K","-7.53%"
"03/01/1980","519.00","651.60","662.70","487.00","31.36K","-20.28%"
"04/01/1980","513.20","525.00","570.00","483.00","173.80K","-1.12%"
"05/01/1980","555.00","526.00","562.50","506.00","44.19K","8.14%"
"06/01/1980","660.20","580.00","672.00","560.00","294.85K","18.95%"
"07/01/1980","629.50","675.70","702.00","607.00","22.09K","-4.65%"
"08/01/1980","648.80","630.00","659.00","609.80","66.88K","3.07%"
"09/01/1980","688.50","652.60","724.10","650.00","91.77K","6.12%"
"10/01/1980","650.50","699.00","708.50","633.50","468.38K","-5.52%"
"11/01/1980","644.50","664.10","664.10","603.00","55.20K","-0.92%"
"12/01/1980","607.80","656.00","658.00","558.00","463.85K","-5.69%"
"01/01/1981","512.50","601.50","619.00","498.00","67.92K","-15.68%"
"02/01/1981","493.00","505.00","530.50","490.00","417.03K","-3.80%"
"03/01/1981","525.50","470.40","556.00","466.10","95.48K","6.59%"
"04/01/1981","495.00","524.00","545.50","476.00","389.23K","-5.80%"
"05/01/1981","492.50","502.50","503.90","472.10","63.18K","-0.51%"
"06/01/1981","433.80","495.50","497.50","430.00","469.80K","-11.92%"
"07/01/1981","413.00","424.20","429.00","402.00","14.86K","-4.79%"
"08/01/1981","437.30","402.00","451.00","395.50","98.60K","5.88%"
"09/01/1981","443.00","441.00","473.50","428.00","108.12K","1.30%"
"10/01/1981","436.30","446.00","469.00","428.50","525.98K","-1.51%"
"11/01/1981","413.30","437.60","439.40","400.00","63.66K","-5.27%"
"12/01/1981","406.60","407.00","437.00","396.50","762.83K","-1.62%"
"01/01/1982","391.80","391.50","395.80","388.00","74.85K","-3.64%"
"02/01/1982","368.50","387.00","394.40","362.70","433.23K","-5.95%"
"03/01/1982","334.20","369.80","369.80","319.00","124.82K","-9.31%"
"04/01/1982","354.20","334.50","377.50","328.80","735.40K","5.98%"
"05/01/1982","329.00","352.90","352.90","328.00","65.72K","-7.11%"
"06/01/1982","321.70","325.50","343.00","297.50","669.20K","-2.22%"
"07/01/1982","348.60","318.00","372.00","313.50","36.22K","8.36%"
"08/01/1982","418.50","358.00","434.00","334.00","272.81K","20.05%"
"09/01/1982","404.80","415.00","423.50","396.00","153.11K","-3.27%"
"10/01/1982","429.50","408.50","465.00","390.00","865.10K","6.10%"
"11/01/1982","449.00","436.50","449.50","422.00","150.94K","4.54%"
"12/01/1982","456.30","446.00","470.20","435.00","661.68K","1.63%"
"01/01/1983","518.20","457.60","519.00","456.00","145.96K","13.57%"
"02/01/1983","427.10","517.50","520.00","427.10","741.41K","-17.58%"
"03/01/1983","422.00","418.00","441.60","411.00","64.29K","-1.19%"
"04/01/1983","436.80","422.50","450.80","422.50","532.87K","3.51%"
"05/01/1983","418.50","433.80","456.50","417.80","94.86K","-4.19%"
"06/01/1983","421.90","420.00","428.30","401.00","645.95K","0.81%"
"07/01/1983","420.00","424.60","438.00","417.00","18.85K","-0.45%"
"08/01/1983","421.20","419.00","433.70","411.50","60.10K","0.29%"
"09/01/1983","407.80","422.20","429.90","401.00","117.84K","-3.18%"
"10/01/1983","382.00","396.00","408.80","382.00","586.47K","-6.33%"
"11/01/1983","409.00","384.00","414.00","379.20","126.08K","7.07%"
"12/01/1983","391.30","405.00","410.00","375.50","440.25K","-4.33%"
"01/01/1984","379.20","382.30","383.50","367.00","59.88K","-3.09%"
"02/01/1984","402.10","384.00","413.00","379.10","558.18K","6.04%"
"03/01/1984","394.30","400.90","410.20","387.50","65.34K","-1.94%"
"04/01/1984","383.30","394.50","395.00","381.60","395.70K","-2.79%"
"05/01/1984","393.60","384.00","395.50","376.80","81.89K","2.69%"
"06/01/1984","379.80","399.30","405.30","370.00","568.54K","-3.51%"
"07/01/1984","343.50","377.30","377.30","336.90","16.73K","-9.56%"
"08/01/1984","351.20","343.70","362.50","342.00","44.38K","2.24%"
"09/01/1984","351.30","343.90","356.10","340.30","73.29K","0.03%"
"10/01/1984","338.80","352.00","355.80","338.00","492.39K","-3.56%"
"11/01/1984","333.50","340.80","355.30","329.80","62.98K","-1.56%"
"12/01/1984","311.70","332.50","337.00","306.60","426.71K","-6.54%"
"01/01/1985","307.40","306.20","311.00","298.80","76.42K","-1.38%"
"02/01/1985","290.80","306.00","308.50","282.60","427.84K","-5.40%"
"03/01/1985","334.10","292.00","337.20","290.00","44.94K","14.89%"
"04/01/1985","320.70","324.50","338.60","318.00","458.58K","-4.01%"
"05/01/1985","319.50","317.30","328.50","311.60","51.46K","-0.37%"
"06/01/1985","321.30","320.10","331.30","312.50","351.82K","0.56%"
"07/01/1985","331.00","317.80","333.70","313.00","11.00K","3.02%"
"08/01/1985","337.60","326.70","345.80","322.50","76.22K","1.99%"
"09/01/1985","327.10","328.80","333.50","317.70","30.72K","-3.11%"
"10/01/1985","328.70","326.00","335.70","324.90","355.35K","0.49%"
"11/01/1985","327.30","330.10","334.90","325.10","23.97K","-0.43%"
"12/01/1985","332.90","327.80","335.00","315.50","357.21K","1.71%"
"01/01/1986","352.90","330.70","369.50","330.70","68.94K","6.01%"
"02/01/1986","342.80","351.00","357.50","331.70","445.78K","-2.86%"
"03/01/1986","334.80","342.30","359.20","334.00","66.38K","-2.33%"
"04/01/1986","349.70","336.00","352.50","330.80","495.54K","4.45%"
"05/01/1986","347.10","344.40","347.50","341.40","34.46K","-0.74%"
"06/01/1986","350.70","346.20","355.00","336.50","345.51K","1.04%"
"07/01/1986","366.30","347.40","368.00","346.50","6.69K","4.45%"
"08/01/1986","393.30","364.20","401.00","360.50","62.21K","7.37%"
"09/01/1986","429.80","409.60","443.40","407.50","92.20K","9.28%"
"10/01/1986","407.10","430.30","446.50","405.00","701.58K","-5.28%"
"11/01/1986","394.80","408.40","415.00","380.00","20.45K","-3.02%"
"12/01/1986","408.00","402.00","403.50","386.50","449.91K","3.34%"
"01/01/1987","408.90","407.50","426.00","400.00","73.69K","0.22%"
"02/01/1987","409.40","409.70","413.40","391.40","552.09K","0.12%"
"03/01/1987","422.70","407.50","429.90","407.10","74.14K","3.25%"
"04/01/1987","459.20","422.50","480.50","418.50","933.97K","8.63%"
"05/01/1987","456.00","462.30","480.00","450.00","56.77K","-0.70%"
"06/01/1987","454.80","449.50","468.80","437.60","650.86K","-0.26%"
"07/01/1987","469.50","452.00","470.00","447.80","10.32K","3.23%"
"08/01/1987","456.00","478.00","484.20","451.50","87.92K","-2.88%"
"09/01/1987","458.80","460.10","470.60","458.00","78.28K","0.61%"
"10/01/1987","477.20","459.80","496.00","457.90","775.14K","4.01%"
"11/01/1987","497.20","478.00","503.00","459.00","56.45K","4.19%"
"12/01/1987","488.90","493.50","507.40","475.00","636.62K","-1.67%"
"01/01/1988","458.50","483.10","488.80","454.00","83.51K","-6.22%"
"02/01/1988","435.80","458.50","461.90","428.90","588.95K","-4.95%"
"03/01/1988","457.90","434.40","463.20","431.10","70.26K","5.07%"
"04/01/1988","457.00","461.50","464.00","448.20","510.01K","-0.20%"
"05/01/1988","459.80","453.30","464.90","447.30","46.67K","0.61%"
"06/01/1988","440.20","461.70","473.80","439.80","741.57K","-4.26%"
"07/01/1988","441.70","442.10","450.30","429.20","6.42K","0.34%"
"08/01/1988","437.00","441.70","443.00","427.00","31.17K","-1.06%"
"09/01/1988","399.20","435.80","435.80","396.80","61.83K","-8.65%"
"10/01/1988","417.60","398.80","418.30","398.10","565.78K","4.61%"
"11/01/1988","429.60","416.50","429.80","416.50","62.67K","2.87%"
"12/01/1988","414.80","429.80","438.00","413.00","504.17K","-3.45%"
"01/01/1989","395.80","415.90","415.90","393.10","72.49K","-4.58%"
"02/01/1989","392.90","396.00","401.20","382.00","637.06K","-0.73%"
"03/01/1989","390.00","389.60","400.50","385.50","68.29K","-0.74%"
"04/01/1989","382.70","390.30","396.90","382.70","511.68K","-1.87%"
"05/01/1989","366.50","382.90","384.00","365.30","64.34K","-4.23%"
"06/01/1989","379.30","366.30","385.90","360.50","751.11K","3.49%"
"07/01/1989","374.70","390.60","390.90","370.00","4.97K","-1.21%"
"08/01/1989","363.60","374.50","379.00","361.60","18.27K","-2.96%"
"09/01/1989","372.00","363.60","374.60","362.80","63.00K","2.31%"
"10/01/1989","379.70","371.80","387.00","364.30","562.00K","2.07%"
"11/01/1989","417.50","378.00","422.40","378.00","96.29K","9.96%"
"12/01/1989","407.60","418.20","424.20","402.00","746.54K","-2.37%"
"01/01/1990","417.80","404.50","427.00","397.00","101.31K","2.50%"
"02/01/1990","411.80","418.70","430.30","409.60","743.87K","-1.44%"
"03/01/1990","375.00","411.90","411.90","368.80","77.88K","-8.94%"
"04/01/1990","373.80","372.30","385.40","371.80","397.66K","-0.32%"
"05/01/1990","368.60","374.40","379.50","365.00","47.21K","-1.39%"
"06/01/1990","362.00","367.70","368.90","348.20","418.93K","-1.79%"
"07/01/1990","374.60","362.50","377.90","356.80","4.31K","3.48%"
"08/01/1990","386.90","375.00","420.20","374.60","97.25K","3.28%"
"09/01/1990","408.10","388.30","414.30","382.60","74.17K","5.48%"
"10/01/1990","383.30","402.00","404.00","361.50","753.89K","-6.08%"
"11/01/1990","385.70","385.10","393.30","380.00","59.87K","0.63%"
"12/01/1990","397.80","384.90","400.00","369.10","434.09K","3.14%"
"01/01/1991","368.50","392.60","405.90","367.80","64.01K","-7.37%"
"02/01/1991","370.70","372.80","373.70","357.00","400.87K","0.60%"
"03/01/1991","359.40","370.30","372.80","356.60","50.86K","-3.05%"
"04/01/1991","359.50","359.40","368.20","354.60","349.70K","0.03%"
"05/01/1991","364.80","359.50","367.70","356.80","50.08K","1.47%"
"06/01/1991","371.70","366.80","377.90","361.50","403.62K","1.89%"
"07/01/1991","367.20","371.60","375.00","364.00","4.79K","-1.21%"
"08/01/1991","351.30","367.00","367.00","351.30","17.06K","-4.33%"
"09/01/1991","357.30","351.30","359.50","346.60","53.96K","1.71%"
"10/01/1991","360.90","357.00","367.40","356.70","453.05K","1.01%"
"11/01/1991","371.10","358.30","372.00","356.10","28.59K","2.83%"
"12/01/1991","356.30","371.50","374.90","353.50","446.04K","-3.99%"
"01/01/1992","358.90","354.20","361.30","351.30","72.49K","0.73%"
"02/01/1992","355.20","359.40","360.50","349.40","299.38K","-1.03%"
"03/01/1992","345.50","353.60","415.00","339.50","50.60K","-2.73%"
"04/01/1992","338.80","346.00","346.90","336.20","335.46K","-1.94%"
"05/01/1992","338.40","338.50","340.10","336.60","55.08K","-0.12%"
"06/01/1992","345.30","338.60","346.90","338.20","357.69K","2.04%"
"07/01/1992","359.40","348.30","360.40","347.90","3.37K","4.08%"
"08/01/1992","344.40","358.30","358.70","334.00","34.74K","-4.17%"
"09/01/1992","349.40","342.50","357.00","340.20","190.32K","1.45%"
"10/01/1992","340.80","348.80","353.40","336.90","293.33K","-2.46%"
"11/01/1992","335.50","341.30","341.30","330.70","11.61K","-1.56%"
"12/01/1992","333.60","335.70","340.10","332.00","243.90K","-0.57%"
"01/01/1993","330.70","328.90","333.00","327.50","35.87K","-0.87%"
"02/01/1993","331.20","330.10","334.60","328.30","330.14K","0.15%"
"03/01/1993","339.30","329.90","341.70","327.50","116.21K","2.45%"
"04/01/1993","357.90","338.50","360.00","336.00","519.65K","5.48%"
"05/01/1993","380.30","356.00","386.50","356.00","49.92K","6.26%"
"06/01/1993","380.20","379.60","380.20","361.70","653.75K","-0.03%"
"07/01/1993","409.20","391.50","409.80","388.00","7.38K","7.63%"
"08/01/1993","374.80","408.20","411.50","366.00","57.83K","-8.41%"
"09/01/1993","357.10","371.70","371.70","343.90","26.46K","-4.72%"
"10/01/1993","370.50","356.20","376.70","350.00","490.33K","3.75%"
"11/01/1993","371.90","363.00","382.60","363.00","89.18K","0.38%"
"12/01/1993","392.80","370.80","392.80","370.40","474.17K","5.62%"
"01/01/1994","383.60","393.00","398.30","377.30","85.24K","-2.34%"
"02/01/1994","383.50","383.50","392.30","375.70","498.96K","-0.03%"
"03/01/1994","394.30","380.40","396.50","378.00","64.59K","2.82%"
"04/01/1994","379.10","394.30","395.80","369.50","483.45K","-3.85%"
"05/01/1994","390.00","378.70","391.40","376.00","57.63K","2.88%"
"06/01/1994","388.80","390.30","397.90","380.40","616.56K","-0.31%"
"07/01/1994","386.10","389.60","390.90","385.00","4.13K","-0.69%"
"08/01/1994","389.30","386.90","391.70","377.10","34.68K","0.83%"
"09/01/1994","397.60","389.80","399.70","389.80","47.41K","2.13%"
"10/01/1994","386.60","396.20","399.80","386.60","507.83K","-2.77%"
"11/01/1994","384.50","387.40","389.10","383.70","80.71K","-0.54%"
"12/01/1994","386.40","383.70","386.40","377.70","363.81K","0.49%"
"01/01/1995","377.70","382.90","387.10","374.10","52.75K","-2.25%"
"02/01/1995","379.80","378.70","382.40","376.30","335.19K","0.56%"
"03/01/1995","394.30","377.70","402.00","377.70","92.42K","3.82%"
"04/01/1995","390.10","395.10","401.20","387.50","473.31K","-1.07%"
"05/01/1995","387.60","391.50","392.60","385.30","58.96K","-0.64%"
"06/01/1995","387.30","387.60","395.00","386.30","446.42K","-0.08%"
"07/01/1995","385.40","386.90","391.90","384.80","7.38K","-0.49%"
"08/01/1995","385.50","385.70","393.00","383.00","35.69K","0.03%"
"09/01/1995","386.50","383.30","388.40","382.70","26.04K","0.26%"
"10/01/1995","385.30","386.20","388.70","382.60","310.44K","-0.31%"
"11/01/1995","388.60","384.60","390.40","382.70","61.54K","0.86%"
"12/01/1995","389.10","388.70","392.40","386.60","315.83K","0.13%"
"01/01/1996","408.50","397.20","410.40","396.30","107.41K","4.99%"
