Date,Price,Open,High,Low,Vol.,Change %
04/01/2004,400,170,490,165,752.61M,135.29%
05/01/2004,360,405,420,260,193.18M,-10.00%
06/01/2004,315,355,355,270,238.82M,-12.50%
07/01/2004,330,315,365,310,212.23M,4.76%
08/01/2004,340,325,340,305,138.19M,3.03%
09/01/2004,435,340,480,340,919.95M,27.94%
10/01/2004,460,435,495,430,232.35M,5.75%
11/01/2004,575,465,575,455,183.16M,25.00%
12/01/2004,675,575,675,500,142.38M,17.39%
01/01/2005,940,680,950,680,547.20M,39.26%
02/01/2005,"1,03",940,"1,22",940,461.02M,9.57%
03/01/2005,880,"1,04","1,11",860,323.55M,-14.56%
04/01/2005,730,890,940,620,209.70M,-17.05%
05/01/2005,810,740,840,740,98.46M,10.96%
06/01/2005,830,810,900,780,129.81M,2.47%
07/01/2005,770,830,860,750,104.99M,-7.23%
08/01/2005,535,770,790,410,183.51M,-30.52%
09/01/2005,550,520,610,500,108.90M,2.80%
10/01/2005,530,540,600,520,43.86M,-3.64%
11/01/2005,450,458,475,399,34.60M,-15.09%
12/01/2005,611,450,653,450,376.35M,35.78%
01/01/2006,687,611,704,594,386.74M,12.44%
02/01/2006,687,687,730,645,185.46M,0.00%
03/01/2006,713,679,747,679,139.56M,3.78%
04/01/2006,781,721,848,696,300.88M,9.54%
05/01/2006,628,772,832,543,216.46M,-19.59%
06/01/2006,560,636,636,534,66.09M,-10.83%
07/01/2006,509,552,568,501,183.76M,-9.11%
08/01/2006,433,509,534,424,143.53M,-14.93%
09/01/2006,518,433,526,424,167.89M,19.63%
10/01/2006,594,526,636,526,641.75M,14.67%
11/01/2006,687,594,764,577,893.00M,15.66%
12/01/2006,679,687,730,645,602.42M,-1.16%
01/01/2007,687,687,713,552,370.95M,1.18%
02/01/2007,602,696,704,552,160.70M,-12.37%
03/01/2007,636,611,645,543,304.12M,5.65%
04/01/2007,738,636,798,619,580.94M,16.04%
05/01/2007,857,738,865,721,514.16M,16.12%
06/01/2007,933,848,950,823,288.46M,8.87%
07/01/2007,"1,29",942,"1,324",933,623.37M,38.26%
08/01/2007,"1,044","1,273","1,273",781,411.06M,-19.07%
09/01/2007,"1,061","1,061","1,078","1,001",191.68M,1.63%
10/01/2007,"1,324","1,052","1,442","1,044",845.00M,24.79%
11/01/2007,"1,162","1,349","1,349","1,112",239.68M,-12.24%
12/01/2007,"1,154","1,179","1,239","1,12",84.45M,-0.69%
01/01/2008,950,"1,154","1,188",832,91.08M,-17.68%
02/01/2008,832,959,959,823,37.71M,-12.42%
03/01/2008,662,814,832,552,62.89M,-20.43%
04/01/2008,509,662,687,475,136.36M,-23.11%
05/01/2008,594,518,636,501,264.00M,16.70%
06/01/2008,509,594,594,501,121.60M,-14.31%
07/01/2008,484,509,518,416,81.29M,-4.91%
08/01/2008,339,484,484,331,44.88M,-29.96%
09/01/2008,288,339,339,178,134.57M,-15.04%
10/01/2008,148,254,267,128,124.65M,-48.61%
11/01/2008,144,151,178,119,83.86M,-2.70%
12/01/2008,229,144,246,128,186.54M,59.03%
01/01/2009,221,238,276,204,114.35M,-3.49%
02/01/2009,233,216,246,204,164.24M,5.43%
03/01/2009,233,229,250,216,116.17M,0.00%
04/01/2009,288,233,322,233,354.57M,23.61%
05/01/2009,348,293,394,267,393.53M,20.83%
06/01/2009,361,356,416,331,174.16M,3.74%
07/01/2009,386,361,407,344,168.53M,6.93%
08/01/2009,382,386,433,365,301.67M,-1.04%
09/01/2009,390,382,394,369,39.18M,2.09%
10/01/2009,344,382,420,310,550.67M,-11.79%
11/01/2009,331,339,386,331,50.92M,-3.78%
12/01/2009,348,335,369,331,72.47M,5.14%
01/01/2010,344,348,361,331,107.88M,-1.15%
02/01/2010,331,344,344,314,40.52M,-3.78%
03/01/2010,373,331,382,322,151.63M,12.69%
04/01/2010,501,369,543,369,754.02M,34.32%
05/01/2010,416,492,501,348,175.62M,-16.97%
06/01/2010,526,407,543,386,276.29M,26.44%
07/01/2010,552,509,568,475,381.36M,4.94%
08/01/2010,560,552,585,484,234.07M,1.45%
09/01/2010,814,560,865,543,375.02M,45.36%
10/01/2010,848,814,925,806,202.12M,4.18%
11/01/2010,755,849,849,738,55.80M,-10.96%
12/01/2010,772,747,857,653,504.13M,2.25%
01/01/2011,670,764,789,645,133.00M,-13.18%
02/01/2011,704,670,721,636,83.53M,5.06%
03/01/2011,713,704,721,645,108.96M,1.21%
04/01/2011,696,713,764,696,200.55M,-2.39%
05/01/2011,662,696,704,628,111.73M,-4.87%
06/01/2011,679,662,679,628,55.14M,2.57%
07/01/2011,602,679,696,594,118.08M,-11.26%
08/01/2011,492,602,611,433,131.01M,-18.31%
09/01/2011,433,492,518,382,70.70M,-12.07%
10/01/2011,450,412,492,386,96.12M,3.93%
11/01/2011,390,441,441,378,158.31M,-13.21%
12/01/2011,492,390,543,369,411.98M,26.08%
01/01/2012,585,484,611,484,224.25M,18.96%
02/01/2012,602,585,636,577,140.13M,2.90%
03/01/2012,679,594,679,594,123.71M,12.68%
04/01/2012,840,670,882,636,347.73M,23.75%
05/01/2012,823,840,967,798,230.05M,-2.02%
06/01/2012,840,815,857,730,65.67M,2.07%
07/01/2012,772,857,891,730,95.91M,-8.08%
08/01/2012,764,764,815,704,97.75M,-1.10%
09/01/2012,808,699,847,676,151.45M,5.81%
10/01/2012,"1,095",808,"1,119",777,353.38M,35.58%
11/01/2012,"1,468","1,088","1,484","1,057",329.73M,34.04%
12/01/2012,"1,367","1,468","1,631","1,266",382.10M,-6.88%
01/01/2013,"1,554","1,367","1,67","1,344",481.28M,13.64%
02/01/2013,"2,001","1,554","2,059","1,546",384.62M,28.75%
03/01/2013,"2,408","2,02","2,467","1,865",270.33M,20.39%
04/01/2013,"2,311","2,408","2,467","2,098",291.38M,-4.03%
05/01/2013,"3,03","2,311","3,049","2,292",342.89M,31.09%
06/01/2013,"2,583","3,03","3,108","2,408",353.69M,-14.74%
07/01/2013,"2,389","2,564","2,622","1,865",370.38M,-7.52%
08/01/2013,"1,538","2,408","2,486","1,313",289.34M,-35.61%
09/01/2013,"1,573","1,554","1,767","1,173",1.78B,2.27%
10/01/2013,"1,515","1,554","1,67","1,422",965.60M,-3.70%
11/01/2013,"1,243","1,507","1,53","1,22",379.87M,-17.95%
12/01/2013,"1,173","1,251","1,383","1,134",479.40M,-5.62%
01/01/2014,"1,383","1,173","1,437","1,107",681.46M,17.88%
02/01/2014,"1,818","1,383","1,857","1,363",976.53M,31.46%
03/01/2014,"2,327","1,802","2,416","1,767",729.68M,27.99%
04/01/2014,"2,319","2,342","2,591","2,078",1.13B,-0.33%
05/01/2014,"2,432","2,331","2,595","2,292",659.31M,4.86%
06/01/2014,"2,164","2,432","2,447","2,035",401.17M,-11.02%
07/01/2014,"2,416","2,164","2,657","2,117",868.73M,11.67%
08/01/2014,"2,385","2,362","2,509","2,35",377.26M,-1.29%
09/01/2014,"2,148","2,381","2,455","2,129",208.28M,-9.93%
10/01/2014,"2,14","2,136","2,269","1,802",532.38M,-0.36%
11/01/2014,"2,16","2,129","2,183","1,892",700.65M,0.91%
12/01/2014,"2,704","2,16","2,816","2,16",1.18B,25.18%
01/01/2015,"2,871","2,704","2,937","2,579",730.10M,6.18%
02/01/2015,"2,673","2,855","3,007","2,587",663.61M,-6.90%
03/01/2015,"2,373","2,665","2,7","2,323",378.03M,-11.19%
04/01/2015,"2,148","2,373","2,471","2,082",367.42M,-9.49%
05/01/2015,"1,946","2,098","2,284","1,934",289.95M,-9.40%
06/01/2015,"1,569","1,946","1,973","1,484",437.16M,-19.36%
07/01/2015,"1,787","1,573","2,171","1,562",855.66M,13.86%
08/01/2015,"1,55","1,783","1,818","1,294",457.20M,-13.26%
09/01/2015,"1,748","1,53","1,818","1,441",658.82M,12.78%
10/01/2015,"2,042","1,74","2,207","1,694",1.30B,16.81%
11/01/2015,"2,014","2,019","2,147","1,927",580.47M,-1.35%
12/01/2015,"1,959","1,992","2,079","1,868",342.08M,-2.73%
01/01/2016,"2,335","1,955","2,362","1,895",931.62M,19.16%
02/01/2016,"2,39","2,349","2,513","2,266",582.62M,2.35%
03/01/2016,"2,463","2,394","2,6","2,339",502.78M,3.07%
04/01/2016,"2,449","2,463","2,665","2,422",588.33M,-0.56%
05/01/2016,"2,353","2,436","2,481","2,216",395.85M,-3.93%
06/01/2016,"2,546","2,335","2,591","2,317",469.94M,8.17%
07/01/2016,"2,591","2,564","2,655","2,472",418.83M,1.80%
08/01/2016,"2,445","2,591","2,619","2,436",629.88M,-5.65%
09/01/2016,"2,161","2,454","2,5","2,115",469.68M,-11.61%
10/01/2016,"2,079","2,198","2,298","1,95",397.16M,-3.81%
11/01/2016,"1,749","2,079","2,079","1,676",366.96M,-15.86%
12/01/2016,"1,905","1,758","2,088","1,699",660.58M,8.90%
01/01/2017,"1,923","1,905","2,069","1,859",401.90M,0.96%
02/01/2017,"1,95","1,923","2,152","1,781",729.03M,1.43%
03/01/2017,"2,17","1,95","2,262","1,905",552.00M,11.27%
04/01/2017,"2,069","2,17","2,216","1,969",279.69M,-4.64%
05/01/2017,"2,152","2,069","2,216","1,969",253.83M,3.98%
06/01/2017,"1,969","2,143","2,143","1,95",155.12M,-8.51%
07/01/2017,"2,033","1,996","2,051","1,786",478.03M,3.26%
08/01/2017,"1,85","2,033","2,033","1,831",217.66M,-9.01%
09/01/2017,"1,831","1,85","1,914","1,767",193.25M,-0.99%
10/01/2017,"2,005","1,84","2,088","1,808",386.53M,9.50%
11/01/2017,"1,79","2,005","2,106","1,79",448.18M,-10.73%
12/01/2017,"1,726","1,795","1,799","1,561",426.12M,-3.58%
01/01/2018,"2,042","1,731","2,17","1,653",660.25M,18.30%
02/01/2018,"2,271","2,06","2,289","1,914",341.71M,11.21%
03/01/2018,"1,895","2,262","2,298","1,877",189.59M,-16.53%
04/01/2018,"1,721","1,895","2,033","1,68",141.70M,-9.18%
05/01/2018,"1,781","1,74","1,818","1,57",137.29M,3.46%
06/01/2018,"1,639","1,767","1,781","1,639",57.66M,-7.97%
07/01/2018,"1,47","1,639","1,662","1,406",240.10M,-10.34%
