,2021,2020,2019,2018
Revenue,11530471000000.71,10827682000000.42,15307860000000.22,15655499000000.87
Net Income,55185000000.18,23976000000.89,663806000000.25,644158000000.91
Total Assets,39900337000000.83,38093888000000.63,36515833000000.21,30091600000000.97
Total Liabilities,34300518000000.83,32545621000000.76,29705814000000.67,23817116000000.04
Total Equity,5599819000000,5548266000000.86,6810018000000.54  ,6274484000000.93
Total Common Shares,3560000000.85,,,
PER,66,,,
EPS,15.5,,,
PBV,0.69,,,
Book Value Per Share,1604,,,
Price,468,,,
