"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2004","537","384","652","384","16.49M","16.67%"
"05/01/2004","441","537","556","384","2.16M","-17.86%"
"06/01/2004","403","441","480","384","2.06M","-8.69%"
"07/01/2004","441","422","480","384","4.31M","9.52%"
"08/01/2004","422","422","460","403","1.09M","-4.35%"
"09/01/2004","422","422","460","422","2.18M","0.00%"
"10/01/2004","480","460","518","422","2.90M","13.64%"
"11/01/2004","460","441","480","441","1.02M","-4.00%"
"12/01/2004","480","441","518","441","4.25M","4.17%"
"01/01/2005","537","460","595","460","5.22M","12.00%"
"02/01/2005","499","518","556","499","2.24M","-7.14%"
"03/01/2005","806","518","1,036","518","24.04M","61.54%"
"04/01/2005","844","806","1,017","614","2.56M","4.76%"
"05/01/2005","710","710","787","652","272.60K","-15.91%"
"06/01/2005","537","710","729","480","782.20K","-24.33%"
"07/01/2005","537","537","576","480","1.93M","0.00%"
"08/01/2005","441","537","537","441","3.78M","-17.86%"
"05/01/2006","307","345","384","249","669.10K","-30.43%"
"06/01/2006","153","326","326","96","3.41M","-50.00%"
"07/01/2006","115","134","153","96","2.48M","-25.00%"
"08/01/2006","101","96","120","96","1.69M","-12.50%"
"09/01/2006","105","101","110","96","1.24M","4.26%"
"10/01/2006","100","100","110","95","6.61M","-4.76%"
"11/01/2006","95","95","100","90","3.31M","-5.00%"
"12/01/2006","115","95","115","85","6.96M","21.05%"
"01/01/2007","112","110","120","96","4.64M","-2.61%"
"02/01/2007","225","112","250","112","164.88M","100.89%"
"03/01/2007","245","225","250","215","637.15M","8.89%"
"04/01/2007","335","245","355","235","827.88M","36.73%"
"05/01/2007","495","340","515","340","940.02M","47.76%"
"06/01/2007","530","500","640","470","1.32B","7.07%"
"07/01/2007","590","530","620","510","527.53M","11.32%"
"08/01/2007","540","580","580","415","456.56M","-8.47%"
"09/01/2007","570","540","610","520","331.98M","5.56%"
"10/01/2007","530","560","600","510","148.31M","-7.02%"
"11/01/2007","590","530","630","490","349.33M","11.32%"
"12/01/2007","660","590","800","590","603.70M","11.86%"
"01/01/2008","720","680","780","590","461.79M","9.09%"
"02/01/2008","750","730","760","660","433.00M","4.17%"
"03/01/2008","570","730","730","560","209.11M","-24.00%"
"04/01/2008","600","570","660","540","277.22M","5.26%"
"05/01/2008","590","600","670","560","200.26M","-1.67%"
"06/01/2008","570","580","590","560","140.27M","-3.39%"
"07/01/2008","540","570","580","530","129.34M","-5.26%"
"08/01/2008","440","520","530","400","18.86M","-18.52%"
"09/01/2008","300","410","450","235","3.73M","-31.82%"
"10/01/2008","200","250","295","180","665.00K","-33.33%"
"11/01/2008","85","195","215","85","786.50K","-57.50%"
"12/01/2008","66","80","80","59","5.45M","-22.35%"
"01/01/2009","50","68","76","50","8.92M","-24.24%"
"02/01/2009","50","50","55","50","5.01M","0.00%"
"03/01/2009","50","50","65","50","126.66M","0.00%"
"04/01/2009","82","50","113","50","179.37M","64.00%"
"05/01/2009","127","82","148","72","2.20B","54.88%"
"06/01/2009","153","130","215","129","4.14B","20.47%"
"07/01/2009","166","153","173","144","1.95B","8.50%"
"08/01/2009","129","167","171","128","1.29B","-22.29%"
"09/01/2009","122","130","138","111","865.62M","-5.43%"
"10/01/2009","97","122","128","82","624.19M","-20.49%"
"11/01/2009","93","90","109","88","913.87M","-4.12%"
"12/01/2009","97","92","106","84","869.72M","4.30%"
"01/01/2010","89","98","99","85","593.37M","-8.25%"
"02/01/2010","88","89","92","82","345.40M","-1.12%"
"03/01/2010","100","88","116","87","1.47B","13.64%"
"04/01/2010","163","101","168","100","5.51B","63.00%"
"05/01/2010","130","161","166","92","4.35B","-20.25%"
"06/01/2010","131","128","144","118","2.97B","0.77%"
"07/01/2010","119","128","131","105","1.45B","-9.16%"
"08/01/2010","104","119","120","96","823.92M","-12.61%"
"09/01/2010","116","104","128","101","1.61B","11.54%"
"10/01/2010","125","124","138","123","1.22B","7.63%"
"11/01/2010","112","125","127","107","515.66M","-10.25%"
"12/01/2010","116","112","125","112","344.43M","3.80%"
"01/01/2011","106","117","118","101","344.79M","-9.17%"
"02/01/2011","111","105","118","101","393.70M","5.05%"
"03/01/2011","108","111","114","104","419.70M","-2.88%"
"04/01/2011","113","110","115","108","347.00M","4.95%"
"05/01/2011","124","111","136","109","1.40B","9.43%"
"06/01/2011","127","125","133","116","693.17M","2.59%"
"07/01/2011","205","127","212","126","3.53B","61.34%"
"08/01/2011","315","206","347","187","3.55B","53.65%"
"09/01/2011","267","309","341","229","2.25B","-15.25%"
"10/01/2011","304","256","331","219","3.93B","14.00%"
"11/01/2011","267","299","299","245","1.28B","-12.28%"
"12/01/2011","283","272","293","251","1.83B","6.00%"
"01/01/2012","261","277","304","256","1.35B","-7.55%"
"02/01/2012","256","261","283","245","1.13B","-2.04%"
"03/01/2012","267","256","283","251","1.69B","4.17%"
"04/01/2012","336","267","347","267","5.03B","26.00%"
"05/01/2012","267","341","352","256","4.68B","-20.63%"
"06/01/2012","245","261","272","208","2.18B","-8.00%"
"07/01/2012","235","245","261","224","1.41B","-4.35%"
"08/01/2012","204","235","240","196","896.01M","-13.18%"
"09/01/2012","224","204","235","198","1.22B","9.95%"
"10/01/2012","206","224","224","202","773.24M","-8.09%"
"11/01/2012","203","204","219","197","1.05B","-1.55%"
"12/01/2012","197","198","205","192","768.60M","-2.82%"
"01/01/2013","266","198","297","197","3.69B","34.92%"
"02/01/2013","308","271","318","250","3.38B","15.69%"
"03/01/2013","323","308","354","292","5.72B","5.08%"
"04/01/2013","297","328","328","261","4.12B","-8.06%"
"05/01/2013","318","297","328","271","3.83B","7.02%"
"06/01/2013","255","318","318","235","1.81B","-19.67%"
"07/01/2013","261","255","266","229","1.25B","2.04%"
"08/01/2013","203","261","287","176","1.18B","-22.00%"
"09/01/2013","214","203","240","188","1.91B","5.13%"
"10/01/2013","224","214","240","199","1.22B","4.88%"
"11/01/2013","180","219","219","177","1.24B","-19.53%"
"12/01/2013","164","180","189","164","700.05M","-9.25%"
"01/01/2014","162","165","186","155","1.16B","-1.27%"
"02/01/2014","177","162","188","156","2.59B","9.68%"
"03/01/2014","189","175","213","172","3.90B","6.47%"
"04/01/2014","179","192","202","177","2.36B","-4.97%"
"05/01/2014","153","179","181","143","1.74B","-14.53%"
"06/01/2014","111","152","153","87","6.09B","-27.89%"
"07/01/2014","124","109","144","101","7.60B","12.26%"
"08/01/2014","124","115","136","115","2.38B","0.00%"
"09/01/2014","105","125","125","104","1.22B","-15.13%"
"10/01/2014","93","94","104","85","3.57B","-11.88%"
"11/01/2014","120","94","122","89","3.20B","29.21%"
"12/01/2014","108","120","124","103","2.27B","-9.57%"
"01/01/2015","120","109","126","108","2.89B","10.58%"
"02/01/2015","151","120","158","117","4.00B","26.09%"
"03/01/2015","126","151","153","118","2.05B","-16.55%"
"04/01/2015","101","125","131","101","944.67M","-19.83%"
"05/01/2015","103","102","120","101","1.22B","2.06%"
"06/01/2015","100","104","107","93","979.86M","-3.03%"
"07/01/2015","91","100","102","89","672.92M","-9.37%"
"08/01/2015","64","91","93","59","613.76M","-29.89%"
"09/01/2015","78","64","90","58","2.31B","22.95%"
"10/01/2015","77","78","88","75","1.48B","-1.33%"
"11/01/2015","65","75","78","65","603.19M","-16.22%"
"12/01/2015","60","65","69","54","912.21M","-6.45%"
"01/01/2016","58","60","64","55","377.41M","-3.45%"
"02/01/2016","59","59","69","55","1.29B","1.79%"
"03/01/2016","73","59","87","58","2.93B","22.81%"
"04/01/2016","83","74","91","73","2.93B","14.29%"
"05/01/2016","89","84","96","80","2.45B","6.25%"
"06/01/2016","92","89","98","87","4.29B","3.53%"
"07/01/2016","97","93","100","89","2.94B","5.68%"
"08/01/2016","101","98","126","97","6.26B","4.30%"
"09/01/2016","97","101","111","93","2.78B","-4.12%"
"10/01/2016","95","97","100","93","1.88B","-2.15%"
"11/01/2016","99","95","104","89","6.11B","4.40%"
"12/01/2016","96","99","102","91","4.43B","-3.16%"
"01/01/2017","94","96","99","93","1.66B","-2.17%"
"02/01/2017","101","95","109","94","5.08B","7.78%"
"03/01/2017","94","102","104","89","2.16B","-7.25%"
"04/01/2017","86","94","96","85","1.74B","-8.33%"
"05/01/2017","73","87","87","72","1.35B","-14.77%"
"06/01/2017","72","73","76","70","892.28M","-1.33%"
"07/01/2017","90","73","97","68","4.36B","24.32%"
"08/01/2017","147","90","152","89","9.68B","63.04%"
"09/01/2017","146","147","157","127","4.28B","-0.67%"
"10/01/2017","140","147","153","122","3.50B","-4.03%"
"11/01/2017","152","141","161","134","4.43B","9.09%"
"12/01/2017","127","152","154","124","1.58B","-16.67%"
"01/01/2018","144","128","148","125","2.50B","13.08%"
"02/01/2018","201","147","215","145","11.85B","40.14%"
"03/01/2018","184","201","233","175","9.26B","-8.74%"
"04/01/2018","183","186","205","181","1.85B","-0.53%"
"05/01/2018","138","183","185","135","3.50B","-24.60%"
"06/01/2018","107","143","148","105","2.59B","-21.99%"
"07/01/2018","123","108","143","95","6.37B","14.55%"
"08/01/2018","120","125","144","115","3.17B","-2.38%"
"09/01/2018","108","120","120","100","1.80B","-9.76%"
"10/01/2018","93","109","109","92","1.18B","-14.41%"
"11/01/2018","110","93","117","93","3.01B","18.95%"
"12/01/2018","106","112","119","105","2.23B","-3.54%"
"01/01/2019","120","107","126","106","2.37B","12.84%"
"02/01/2019","123","121","144","120","3.28B","2.44%"
"03/01/2019","105","123","125","103","2.38B","-15.08%"
"04/01/2019","112","105","115","100","1.35B","7.48%"
"05/01/2019","120","112","128","97","1.71B","6.96%"
"06/01/2019","125","121","135","116","3.27B","4.07%"
"07/01/2019","146","126","152","116","3.48B","16.41%"
"08/01/2019","118","146","149","116","2.07B","-18.79%"
"09/01/2019","112","118","128","110","1.36B","-4.96%"
"10/01/2019","114","112","121","108","3.69B","1.74%"
"11/01/2019","76","114","114","68","1.60B","-33.33%"
"12/01/2019","83","76","91","64","3.52B","8.97%"
"01/01/2020","57","83","85","56","1.98B","-31.76%"
"02/01/2020","49","54","58","49","1.84B","-13.79%"
"03/01/2020","49","49","49","49","100.72M","0.00%"
"04/01/2020","49","49","49","49","58.51M","0.00%"
"05/01/2020","49","49","49","49","5.22M","0.00%"
"06/01/2020","49","49","61","49","3.53B","0.00%"
"07/01/2020","49","49","49","49","118.68M","0.00%"
"08/01/2020","49","49","49","49","23.02M","0.00%"
"09/01/2020","49","49","49","49","5.00M","0.00%"
"10/01/2020","49","49","49","49","8.20M","0.00%"
"11/01/2020","49","49","63","49","7.23B","0.00%"
"12/01/2020","49","49","56","49","4.45B","0.00%"
"01/01/2021","49","49","55","49","2.43B","0.00%"
"02/01/2021","49","49","51","49","620.08M","0.00%"
"03/01/2021","49","50","56","49","3.38B","0.00%"
"04/01/2021","70","49","76","49","9.35B","44.00%"
"05/01/2021","67","70","87","65","8.57B","-4.17%"
"06/01/2021","62","68","69","59","3.99B","-8.70%"
"07/01/2021","54","64","66","49","2.71B","-12.70%"
"08/01/2021","52","54","55","50","1.32B","-3.64%"
"09/01/2021","59","52","73","51","7.91B","13.21%"
"10/01/2021","61","59","65","58","1.67B","3.33%"
"11/01/2021","63","61","69","60","3.00B","3.23%"
"12/01/2021","58","63","68","57","1.27B","-7.81%"
