,2021,2020,2019,2018
Revenue,910709000000.35,451847000000.23,951421000000.03  ,1316805000000.55
Net Income,261472000000.61,-608784000000.17,49505000000.39  ,335872000000.04
Total Assets,16654989000000.34,18371229000000.97,17275272000000.61,16252732000000.18
Total Liabilities,7652616000000.62,9636634000000.03,7761154000000.69,6795571000000.88
Total Equity,9002372000000.71,8734595000000.95,9514117000000.91,9457160000000.31
Total Common Shares,67083000000.56  ,67083000000.56  ,55258000000.66,55258000000.66
PER,-21.49,,,
EPS,3.9,-9.35,0.9,6.08
PBV,0.31,,,
Book Value Per Share,161,,,
Price,50,,,
