"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2004","1,426","1,352","1,524","1,303","1.08B","3.56%"
"05/01/2004","1,229","1,426","1,426","1,106","934.11M","-13.81%"
"06/01/2004","1,155","1,229","1,254","1,032","856.57M","-6.02%"
"07/01/2004","1,229","1,155","1,278","1,131","528.96M","6.41%"
"08/01/2004","1,229","1,205","1,278","1,131","474.46M","0.00%"
"09/01/2004","1,426","1,229","1,450","1,229","931.00M","16.03%"
"10/01/2004","1,549","1,401","1,573","1,401","721.97M","8.63%"
"11/01/2004","1,794","1,549","1,918","1,549","784.39M","15.82%"
"12/01/2004","1,893","1,819","1,967","1,721","867.80M","5.52%"
"01/01/2005","1,908","1,898","2,016","1,809","793.46M","0.79%"
"02/01/2005","1,780","1,908","1,908","1,721","1.21B","-6.71%"
"03/01/2005","1,682","1,780","1,849","1,613","1.02B","-5.51%"
"04/01/2005","1,573","1,682","1,740","1,337","782.51M","-6.48%"
"05/01/2005","1,632","1,573","1,711","1,554","819.61M","3.75%"
"06/01/2005","1,475","1,622","1,632","1,406","960.63M","-9.62%"
"07/01/2005","1,583","1,475","1,603","1,446","742.84M","7.32%"
"08/01/2005","1,347","1,573","1,652","1,200","771.58M","-14.91%"
"09/01/2005","1,426","1,328","1,436","1,298","542.29M","5.86%"
"10/01/2005","1,298","1,396","1,485","1,259","356.77M","-8.98%"
"11/01/2005","1,268","1,308","1,318","1,082","535.74M","-2.31%"
"12/01/2005","1,613","1,288","1,642","1,259","831.46M","27.21%"
"01/01/2006","1,750","1,613","1,976","1,593","1.31B","8.49%"
"02/01/2006","1,593","1,750","1,800","1,564","635.34M","-8.97%"
"03/01/2006","1,662","1,583","1,770","1,475","1.20B","4.33%"
"04/01/2006","1,888","1,662","1,976","1,632","1.08B","13.60%"
"05/01/2006","1,662","1,878","2,335","1,583","3.58B","-11.97%"
"06/01/2006","1,691","1,682","1,721","1,495","1.52B","1.74%"
"07/01/2006","1,731","1,691","1,809","1,573","1.49B","2.37%"
"08/01/2006","2,065","1,731","2,188","1,721","1.82B","19.30%"
"09/01/2006","2,286","2,065","2,360","2,016","1.16B","10.70%"
"10/01/2006","2,680","2,286","2,778","2,188","995.79M","17.24%"
"11/01/2006","2,729","2,680","2,876","2,557","996.54M","1.83%"
"12/01/2006","2,852","2,729","2,901","2,680","743.74M","4.51%"
"01/01/2007","2,532","2,852","2,901","2,311","1.26B","-11.22%"
"02/01/2007","2,286","2,557","2,581","2,114","802.50M","-9.72%"
"03/01/2007","2,458","2,311","2,532","2,163","1.47B","7.52%"
"04/01/2007","3,024","2,458","3,270","2,434","2.23B","23.03%"
"05/01/2007","3,196","3,024","3,294","2,925","1.25B","5.69%"
"06/01/2007","3,073","3,220","3,245","2,974","643.69M","-3.85%"
"07/01/2007","3,466","3,073","3,737","3,073","2.45B","12.79%"
"08/01/2007","1,598","1,708","1,708","1,291","3.36B","-53.89%"
"09/01/2007","1,733","1,598","1,782","1,512","1.77B","8.45%"
"10/01/2007","1,856","1,733","1,991","1,684","2.45B","7.10%"
"11/01/2007","1,745","1,893","1,918","1,598","3.98B","-5.98%"
"12/01/2007","1,721","1,770","1,856","1,586","1.53B","-1.38%"
"01/01/2008","1,635","1,721","1,745","1,254","2.29B","-5.00%"
"02/01/2008","1,610","1,659","1,708","1,561","1.41B","-1.53%"
"03/01/2008","1,549","1,573","1,610","1,352","1.44B","-3.79%"
"04/01/2008","1,414","1,573","1,586","1,278","2.32B","-8.72%"
"05/01/2008","1,426","1,426","1,536","1,328","1.52B","0.85%"
"06/01/2008","1,278","1,426","1,438","1,266","1.03B","-10.38%"
"07/01/2008","1,463","1,291","1,500","1,291","1.51B","14.48%"
"08/01/2008","1,389","1,450","1,549","1,303","891.92M","-5.06%"
"09/01/2008","1,303","1,377","1,438","971","1.35B","-6.19%"
"10/01/2008","767","1,254","1,254","560","1.69B","-41.14%"
"11/01/2008","733","787","1,008","610","2.00B","-4.43%"
"12/01/2008","996","738","1,106","678","1.44B","35.88%"
"01/01/2009","895","1,032","1,118","870","1.28B","-10.14%"
"02/01/2009","856","895","900","831","928.22M","-4.36%"
"03/01/2009","1,069","856","1,118","826","1.18B","24.88%"
"04/01/2009","1,364","1,094","1,414","1,045","1.40B","27.60%"
"05/01/2009","1,463","1,352","1,512","1,192","2.28B","7.26%"
"06/01/2009","1,561","1,487","1,844","1,450","1.64B","6.70%"
"07/01/2009","2,053","1,549","2,102","1,536","2.20B","31.52%"
"08/01/2009","2,016","2,065","2,126","1,819","1.25B","-1.80%"
"09/01/2009","2,311","2,028","2,434","1,905","918.09M","14.63%"
"10/01/2009","2,298","2,323","2,606","2,102","1.16B","-0.56%"
"11/01/2009","2,188","2,212","2,434","2,114","1.01B","-4.79%"
"12/01/2009","2,311","2,163","2,323","2,151","790.01M","5.62%"
"01/01/2010","2,298","2,335","2,434","2,212","910.48M","-0.56%"
"02/01/2010","2,200","2,298","2,323","2,040","962.10M","-4.26%"
"03/01/2010","2,630","2,212","2,778","2,163","1.37B","19.55%"
"04/01/2010","2,852","2,606","2,852","2,434","1.44B","8.44%"
"05/01/2010","2,630","2,802","2,876","2,311","1.43B","-7.78%"
"06/01/2010","2,950","2,581","2,999","2,507","944.04M","12.17%"
"07/01/2010","2,950","2,950","3,097","2,753","793.77M","0.00%"
"08/01/2010","2,901","2,975","2,999","2,680","708.10M","-1.67%"
"09/01/2010","3,540","2,901","3,564","2,852","846.64M","22.03%"
"10/01/2010","3,442","3,540","3,540","3,245","886.04M","-2.78%"
"11/01/2010","3,147","3,491","3,564","3,122","657.75M","-8.57%"
"12/01/2010","3,196","3,147","3,392","2,999","861.33M","1.56%"
"01/01/2011","2,925","3,245","3,392","2,630","2.37B","-8.46%"
"02/01/2011","2,900","2,950","3,073","2,675","2.04B","-0.87%"
"03/01/2011","3,400","2,925","3,400","2,850","2.12B","17.24%"
"04/01/2011","3,575","3,400","3,625","3,275","1.27B","5.15%"
"05/01/2011","3,600","3,575","3,675","3,400","1.37B","0.70%"
"06/01/2011","3,600","3,600","3,625","3,350","957.74M","0.00%"
"07/01/2011","3,925","3,600","4,075","3,575","1.25B","9.03%"
"08/01/2011","3,425","3,925","4,050","3,325","1.71B","-12.74%"
"09/01/2011","3,150","3,500","3,650","2,550","2.32B","-8.03%"
"10/01/2011","3,575","3,075","3,650","2,750","1.76B","13.49%"
"11/01/2011","3,200","3,550","3,700","3,150","1.67B","-10.49%"
"12/01/2011","3,375","3,300","3,500","3,100","1.23B","5.47%"
"01/01/2012","3,350","3,350","3,575","3,300","1.30B","-0.74%"
"02/01/2012","3,225","3,325","3,375","3,000","2.68B","-3.73%"
"03/01/2012","3,425","3,200","3,475","3,175","1.60B","6.20%"
"04/01/2012","3,700","3,425","3,700","3,400","1.13B","8.03%"
"05/01/2012","3,450","3,725","3,725","3,325","951.38M","-6.76%"
"06/01/2012","3,600","3,425","3,675","3,275","684.87M","4.35%"
"07/01/2012","4,150","3,650","4,150","3,425","1.08B","15.28%"
"08/01/2012","3,900","4,125","4,300","3,675","675.93M","-6.02%"
"09/01/2012","4,100","3,900","4,150","3,800","840.41M","5.13%"
"10/01/2012","4,125","4,050","4,200","3,950","812.00M","0.61%"
"11/01/2012","4,125","4,125","4,450","4,075","627.00M","0.00%"
"12/01/2012","4,050","4,175","4,225","3,850","1.06B","-1.82%"
"01/01/2013","4,525","4,050","4,525","4,000","862.63M","11.73%"
"02/01/2013","5,025","4,550","5,075","4,350","850.88M","11.05%"
"03/01/2013","5,000","5,000","5,025","4,725","943.26M","-0.50%"
"04/01/2013","5,250","5,025","5,375","4,900","866.23M","5.00%"
"05/01/2013","4,850","5,200","5,275","4,850","1.25B","-7.62%"
"06/01/2013","4,500","4,850","4,950","4,125","1.54B","-7.22%"
"07/01/2013","4,450","4,525","4,525","3,725","1.40B","-1.11%"
"08/01/2013","3,550","4,450","4,450","3,125","1.87B","-20.22%"
"09/01/2013","3,975","3,600","5,150","3,275","1.90B","11.97%"
"10/01/2013","4,300","4,025","4,475","4,025","1.35B","8.18%"
