,2022,2021,2020,2019
Revenue,149972676000000,131667276000000,138249415000000,130003722000000
Net Income,41170637000000,28028155000000,16799515000000,27482133000000
Total Assets,1992544687000000,1725611128000000,1541964567000000,1318246335000000
Total Liabilities,1740299232000000,1503499846000000,1352586103000000,1113645482000000
Total Equity,252245455000000,222111282000000,189378464000000,204600853000000
Total Common Shares,46631000000.27,46631000000.27,46631000000.27,46666000000.67
PER,11.67,,,
EPS,882,,,
PBV,2.09,,,
Book Value Per Share,4921,,,
Price,10250,,,
