"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2004","452","411","534","370","306.95M","0.00%"
"05/01/2004","329","411","411","246","301.32M","-27.21%"
"06/01/2004","288","329","329","246","117.25M","-12.46%"
"07/01/2004","411","288","452","246","352.30M","42.71%"
"08/01/2004","329","411","452","329","312.01M","-19.95%"
"09/01/2004","288","329","411","288","363.15M","-12.46%"
"10/01/2004","329","329","370","288","328.15M","14.24%"
"11/01/2004","329","329","370","288","231.54M","0.00%"
"12/01/2004","329","329","370","288","191.79M","0.00%"
"01/01/2005","329","329","370","246","375.16M","0.00%"
"02/01/2005","329","288","329","246","196.96M","0.00%"
"03/01/2005","353","329","444","246","3.18B","7.29%"
"04/01/2005","246","345","361","230","1.06B","-30.31%"
"05/01/2005","206","246","246","197","2.13B","-16.26%"
"06/01/2005","236","206","236","197","1.98B","14.56%"
"07/01/2005","275","226","295","216","4.06B","16.53%"
"08/01/2005","187","275","275","147","4.20B","-32.00%"
"09/01/2005","197","177","206","167","2.13B","5.35%"
"10/01/2005","216","187","256","187","3.77B","9.64%"
"11/01/2005","206","216","216","187","979.99M","-4.63%"
"12/01/2005","236","206","236","197","1.37B","14.56%"
"01/01/2006","256","226","265","216","1.88B","8.47%"
"02/01/2006","256","256","265","236","2.24B","0.00%"
"03/01/2006","334","256","354","256","5.24B","30.47%"
"04/01/2006","334","324","344","305","2.29B","0.00%"
"05/01/2006","334","324","423","295","5.82B","0.00%"
"06/01/2006","295","324","324","275","2.12B","-11.68%"
"07/01/2006","334","295","354","295","1.72B","13.22%"
"08/01/2006","324","324","344","285","1.14B","-2.99%"
"09/01/2006","295","324","324","285","1.28B","-8.95%"
"10/01/2006","305","295","305","275","1.60B","3.39%"
"11/01/2006","256","305","305","256","1.40B","-16.07%"
"12/01/2006","305","265","315","256","1.61B","19.14%"
"01/01/2007","338","301","376","295","3.37B","10.82%"
"02/01/2007","358","344","381","328","3.42B","5.92%"
"03/01/2007","368","356","376","332","2.17B","2.79%"
"04/01/2007","472","370","482","364","2.39B","28.26%"
"05/01/2007","590","472","639","442","4.53B","25.00%"
"06/01/2007","580","590","610","531","3.06B","-1.69%"
"07/01/2007","600","590","688","580","4.74B","3.45%"
"08/01/2007","531","590","590","374","4.98B","-11.50%"
"09/01/2007","590","521","600","501","2.74B","11.11%"
"10/01/2007","619","590","688","580","3.32B","4.92%"
"11/01/2007","580","619","639","541","2.62B","-6.30%"
"12/01/2007","570","570","649","560","1.88B","-1.72%"
"01/01/2008","600","570","610","482","4.40B","5.26%"
"02/01/2008","678","600","737","590","5.04B","13.00%"
"03/01/2008","510","659","659","482","3.28B","-24.78%"
"04/01/2008","510","500","550","455","7.24B","0.00%"
"05/01/2008","5,300","5,100","5,600","5,000","504.93M","939.22%"
