,2021,2020,2019,2018
Revenue,2383414000000,2454947000000,3235677000000,3340451000000
Net Income,74293000000,-929465000000,852956000000,-1260970000000
Total Assets,15242769000000,13991786000000,14364538000000,14335108000000
Total Liabilities,13919752000000,12551406000000,12019249000000,11649183000000
Total Equity,1323017000000,1440380000000,2345289000000,2685925000000
Total Common Shares,21160000000.87,20863000000.05,20863000000.05,20771000000.98
PER,5.95,,,
EPS,3.51,,,
PBV,1.03,,,
Book Value Per Share,67.91,,,
Price,71,,,
