"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/1993","450","411","500","411","257.65M","9.49%"
"12/01/1993","458","431","483","393","163.36M","1.78%"
"01/01/1994","422","479","479","365","179.60M","-7.86%"
"02/01/1994","418","422","483","415","118.07M","-0.95%"
"03/01/1994","409","411","411","368","197.03M","-2.15%"
"04/01/1994","332","393","394","300","182.57M","-18.83%"
"05/01/1994","325","333","372","321","109.03M","-2.11%"
"06/01/1994","291","327","329","279","183.11M","-10.46%"
"07/01/1994","271","291","300","268","92.19M","-6.87%"
"08/01/1994","298","269","307","266","160.82M","9.96%"
"09/01/1994","227","298","298","222","213.48M","-23.83%"
"10/01/1994","264","229","284","229","127.14M","16.30%"
"11/01/1994","241","264","273","216","105.18M","-8.71%"
"12/01/1994","248","236","257","211","119.86M","2.90%"
"01/01/1995","225","250","259","197","209.96M","-9.27%"
"02/01/1995","225","225","247","218","186.37M","0.00%"
"03/01/1995","216","225","227","200","140.14M","-4.00%"
"04/01/1995","179","207","214","173","129.81M","-17.13%"
"05/01/1995","193","177","214","173","189.94M","7.82%"
"06/01/1995","229","195","229","184","249.35M","18.65%"
"07/01/1995","193","225","250","188","138.34M","-15.72%"
"08/01/1995","175","191","198","168","123.01M","-9.33%"
"09/01/1995","120","172","172","116","187.88M","-31.43%"
"10/01/1995","113","120","122","113","45.55M","-5.83%"
"11/01/1995","120","113","120","109","80.30M","6.19%"
"12/01/1995","120","118","143","114","470.38M","0.00%"
"01/01/1996","139","120","152","114","420.82M","15.83%"
"02/01/1996","145","141","147","136","165.00M","4.32%"
"03/01/1996","168","143","181","139","382.32M","15.86%"
"04/01/1996","168","168","193","161","231.32M","0.00%"
"05/01/1996","143","164","164","139","234.59M","-14.88%"
"06/01/1996","109","143","145","100","390.93M","-23.78%"
"07/01/1996","107","111","134","97","637.56M","-1.83%"
"08/01/1996","104","107","114","98","190.95M","-2.80%"
"09/01/1996","102","102","105","98","238.24M","-1.92%"
"10/01/1996","97","102","114","97","473.12M","-4.90%"
"11/01/1996","109","97","134","93","1.62B","12.37%"
"12/01/1996","104","113","114","98","520.20M","-4.59%"
"01/01/1997","129","105","145","105","2.85B","24.04%"
"02/01/1997","155","129","170","127","1.37B","20.16%"
"03/01/1997","150","157","164","143","855.73M","-3.23%"
"04/01/1997","164","148","166","132","849.19M","9.33%"
"05/01/1997","157","163","166","147","171.54M","-4.27%"
"06/01/1997","148","157","159","147","231.17M","-5.73%"
"07/01/1997","155","148","155","139","174.29M","4.73%"
"08/01/1997","127","155","155","122","321.20M","-18.06%"
"09/01/1997","150","127","164","127","211.49M","18.11%"
"10/01/1997","150","147","168","127","342.39M","0.00%"
"11/01/1997","111","150","159","107","119.09M","-26.00%"
"12/01/1997","113","107","123","98","108.90M","1.80%"
"01/01/1998","150","113","170","82","406.68M","32.74%"
"02/01/1998","143","157","168","134","700.44M","-4.67%"
"03/01/1998","134","141","147","127","81.53M","-6.29%"
"04/01/1998","82","136","136","82","237.03M","-38.81%"
"05/01/1998","32","86","95","30","194.28M","-60.98%"
"06/01/1998","18","32","34","14","812.62M","-43.75%"
"07/01/1998","43","18","48","16","3.51B","138.89%"
"08/01/1998","20","41","41","20","523.18M","-53.49%"
"09/01/1998","14","18","23","13","223.13M","-30.00%"
"10/01/1998","16","16","25","16","386.78M","14.29%"
"11/01/1998","25","16","36","16","1.18B","56.25%"
"12/01/1998","25","21","32","21","746.93M","0.00%"
"01/01/1999","23","23","29","20","388.39M","-8.00%"
"02/01/1999","20","23","23","18","108.48M","-13.04%"
"03/01/1999","18","18","20","16","302.33M","-10.00%"
"04/01/1999","27","18","29","16","1.33B","50.00%"
"05/01/1999","48","27","64","27","3.12B","77.78%"
"06/01/1999","54","46","63","41","4.53B","12.50%"
"07/01/1999","43","55","57","38","1.74B","-20.37%"
"08/01/1999","34","43","45","30","477.36M","-20.93%"
"09/01/1999","41","34","43","23","829.68M","20.59%"
"10/01/1999","48","43","54","39","2.09B","17.07%"
"11/01/1999","45","48","54","39","1.27B","-6.25%"
"12/01/1999","45","43","50","38","774.56M","0.00%"
"01/01/2000","45","43","55","43","1.67B","0.00%"
"02/01/2000","38","45","45","38","268.70M","-15.56%"
"03/01/2000","30","38","38","27","732.99M","-21.05%"
"04/01/2000","27","30","32","27","90.91M","-10.00%"
"05/01/2000","20","27","30","20","284.08M","-25.93%"
"06/01/2000","27","21","29","20","465.82M","35.00%"
"07/01/2000","24","26","28","24","198.94M","-11.11%"
"08/01/2000","21","24","26","20","58.96M","-12.50%"
"09/01/2000","16","21","23","15","26.56M","-23.81%"
"10/01/2000","15","16","22","15","636.11M","-6.25%"
"11/01/2000","13","16","18","11","1.18B","-13.33%"
"12/01/2000","9","13","13","9","270.97M","-30.77%"
"01/01/2001","11","9","11","9","312.15M","22.22%"
"02/01/2001","8","11","11","7","401.89M","-27.27%"
"03/01/2001","6","8","8","4","341.87M","-25.00%"
"04/01/2001","5","6","6","4","242.85M","-16.67%"
"05/01/2001","5","5","7","4","530.65M","0.00%"
"06/01/2001","6","6","6","5","327.27M","20.00%"
"07/01/2001","6","6","7","5","371.53M","0.00%"
"08/01/2001","5","6","7","5","241.64M","-16.67%"
"09/01/2001","5","5","6","4","115.63M","0.00%"
"10/01/2001","5","4","5","4","54.04M","0.00%"
"11/01/2001","4","4","4","3","138.81M","-20.00%"
"12/01/2001","4","3","4","3","31.90M","0.00%"
"01/01/2002","5","4","5","3","519.79M","25.00%"
"02/01/2002","5","5","5","5","12.94M","0.00%"
"06/01/2002","6","6","6","5","57.74M","20.00%"
"07/01/2002","4","6","6","4","140.12M","-33.33%"
"08/01/2002","4","4","4","3","39.40M","0.00%"
"09/01/2002","4","4","4","3","35.83M","0.00%"
