,2021,2020,2019,2018
Revenue,47334900000000,35012550000000,36037050000000,46133400000000
Net Income,1636800000000,635550000000,661950000000,1083450000000
Total Assets,138623250000000,115343400000000,107736600000000,105637350000000
Total Liabilities,74617200000000,95372250000000,90103500000000,88015200000000
Total Equity,64006200000000,19971150000000,17633100000000,17622300000000
Total Common Shares,93579000000.31,93219000000.58,88886000000.25,88827000000.94
PER,277.82,,,
EPS,,,,
PBV,2.99,,,
Book Value Per Share,712,,,
Price,895,,,
