"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2004","47","42","55","38","55.08M","0.00%"
"05/01/2004","38","42","47","38","2.90M","-19.15%"
"06/01/2004","38","38","42","38","2.81M","0.00%"
"07/01/2004","42","42","47","38","5.73M","10.53%"
"08/01/2004","42","42","47","38","10.57M","0.00%"
"09/01/2004","47","47","51","42","9.84M","11.90%"
"10/01/2004","59","47","68","47","26.57M","25.53%"
"11/01/2004","72","59","72","51","31.81M","22.03%"
"12/01/2004","68","68","80","59","43.00M","-5.56%"
"01/01/2005","59","63","68","51","25.70M","-13.24%"
"02/01/2005","68","55","76","55","35.25M","15.25%"
"03/01/2005","68","68","72","59","42.00M","0.00%"
"04/01/2005","72","68","85","63","71.72M","5.88%"
"05/01/2005","76","68","80","68","24.46M","5.56%"
"06/01/2005","76","76","80","72","5.58M","0.00%"
"07/01/2005","89","72","97","68","72.77M","17.11%"
"08/01/2005","72","89","102","63","204.98M","-19.10%"
"09/01/2005","76","72","85","68","37.97M","5.56%"
"10/01/2005","72","72","76","72","6.77M","-5.26%"
"11/01/2005","68","68","72","63","3.04M","-5.56%"
"12/01/2005","68","68","72","68","11.05M","0.00%"
"01/01/2006","68","68","76","63","9.07M","0.00%"
"02/01/2006","63","68","68","63","1.16M","-7.35%"
"03/01/2006","68","63","72","63","7.03M","7.94%"
"04/01/2006","80","68","80","68","12.92M","17.65%"
"05/01/2006","80","76","93","72","33.60M","0.00%"
"06/01/2006","72","72","76","68","3.26M","-10.00%"
"07/01/2006","68","72","76","68","1.62M","-5.56%"
"08/01/2006","68","72","72","68","2.18M","0.00%"
"09/01/2006","68","72","72","68","224.60K","0.00%"
"10/01/2006","72","72","76","68","1.06M","5.88%"
"11/01/2006","76","68","85","68","26.21M","5.56%"
"12/01/2006","76","76","80","72","7.71M","0.00%"
"01/01/2007","76","72","97","68","33.87M","0.00%"
"02/01/2007","134","76","164","76","417.03M","76.32%"
"03/01/2007","111","138","140","106","47.61M","-17.16%"
"04/01/2007","149","110","161","110","158.01M","34.23%"
"05/01/2007","139","151","155","135","103.96M","-6.71%"
"06/01/2007","132","141","147","128","23.05M","-5.04%"
"07/01/2007","141","132","142","132","34.96M","6.82%"
"08/01/2007","114","141","141","109","20.75M","-19.15%"
"09/01/2007","129","114","142","114","42.80M","13.16%"
"10/01/2007","120","132","134","118","8.47M","-6.98%"
"11/01/2007","127","123","132","113","20.91M","5.83%"
"12/01/2007","129","127","129","124","12.11M","1.57%"
"01/01/2008","118","128","128","113","15.03M","-8.53%"
"02/01/2008","120","118","122","113","7.74M","1.69%"
"03/01/2008","113","118","118","103","6.83M","-5.83%"
"04/01/2008","91","107","112","88","51.51M","-19.47%"
"05/01/2008","106","91","122","90","29.22M","16.48%"
"06/01/2008","89","115","115","86","3.54M","-16.04%"
"07/01/2008","81","93","96","79","12.58M","-8.99%"
"08/01/2008","78","81","95","75","6.89M","-3.70%"
"09/01/2008","69","78","80","66","6.38M","-11.54%"
"10/01/2008","61","68","68","54","2.11M","-11.59%"
"11/01/2008","62","61","67","53","23.22M","1.64%"
"12/01/2008","81","61","81","60","18.93M","30.65%"
"01/01/2009","75","80","82","75","3.05M","-7.41%"
"02/01/2009","79","75","79","73","5.80M","5.33%"
"03/01/2009","81","78","82","77","4.03M","2.53%"
"04/01/2009","82","81","88","78","6.65M","1.23%"
"05/01/2009","90","82","99","82","8.51M","9.76%"
"06/01/2009","97","90","113","87","29.79M","7.78%"
"07/01/2009","95","95","107","93","7.53M","-2.06%"
"08/01/2009","97","95","104","95","4.72M","2.11%"
"09/01/2009","104","95","108","94","2.72M","7.22%"
"10/01/2009","105","106","112","102","4.60M","0.96%"
"11/01/2009","171","104","200","104","270.59M","62.86%"
"12/01/2009","120","173","182","113","114.84M","-29.82%"
"01/01/2010","115","123","132","114","16.17M","-4.17%"
"02/01/2010","108","113","134","106","23.67M","-6.09%"
"03/01/2010","115","110","128","104","25.11M","6.48%"
"04/01/2010","137","117","147","115","19.09M","19.13%"
"05/01/2010","121","137","146","104","8.35M","-11.68%"
"06/01/2010","110","120","121","104","1.78M","-9.09%"
"07/01/2010","118","113","125","104","6.31M","7.27%"
"08/01/2010","109","117","121","108","8.74M","-7.63%"
"09/01/2010","115","111","117","108","7.84M","5.84%"
"10/01/2010","156","115","165","115","47.00M","35.34%"
"11/01/2010","151","157","169","144","10.79M","-3.33%"
"12/01/2010","139","149","156","134","12.77M","-8.05%"
"01/01/2011","125","145","149","106","8.28M","-10.00%"
"02/01/2011","119","122","122","113","1.88M","-4.86%"
"03/01/2011","129","121","130","108","1.58M","8.76%"
"04/01/2011","141","128","148","123","4.03M","8.73%"
"05/01/2011","139","139","149","131","24.25M","-1.24%"
"06/01/2011","142","141","175","127","45.16M","2.31%"
"07/01/2011","134","145","151","127","163.20M","-5.63%"
"08/01/2011","151","136","182","120","963.99M","12.69%"
"09/01/2011","128","151","158","115","147.97M","-15.23%"
"10/01/2011","129","126","135","114","69.09M","0.78%"
"11/01/2011","122","126","133","119","31.83M","-5.43%"
"12/01/2011","129","124","137","121","74.05M","5.74%"
"01/01/2012","137","130","147","129","78.13M","6.20%"
"02/01/2012","136","138","141","132","36.46M","-0.73%"
"03/01/2012","138","134","142","131","43.87M","1.47%"
"04/01/2012","141","138","151","137","86.16M","2.17%"
"05/01/2012","121","140","147","119","72.07M","-14.18%"
"06/01/2012","119","123","125","114","20.95M","-1.65%"
"07/01/2012","121","119","130","118","13.09M","1.68%"
"08/01/2012","120","119","129","117","19.98M","-0.83%"
"09/01/2012","122","118","124","117","11.36M","1.67%"
"10/01/2012","122","124","126","119","20.76M","0.00%"
"11/01/2012","122","121","123","110","31.86M","0.00%"
"12/01/2012","117","121","130","115","91.78M","-4.10%"
"01/01/2013","119","115","120","115","22.42M","1.71%"
"02/01/2013","126","119","127","118","46.58M","5.88%"
"03/01/2013","131","127","138","125","86.98M","3.97%"
"04/01/2013","154","133","156","130","107.23M","17.56%"
"05/01/2013","140","154","163","140","100.60M","-9.09%"
