,2021,2020,2019,2018
Revenue,2074987000000.58  ,2282827000000.46,2595099000000.72,2661628000000.02
Net Income,-119063000000.71,-252193000000.68,-13764000000.54  ,79081000000.64
Total Assets,24947143000000.05,26221407000000.47,30172315000000.34,30172315000000.34
Total Liabilities,21932735000000.2,23577050000000.44,27470021000000.2,27366306000000.24
Total Equity,3014407000000.85,2644357000000.04,2986437000000.6  ,2806009000000.1
Total Common Shares,13040000000.59,10487000000.13,10487000000.13,10487000000.13
PER,-32.19,,,
EPS,-12.9,,,
PBV,0.42,,,
Book Value Per Share,318,,,
Price,107,,,
