"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2004","314","258","323","253","578.81M","19.64%"
"08/01/2004","300","314","323","290","253.08M","-4.48%"
"09/01/2004","459","300","473","300","1.25B","53.12%"
"10/01/2004","515","459","562","459","309.91M","12.24%"
"11/01/2004","586","515","586","515","212.78M","13.64%"
"12/01/2004","562","562","586","515","309.99M","-4.00%"
"01/01/2005","787","543","806","543","1.23B","40.00%"
"02/01/2005","806","787","862","778","786.50M","2.38%"
"03/01/2005","703","806","825","675","667.95M","-12.79%"
"04/01/2005","553","703","731","487","481.63M","-21.33%"
"05/01/2005","656","553","656","525","434.74M","18.64%"
"06/01/2005","787","656","815","618","667.07M","20.00%"
"07/01/2005","740","787","815","712","393.28M","-5.95%"
"08/01/2005","712","740","815","647","432.02M","-3.80%"
"09/01/2005","740","693","740","637","256.81M","3.95%"
"10/01/2005","703","712","778","675","337.19M","-5.06%"
"11/01/2005","684","703","703","656","171.99M","-2.67%"
"12/01/2005","703","684","722","665","237.79M","2.74%"
"01/01/2006","778","693","797","684","526.30M","10.67%"
"02/01/2006","768","778","900","759","718.43M","-1.20%"
"03/01/2006","825","759","918","759","1.09B","7.32%"
"04/01/2006","834","825","862","778","659.94M","1.14%"
"05/01/2006","684","834","853","665","774.81M","-17.98%"
"06/01/2006","609","684","693","590","614.96M","-10.96%"
"07/01/2006","618","609","675","590","435.89M","1.54%"
"08/01/2006","515","618","628","469","639.88M","-16.67%"
"09/01/2006","506","506","543","478","947.66M","-1.82%"
"10/01/2006","487","497","506","469","345.83M","-3.70%"
"11/01/2006","478","478","487","459","781.91M","-1.92%"
"12/01/2006","487","459","525","459","529.62M","1.96%"
"01/01/2007","572","478","572","459","366.98M","17.31%"
"02/01/2007","656","572","722","572","661.48M","14.76%"
"03/01/2007","581","665","665","572","189.10M","-11.42%"
"04/01/2007","562","581","618","534","212.89M","-3.27%"
"05/01/2007","684","553","684","543","217.34M","21.71%"
"06/01/2007","5,997","5,397","6,297","5,098","159.44M","776.75%"
"07/01/2007","7,197","5,922","7,496","5,922","218.11M","20.01%"
"08/01/2007","5,847","7,047","7,122","4,873","97.21M","-18.76%"
"09/01/2007","6,372","5,847","6,522","5,772","48.05M","8.98%"
"10/01/2007","9,371","6,372","11,095","6,222","573.21M","47.07%"
"11/01/2007","10,120","9,520","11,245","8,996","671.00M","7.99%"
"12/01/2007","11,170","10,120","11,544","9,970","247.20M","10.38%"
"01/01/2008","10,270","11,170","11,470","7,946","193.14M","-8.06%"
"02/01/2008","10,195","10,345","10,420","9,296","154.14M","-0.73%"
"03/01/2008","8,471","9,895","10,420","8,021","119.02M","-16.91%"
"04/01/2008","7,721","8,546","8,546","6,747","142.47M","-8.85%"
"05/01/2008","8,321","7,721","8,921","7,646","185.21M","7.77%"
"06/01/2008","7,496","8,321","8,546","7,272","52.11M","-9.91%"
"07/01/2008","6,372","7,496","7,496","5,322","72.71M","-14.99%"
"08/01/2008","5,322","6,372","6,372","4,948","24.03M","-16.48%"
"09/01/2008","3,898","5,248","5,397","3,224","108.22M","-26.76%"
"10/01/2008","2,624","3,673","3,673","2,624","7.14M","-32.68%"
"11/01/2008","1,080","2,361","2,361","1,080","950.78K","-58.84%"
"12/01/2008","630","974","974","487","222.65M","-41.67%"
"01/01/2009","510","645","705","480","54.45M","-19.05%"
"02/01/2009","540","502","585","487","253.61M","5.88%"
"03/01/2009","517","532","547","502","67.79M","-4.26%"
"04/01/2009","1,649","517","1,912","517","646.79M","218.96%"
"05/01/2009","3,486","1,649","3,898","1,537","1.46B","111.40%"
"06/01/2009","2,774","3,523","3,748","2,361","571.05M","-20.42%"
"07/01/2009","2,849","2,774","2,924","2,361","720.79M","2.70%"
"08/01/2009","2,886","2,886","3,411","2,699","1.01B","1.30%"
"09/01/2009","2,886","2,886","2,999","2,661","239.44M","0.00%"
"10/01/2009","2,099","2,849","2,886","1,537","390.65M","-27.27%"
"11/01/2009","1,537","1,874","2,436","1,499","935.25M","-26.77%"
"12/01/2009","1,447","1,499","1,649","1,364","271.94M","-5.86%"
"01/01/2010","1,392","1,462","1,592","1,384","666.94M","-3.80%"
"02/01/2010","1,280","1,392","1,416","1,232","641.90M","-8.05%"
"03/01/2010","1,176","1,288","1,376","1,168","359.20M","-8.13%"
