"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2005","2,775","2,350","4,925","2,350","24.39M","14.43%"
"11/01/2005","2,525","2,775","2,825","2,350","1.21M","-9.01%"
"12/01/2005","2,275","2,550","2,600","2,200","1.05M","-9.90%"
"01/01/2006","2,675","2,200","3,200","2,200","7.37M","17.58%"
"02/01/2006","2,425","2,700","2,825","2,400","2.01M","-9.35%"
"03/01/2006","2,400","2,400","2,600","2,375","1.03M","-1.03%"
"04/01/2006","2,367","2,367","2,540","2,343","1.03M","-1.38%"
"05/01/2006","2,170","2,417","2,491","2,022","1.75M","-8.32%"
"06/01/2006","1,973","2,170","2,170","1,923","539.80K","-9.08%"
"07/01/2006","2,096","1,948","2,145","1,923","340.10K","6.23%"
"08/01/2006","1,997","2,071","2,096","1,973","311.70K","-4.72%"
"09/01/2006","2,170","1,997","2,343","1,997","1.58M","8.66%"
"10/01/2006","2,022","2,071","2,121","1,973","806.00K","-6.82%"
"11/01/2006","2,219","2,022","2,491","1,997","13.17M","9.74%"
"12/01/2006","2,293","2,219","2,491","2,170","3.93M","3.33%"
"01/01/2007","2,219","2,293","2,318","2,022","1.71M","-3.23%"
"02/01/2007","2,170","2,269","2,466","2,047","7.63M","-2.21%"
"03/01/2007","2,145","2,195","2,219","2,071","380.70K","-1.15%"
"04/01/2007","2,343","2,145","2,441","2,145","4.31M","9.23%"
"05/01/2007","2,367","2,343","2,466","2,195","5.26M","1.02%"
"06/01/2007","2,121","2,343","2,441","2,121","341.60K","-10.39%"
"07/01/2007","2,367","2,121","2,367","2,096","1.19M","11.60%"
"08/01/2007","1,997","2,244","2,417","1,776","10.34M","-15.63%"
"09/01/2007","2,047","1,973","2,071","1,923","657.40K","2.50%"
"10/01/2007","1,997","2,071","2,071","1,923","613.90K","-2.44%"
"11/01/2007","1,899","1,997","1,997","1,874","801.40K","-4.91%"
"12/01/2007","2,145","1,874","2,934","1,874","9.09M","12.95%"
"01/01/2008","1,736","2,096","2,244","1,697","2.26M","-19.07%"
"02/01/2008","1,997","1,766","2,219","1,677","2.48M","15.03%"
"03/01/2008","2,047","2,022","2,259","1,835","3.07M","2.50%"
"04/01/2008","2,022","1,973","2,170","1,923","2.39M","-1.22%"
"05/01/2008","2,096","1,997","2,145","1,973","10.88M","3.66%"
"06/01/2008","2,145","2,145","2,367","1,997","6.22M","2.34%"
"07/01/2008","2,293","2,170","2,318","2,022","1.75M","6.90%"
"08/01/2008","2,417","2,293","2,515","2,293","1.05M","5.41%"
"09/01/2008","1,899","2,417","2,540","1,874","1.05M","-21.43%"
"10/01/2008","888","1,874","1,874","740","603.70K","-53.24%"
