"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2004","14,100","14,800","15,200","13,650","23.09M","-4.73%"
"03/01/2004","12,900","14,000","14,750","12,400","25.98M","-8.51%"
"04/01/2004","14,600","12,850","15,150","12,700","30.08M","13.18%"
"05/01/2004","14,200","14,600","14,600","12,800","23.84M","-2.74%"
"06/01/2004","13,700","14,200","14,200","13,150","13.61M","-3.52%"
"07/01/2004","14,250","13,800","14,950","13,750","18.52M","4.01%"
"08/01/2004","12,750","14,200","14,200","12,100","17.49M","-10.53%"
"09/01/2004","13,000","12,800","13,650","12,700","24.85M","1.96%"
"10/01/2004","12,750","13,000","13,300","12,350","24.92M","-1.92%"
"11/01/2004","13,350","12,750","13,400","12,650","27.06M","4.71%"
"12/01/2004","13,550","13,350","13,750","12,550","28.58M","1.50%"
"01/01/2005","16,850","13,500","17,300","13,200","29.59M","24.35%"
"02/01/2005","15,400","17,000","17,500","15,300","17.31M","-8.61%"
"03/01/2005","16,100","15,600","18,700","15,500","23.51M","4.55%"
"04/01/2005","15,100","16,200","16,750","15,000","8.08M","-6.21%"
"05/01/2005","12,900","15,100","15,200","12,550","30.91M","-14.57%"
"06/01/2005","12,650","12,900","13,100","11,700","34.63M","-1.94%"
"07/01/2005","12,850","12,650","13,350","12,650","21.55M","1.58%"
"08/01/2005","11,000","12,850","12,900","9,600","27.51M","-14.40%"
"09/01/2005","10,900","10,950","11,500","10,300","7.91M","-0.91%"
"10/01/2005","10,200","10,700","11,350","9,700","20.69M","-6.42%"
"11/01/2005","10,950","10,250","10,950","9,900","14.74M","7.35%"
"12/01/2005","11,650","10,950","11,850","10,700","10.29M","6.39%"
"01/01/2006","10,800","11,500","12,550","10,600","15.76M","-7.30%"
"02/01/2006","11,000","10,850","11,250","10,400","12.55M","1.85%"
"03/01/2006","10,500","10,900","11,400","10,050","9.00M","-4.55%"
"04/01/2006","10,550","10,500","11,600","10,300","18.41M","0.48%"
"05/01/2006","9,550","10,550","11,400","9,200","23.38M","-9.48%"
"06/01/2006","9,500","9,700","9,850","9,150","12.01M","-0.52%"
"07/01/2006","9,300","9,400","9,850","9,150","14.73M","-2.11%"
"08/01/2006","10,100","9,300","10,300","8,650","15.40M","8.60%"
"09/01/2006","10,350","10,150","11,050","9,900","12.52M","2.48%"
