,2021,2020,2019,2018
Revenue,124881266000000,114477311000000,110523819000000,95707663000000
Net Income,5605315000000,7647725000000,10880701000000,7791822000000
Total Assets,89964369000000,78191409000000,78647274000000,69097219000000
Total Liabilities,30676161000000,19669001000000,27716571000000,23963986000000
Total Equity,59288208000000,58522408000000,50930703000000,45133233000000
Total Common Shares,1924000000.09,,,
PER,2913,,,
EPS,120.75,,,
PBV,0.9,,,
Book Value Per Share,29342,,,
Price,26425,,,
