"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2011","526","526","575","496","621.72M","0.00%"
"04/01/2011","546","555","555","526","362.34M","3.80%"
"05/01/2011","536","546","546","496","254.71M","-1.83%"
"06/01/2011","526","526","536","506","187.90M","-1.87%"
"07/01/2011","506","526","536","486","385.51M","-3.80%"
"08/01/2011","496","506","506","417","240.00M","-1.98%"
"09/01/2011","431","496","516","422","232.03M","-13.10%"
"10/01/2011","441","431","451","387","275.49M","2.32%"
"11/01/2011","412","427","441","397","217.55M","-6.58%"
"12/01/2011","471","417","496","397","344.40M","14.32%"
"01/01/2012","546","476","595","461","831.49M","15.92%"
"02/01/2012","575","546","645","536","706.38M","5.31%"
"03/01/2012","615","585","655","555","394.10M","6.96%"
"04/01/2012","665","615","714","595","565.25M","8.13%"
"05/01/2012","704","665","734","645","678.53M","5.86%"
"06/01/2012","704","684","714","625","285.93M","0.00%"
"07/01/2012","734","704","774","665","576.32M","4.26%"
"08/01/2012","625","734","744","595","342.80M","-14.85%"
"09/01/2012","615","625","635","575","389.10M","-1.60%"
"10/01/2012","684","615","734","615","615.20M","11.22%"
"11/01/2012","684","684","704","655","267.66M","0.00%"
"12/01/2012","655","674","704","615","275.13M","-4.24%"
"01/01/2013","645","655","665","605","297.92M","-1.53%"
"02/01/2013","655","645","665","635","361.61M","1.55%"
"03/01/2013","645","655","684","615","828.70M","-1.53%"
"04/01/2013","625","655","655","595","492.44M","-3.10%"
"05/01/2013","526","625","625","526","245.26M","-15.84%"
"06/01/2013","516","526","565","461","286.43M","-1.90%"
"07/01/2013","496","516","526","466","149.47M","-3.88%"
"08/01/2013","476","496","516","456","138.75M","-4.03%"
"09/01/2013","496","466","516","466","133.81M","4.20%"
"10/01/2013","486","496","506","476","79.97M","-2.02%"
"11/01/2013","491","486","506","466","119.81M","1.03%"
"12/01/2013","496","486","506","476","108.79M","1.02%"
"01/01/2014","479","476","501","476","170.87M","-3.43%"
"02/01/2014","476","480","483","473","119.34M","-0.63%"
"03/01/2014","493","476","496","456","107.56M","3.57%"
"04/01/2014","461","493","493","456","69.23M","-6.49%"
"05/01/2014","438","460","464","438","46.83M","-4.99%"
"06/01/2014","422","438","445","413","34.83M","-3.65%"
"07/01/2014","437","423","450","421","50.36M","3.55%"
"08/01/2014","433","437","438","418","45.93M","-0.92%"
"09/01/2014","415","430","437","415","61.00M","-4.16%"
"10/01/2014","530","416","540","413","186.58M","27.71%"
"11/01/2014","490","525","530","452","75.45M","-7.55%"
"12/01/2014","555","490","625","490","433.71M","13.27%"
"01/01/2015","595","555","650","550","271.18M","7.21%"
"02/01/2015","525","590","595","510","195.69M","-11.76%"
"03/01/2015","492","525","540","476","182.57M","-6.29%"
"04/01/2015","595","490","600","485","237.10M","20.93%"
"05/01/2015","469","600","600","469","156.94M","-21.18%"
"06/01/2015","445","475","493","438","130.92M","-5.12%"
"07/01/2015","437","446","460","410","52.47M","-1.80%"
"08/01/2015","326","436","444","318","88.87M","-25.40%"
"09/01/2015","309","327","374","283","250.84M","-5.21%"
"10/01/2015","320","318","360","300","852.53M","3.56%"
"11/01/2015","300","320","328","293","360.11M","-6.25%"
"12/01/2015","309","300","335","290","509.92M","3.00%"
"01/01/2016","395","310","400","298","788.50M","27.83%"
"02/01/2016","408","393","483","370","725.17M","3.29%"
"03/01/2016","440","408","457","406","331.70M","7.84%"
"04/01/2016","443","436","605","436","1.44B","0.68%"
"05/01/2016","498","438","520","418","1.25B","12.42%"
"06/01/2016","474","496","515","456","905.35M","-4.82%"
"07/01/2016","480","464","498","460","662.76M","1.27%"
"08/01/2016","450","482","490","442","946.02M","-6.25%"
"09/01/2016","428","450","450","410","192.04M","-4.89%"
"10/01/2016","376","428","434","370","305.72M","-12.15%"
"11/01/2016","382","376","400","320","331.91M","1.60%"
"12/01/2016","338","382","386","330","201.72M","-11.52%"
"01/01/2017","338","338","362","332","172.28M","0.00%"
"02/01/2017","342","338","390","332","290.26M","1.18%"
"03/01/2017","342","342","360","338","131.89M","0.00%"
"04/01/2017","368","346","404","342","457.57M","7.60%"
"05/01/2017","368","368","382","338","170.74M","0.00%"
"06/01/2017","348","364","370","342","69.82M","-5.43%"
"07/01/2017","346","348","364","342","81.37M","-0.57%"
"08/01/2017","326","348","348","324","83.28M","-5.78%"
"09/01/2017","334","326","346","318","61.10M","2.45%"
"10/01/2017","366","334","380","320","264.26M","9.58%"
"11/01/2017","310","366","368","310","180.84M","-15.30%"
"12/01/2017","300","312","320","298","81.65M","-3.23%"
"01/01/2018","314","302","328","300","237.16M","4.67%"
"02/01/2018","312","314","344","304","244.85M","-0.64%"
"03/01/2018","294","312","320","294","118.37M","-5.77%"
"04/01/2018","286","296","308","284","94.61M","-2.72%"
"05/01/2018","254","290","290","244","140.40M","-11.19%"
"06/01/2018","242","254","262","236","59.65M","-4.72%"
"07/01/2018","228","242","244","226","49.68M","-5.79%"
"08/01/2018","218","230","232","216","39.72M","-4.39%"
"09/01/2018","206","218","230","199","63.90M","-5.50%"
"10/01/2018","202","206","224","200","75.29M","-1.94%"
