"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2003","495","525","550","420","169.23M","-5.71%"
"12/01/2003","550","500","625","500","154.61M","11.11%"
"01/01/2004","600","550","650","550","291.98M","9.09%"
"02/01/2004","550","575","625","525","174.43M","-8.33%"
"03/01/2004","575","575","650","550","219.28M","4.55%"
"04/01/2004","575","575","650","550","268.96M","0.00%"
"05/01/2004","525","550","600","450","182.79M","-8.70%"
"06/01/2004","490","500","525","450","43.25M","-6.67%"
"07/01/2004","525","495","550","475","82.74M","7.14%"
"08/01/2004","525","500","550","475","84.25M","0.00%"
"09/01/2004","525","500","575","500","165.54M","0.00%"
"10/01/2004","550","500","600","500","171.36M","4.76%"
"11/01/2004","725","550","725","550","226.18M","31.82%"
"12/01/2004","650","700","750","600","129.50M","-10.34%"
"01/01/2005","710","650","730","620","342.75M","9.23%"
"02/01/2005","850","710","940","700","664.71M","19.72%"
"03/01/2005","860","840","990","800","571.03M","1.18%"
"04/01/2005","680","860","910","610","374.58M","-20.93%"
"05/01/2005","740","700","760","660","295.62M","8.82%"
"06/01/2005","790","740","840","720","540.38M","6.76%"
"07/01/2005","740","790","810","700","456.57M","-6.33%"
"08/01/2005","540","740","740","400","473.28M","-27.03%"
"09/01/2005","560","520","670","500","591.51M","3.70%"
"10/01/2005","530","540","570","520","233.43M","-5.36%"
"11/01/2005","510","520","540","480","109.09M","-3.77%"
"12/01/2005","560","510","610","510","377.14M","9.80%"
"01/01/2006","630","560","660","540","563.45M","12.50%"
"02/01/2006","630","630","710","620","448.89M","0.00%"
"03/01/2006","650","630","690","610","249.77M","3.17%"
"04/01/2006","700","640","740","630","300.31M","7.69%"
"05/01/2006","540","690","720","510","257.59M","-22.86%"
"06/01/2006","520","550","570","480","79.88M","-3.70%"
"07/01/2006","540","520","580","510","96.91M","3.85%"
"08/01/2006","530","540","570","530","66.61M","-1.85%"
"09/01/2006","600","530","650","530","243.23M","13.21%"
"10/01/2006","600","600","650","600","131.90M","0.00%"
"11/01/2006","560","600","630","550","103.48M","-6.67%"
"12/01/2006","580","550","630","550","89.24M","3.57%"
"01/01/2007","570","570","630","520","208.66M","-1.72%"
"02/01/2007","540","570","590","510","95.94M","-5.26%"
"03/01/2007","510","540","550","500","86.27M","-5.56%"
"04/01/2007","540","510","570","510","195.17M","5.88%"
"05/01/2007","570","530","630","520","321.93M","5.56%"
"06/01/2007","600","600","660","540","322.61M","5.26%"
"07/01/2007","590","600","630","580","187.10M","-1.67%"
"08/01/2007","520","590","590","400","167.96M","-11.86%"
"09/01/2007","530","520","550","490","62.25M","1.92%"
"10/01/2007","550","530","580","510","146.26M","3.77%"
"11/01/2007","495","550","550","480","74.39M","-10.00%"
"12/01/2007","490","495","530","475","176.29M","-1.01%"
"01/01/2008","420","490","495","380","57.10M","-14.29%"
"02/01/2008","420","420","440","415","30.14M","0.00%"
"03/01/2008","375","410","415","330","29.39M","-10.71%"
"04/01/2008","315","365","365","295","50.08M","-16.00%"
"05/01/2008","485","330","570","330","249.88M","53.97%"
"06/01/2008","420","485","490","400","50.33M","-13.40%"
"07/01/2008","430","420","465","375","116.91M","2.38%"
"08/01/2008","390","430","435","380","42.05M","-9.30%"
"09/01/2008","300","390","395","280","61.86M","-23.08%"
