"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2006","160","135","175","135","322.14M","14.29%"
"11/01/2006","140","160","165","135","105.79M","-12.50%"
"12/01/2006","140","135","155","135","69.46M","0.00%"
"01/01/2007","127","137","149","119","144.04M","-9.29%"
"02/01/2007","126","130","138","125","38.68M","-0.79%"
"03/01/2007","152","128","168","120","677.34M","20.63%"
"04/01/2007","146","152","158","144","122.84M","-3.95%"
"05/01/2007","145","145","158","144","165.96M","-0.68%"
"06/01/2007","138","145","149","136","30.38M","-4.83%"
"07/01/2007","142","138","159","137","269.46M","2.90%"
"08/01/2007","120","140","140","101","31.34M","-15.49%"
"09/01/2007","132","123","140","120","112.07M","10.00%"
"10/01/2007","123","132","137","120","27.72M","-6.82%"
"11/01/2007","106","120","125","103","10.44M","-13.82%"
"12/01/2007","110","106","119","104","7.02M","3.77%"
"01/01/2008","108","110","115","77","19.36M","-1.82%"
"02/01/2008","90","100","109","88","32.44M","-16.67%"
"03/01/2008","64","88","88","55","16.00M","-28.89%"
"04/01/2008","54","61","62","53","17.46M","-15.63%"
"05/01/2008","56","54","73","53","369.40M","3.70%"
"06/01/2008","56","57","63","54","104.93M","0.00%"
"07/01/2008","50","56","59","50","40.28M","-10.71%"
"08/01/2008","53","51","57","50","161.14M","6.00%"
"09/01/2008","50","53","53","50","45.78M","-5.66%"
"10/01/2008","50","50","50","50","154.00K","0.00%"
"11/01/2008","50","50","50","50","484.00K","0.00%"
"12/01/2008","50","50","50","50","708.50K","0.00%"
"02/01/2009","50","50","50","50","566.00K","0.00%"
"03/01/2009","50","50","50","50","585.00K","0.00%"
"04/01/2009","50","50","53","50","77.53M","0.00%"
"05/01/2009","51","50","55","50","166.45M","2.00%"
"06/01/2009","64","50","80","50","1.38B","25.49%"
"07/01/2009","55","64","67","53","147.99M","-14.06%"
"08/01/2009","56","54","70","51","243.68M","1.82%"
"09/01/2009","55","55","60","52","80.64M","-1.79%"
"10/01/2009","50","55","58","50","62.58M","-9.09%"
"11/01/2009","50","50","54","50","55.79M","0.00%"
"12/01/2009","50","50","51","50","12.48M","0.00%"
"01/01/2010","50","50","53","50","33.17M","0.00%"
