"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2008","3,150","3,275","3,600","2,675","466.27M","-3.82%"
"08/01/2008","2,825","3,075","3,100","2,350","220.62M","-10.32%"
"09/01/2008","2,050","2,825","2,850","1,725","224.32M","-27.43%"
"10/01/2008","1,330","1,900","1,950","1,130","225.80M","-35.12%"
"11/01/2008","1,150","1,350","1,540","840","60.76M","-13.53%"
"12/01/2008","1,090","1,160","1,510","980","32.00M","-5.22%"
"01/01/2009","1,270","1,100","1,480","1,010","80.76M","16.51%"
"02/01/2009","1,510","1,270","1,680","1,230","55.76M","18.90%"
"03/01/2009","1,560","1,500","1,630","1,370","75.38M","3.31%"
"04/01/2009","2,225","1,570","2,600","1,560","142.40M","42.63%"
"05/01/2009","2,725","2,250","2,850","2,175","201.23M","22.47%"
"06/01/2009","2,325","2,750","2,975","2,025","393.40M","-14.68%"
"07/01/2009","2,375","2,250","2,675","2,075","211.92M","2.15%"
"08/01/2009","2,450","2,375","2,800","2,325","325.66M","3.16%"
"09/01/2009","2,450","2,400","2,575","2,250","97.58M","0.00%"
"10/01/2009","2,250","2,475","2,525","1,980","74.57M","-8.16%"
"11/01/2009","2,225","2,100","2,300","2,075","47.09M","-1.11%"
"12/01/2009","2,225","2,175","2,225","2,000","29.03M","0.00%"
"01/01/2010","2,425","2,200","2,600","2,150","249.59M","8.99%"
"02/01/2010","2,225","2,425","2,500","2,150","218.84M","-8.25%"
"03/01/2010","2,325","2,225","2,350","2,175","473.83M","4.49%"
"04/01/2010","3,075","2,325","3,275","2,300","865.65M","32.26%"
"05/01/2010","2,850","3,025","3,050","2,350","374.43M","-7.32%"
"06/01/2010","2,850","2,825","3,150","2,575","326.34M","0.00%"
"07/01/2010","3,300","2,850","3,400","2,750","315.87M","15.79%"
"08/01/2010","3,200","3,325","3,475","3,150","141.55M","-3.03%"
"09/01/2010","3,325","3,225","3,350","3,075","324.21M","3.91%"
"10/01/2010","3,650","3,350","3,700","3,275","489.34M","9.77%"
"11/01/2010","3,900","3,675","4,050","3,575","418.48M","6.85%"
"12/01/2010","4,725","3,925","4,875","3,900","260.36M","21.15%"
"01/01/2011","4,075","4,775","5,550","4,025","295.88M","-13.76%"
"02/01/2011","3,800","4,100","4,325","3,650","260.46M","-6.75%"
"03/01/2011","3,950","3,825","4,200","3,725","363.91M","3.95%"
"04/01/2011","4,050","3,950","4,200","3,875","202.85M","2.53%"
"05/01/2011","4,300","4,075","4,375","3,950","319.49M","6.17%"
"06/01/2011","3,850","4,250","4,300","3,650","144.84M","-10.47%"
"07/01/2011","3,725","3,875","3,900","3,650","171.54M","-3.25%"
"08/01/2011","3,175","3,750","3,750","2,850","177.16M","-14.77%"
"09/01/2011","2,250","3,275","3,425","2,075","124.33M","-29.13%"
"10/01/2011","2,850","2,175","3,050","2,150","181.38M","26.67%"
"11/01/2011","2,175","2,775","2,800","2,000","335.51M","-23.68%"
"12/01/2011","2,175","2,275","2,300","2,050","165.96M","0.00%"
"01/01/2012","2,450","2,175","2,750","2,125","275.99M","12.64%"
"02/01/2012","2,650","2,450","2,750","2,250","543.50M","8.16%"
"03/01/2012","2,525","2,650","2,700","2,475","211.26M","-4.72%"
