"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2004","675","575","750","550","343.01M","17.39%"
"02/01/2004","800","625","900","600","591.44M","18.52%"
"03/01/2004","750","800","1,000","725","646.27M","-6.25%"
"04/01/2004","775","750","850","725","164.11M","3.33%"
"05/01/2004","575","750","775","475","302.99M","-25.81%"
"06/01/2004","600","575","600","500","119.21M","4.35%"
"07/01/2004","700","600","725","575","152.88M","16.67%"
"08/01/2004","700","675","725","675","70.59M","0.00%"
"09/01/2004","850","700","900","675","403.77M","21.43%"
"10/01/2004","850","825","925","800","259.72M","0.00%"
"11/01/2004","900","850","1,050","825","624.73M","5.88%"
"12/01/2004","1,025","875","1,100","875","505.86M","13.89%"
"01/01/2005","1,250","1,020","1,420","1,010","1.92B","21.95%"
"02/01/2005","1,250","1,260","1,340","1,130","911.33M","0.00%"
"03/01/2005","1,320","1,260","1,500","1,230","1.45B","5.60%"
"04/01/2005","1,250","1,330","1,470","1,170","1.43B","-5.30%"
"05/01/2005","1,350","1,250","1,370","1,230","552.40M","8.00%"
"06/01/2005","1,350","1,350","1,420","1,330","885.50M","0.00%"
"07/01/2005","1,280","1,360","1,380","1,250","593.29M","-5.19%"
"08/01/2005","960","1,280","1,310","750","689.45M","-25.00%"
"09/01/2005","920","940","1,030","850","439.28M","-4.17%"
"10/01/2005","920","900","960","880","167.38M","0.00%"
"11/01/2005","860","930","930","810","99.27M","-6.52%"
"12/01/2005","1,080","860","1,110","860","526.76M","25.58%"
"01/01/2006","1,080","1,020","1,160","980","357.21M","0.00%"
"02/01/2006","1,010","1,080","1,080","1,000","126.15M","-6.48%"
"03/01/2006","1,060","1,000","1,080","990","159.77M","4.95%"
"04/01/2006","1,140","1,060","1,180","1,030","505.35M","7.55%"
"05/01/2006","980","1,120","1,140","930","409.38M","-14.04%"
"06/01/2006","880","990","1,020","830","138.54M","-10.20%"
"07/01/2006","890","870","950","850","87.44M","1.14%"
"08/01/2006","920","890","980","870","231.42M","3.37%"
"09/01/2006","900","920","940","890","65.40M","-2.17%"
"10/01/2006","940","890","960","880","166.35M","4.44%"
"11/01/2006","940","950","1,090","930","314.68M","0.00%"
"12/01/2006","940","940","980","910","87.09M","0.00%"
"01/01/2007","870","930","980","850","84.55M","-7.45%"
"02/01/2007","890","880","970","850","165.10M","2.30%"
"03/01/2007","870","890","900","840","59.32M","-2.25%"
"04/01/2007","1,070","860","1,120","850","783.05M","22.99%"
"05/01/2007","1,140","1,070","1,430","1,050","903.31M","6.54%"
"06/01/2007","1,130","1,160","1,280","1,110","628.15M","-0.88%"
"07/01/2007","1,130","1,140","1,290","1,090","777.97M","0.00%"
"08/01/2007","930","1,110","1,120","840","485.05M","-17.70%"
"09/01/2007","940","940","970","880","93.32M","1.08%"
"10/01/2007","920","930","1,020","900","151.29M","-2.13%"
"11/01/2007","840","920","920","820","67.23M","-8.70%"
"12/01/2007","840","830","910","820","44.44M","0.00%"
"01/01/2008","920","840","990","820","336.92M","9.52%"
"02/01/2008","920","910","950","900","107.75M","0.00%"
"03/01/2008","930","920","930","820","78.43M","1.09%"
"04/01/2008","1,170","930","1,180","900","146.98M","25.81%"
"05/01/2008","2,800","1,200","3,300","1,180","1.09B","139.32%"
"06/01/2008","2,525","2,825","2,925","2,400","859.18M","-9.82%"
"07/01/2008","3,075","2,500","3,325","2,400","725.35M","21.78%"
"08/01/2008","2,350","3,150","3,175","2,125","508.69M","-23.58%"
"09/01/2008","1,590","2,300","2,325","990","1.62B","-32.34%"
"10/01/2008","820","1,540","1,600","630","309.62M","-48.43%"
"11/01/2008","800","910","1,380","710","320.10M","-2.44%"
"12/01/2008","740","800","870","730","139.66M","-7.50%"
"01/01/2009","880","760","980","760","162.16M","18.92%"
"02/01/2009","910","860","1,000","850","113.27M","3.41%"
"03/01/2009","890","910","950","850","76.28M","-2.20%"
"04/01/2009","1,130","880","1,170","850","251.31M","26.97%"
"05/01/2009","1,660","1,130","1,940","1,100","431.44M","46.90%"
"06/01/2009","1,740","1,680","2,150","1,640","414.88M","4.82%"
"07/01/2009","1,810","1,740","1,890","1,580","171.36M","4.02%"
"08/01/2009","1,770","1,830","1,950","1,670","201.11M","-2.21%"
"09/01/2009","1,820","1,770","1,820","1,660","58.81M","2.82%"
"10/01/2009","1,800","1,810","1,940","1,700","82.67M","-1.10%"
"11/01/2009","1,740","1,750","1,780","1,660","75.96M","-3.33%"
"12/01/2009","1,740","1,700","1,770","1,700","25.26M","0.00%"
"01/01/2010","2,175","1,650","2,225","1,650","164.11M","25.00%"
"02/01/2010","2,050","2,175","2,175","1,980","21.56M","-5.75%"
"03/01/2010","2,225","2,050","2,375","2,000","89.52M","8.54%"
"04/01/2010","2,325","2,225","2,450","2,225","59.37M","4.49%"
"05/01/2010","1,850","2,325","2,375","1,550","37.19M","-20.43%"
"06/01/2010","1,850","1,820","2,075","1,680","63.52M","0.00%"
"07/01/2010","1,760","1,840","1,890","1,650","74.47M","-4.86%"
"08/01/2010","2,025","1,780","2,175","1,760","330.97M","15.06%"
"09/01/2010","2,325","2,025","2,450","2,025","172.52M","14.81%"
"10/01/2010","2,075","2,325","2,375","1,960","138.78M","-10.75%"
"11/01/2010","1,800","2,050","2,075","1,760","94.24M","-13.25%"
"12/01/2010","1,640","1,800","1,850","1,620","100.58M","-8.89%"
"01/01/2011","1,580","1,650","1,760","1,570","50.10M","-3.66%"
"02/01/2011","1,540","1,590","1,620","1,470","30.49M","-2.53%"
"03/01/2011","1,700","1,540","1,710","1,480","49.23M","10.39%"
"04/01/2011","1,610","1,700","1,730","1,600","44.30M","-5.29%"
"05/01/2011","1,500","1,610","1,640","1,490","61.42M","-6.83%"
"06/01/2011","1,290","1,500","1,510","1,280","41.48M","-14.00%"
"07/01/2011","1,280","1,290","1,360","1,180","91.73M","-0.78%"
"08/01/2011","1,160","1,280","1,300","940","47.72M","-9.38%"
"09/01/2011","900","1,170","1,180","870","49.30M","-22.41%"
"10/01/2011","1,020","880","1,100","780","86.02M","13.33%"
"11/01/2011","1,220","1,030","1,350","970","66.30M","19.61%"
"12/01/2011","1,230","1,240","1,280","1,180","24.07M","0.82%"
"01/01/2012","1,280","1,230","1,320","1,210","25.60M","4.07%"
"02/01/2012","1,290","1,270","1,330","1,230","44.12M","0.78%"
"03/01/2012","1,160","1,270","1,280","1,130","41.92M","-10.08%"
"04/01/2012","1,060","1,180","1,260","1,040","51.21M","-8.62%"
"05/01/2012","1,050","1,070","1,170","1,020","67.01M","-0.94%"
"06/01/2012","1,050","1,050","1,080","910","34.77M","0.00%"
"07/01/2012","1,230","1,050","1,260","1,050","16.03M","17.14%"
