"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2018","440","430","583","400","395.49M","17.33%"
"05/01/2018","498","435","500","390","18.43M","13.07%"
"06/01/2018","475","480","485","413","4.14M","-4.52%"
"07/01/2018","455","450","500","430","7.51M","-4.21%"
"08/01/2018","448","455","470","438","3.77M","-1.65%"
"09/01/2018","500","448","500","425","8.70M","11.73%"
"10/01/2018","430","500","500","415","6.20M","-14.00%"
"11/01/2018","440","423","450","413","31.88M","2.33%"
"12/01/2018","510","440","510","423","83.96M","15.91%"
"01/01/2019","503","510","540","433","65.69M","-1.47%"
"02/01/2019","528","498","663","443","223.64M","4.98%"
"03/01/2019","925","530","925","490","186.77M","75.36%"
"04/01/2019","650","925","935","525","327.91M","-29.73%"
"05/01/2019","688","630","690","518","635.02M","5.77%"
"06/01/2019","660","688","835","600","366.50M","-4.00%"
"07/01/2019","700","660","803","633","571.55M","6.06%"
"08/01/2019","540","695","695","496","537.88M","-22.86%"
"09/01/2019","780","540","1,000","492","833.06M","44.44%"
"10/01/2019","575","780","780","404","1.49B","-26.28%"
"11/01/2019","270","575","810","176","2.10B","-53.04%"
"12/01/2019","210","270","290","190","911.16M","-22.22%"
"01/01/2020","150","210","234","150","443.45M","-28.57%"
"02/01/2020","115","141","168","101","772.33M","-23.33%"
"03/01/2020","79","115","125","58","282.32M","-31.30%"
"04/01/2020","94","76","117","74","335.71M","18.99%"
"05/01/2020","79","93","95","69","97.46M","-15.96%"
"06/01/2020","88","79","100","74","475.81M","11.39%"
"07/01/2020","78","82","88","75","347.84M","-11.36%"
"08/01/2020","108","73","120","69","717.07M","38.46%"
"09/01/2020","296","109","300","96","2.99B","174.07%"
"10/01/2020","220","330","366","152","2.53B","-25.68%"
"11/01/2020","262","206","292","206","1.71B","19.09%"
"12/01/2020","230","260","274","214","1.15B","-12.21%"
"01/01/2021","181","230","246","165","1.60B","-21.30%"
"02/01/2021","169","181","208","167","1.15B","-6.63%"
"03/01/2021","124","169","172","122","547.18M","-26.63%"
"04/01/2021","121","124","138","116","220.12M","-2.42%"
"05/01/2021","128","122","150","118","694.20M","5.79%"
"06/01/2021","180","128","199","126","3.51B","40.63%"
"07/01/2021","147","181","183","133","1.06B","-18.33%"
"08/01/2021","133","147","170","128","695.93M","-9.52%"
"09/01/2021","123","133","151","119","723.97M","-7.52%"
"10/01/2021","122","124","138","114","996.36M","-0.81%"
"11/01/2021","114","114","154","112","1.61B","-6.56%"
"12/01/2021","105","114","127","100","1.20B","-7.89%"
"01/01/2022","92","104","117","89","588.46M","-12.38%"
"02/01/2022","92","92","111","91","610.39M","0.00%"
"03/01/2022","89","92","98","85","186.52M","-3.26%"
"04/01/2022","72","89","92","68","231.11M","-19.10%"
"05/01/2022","65","71","72","59","122.33M","-9.72%"
"06/01/2022","63","65","74","61","305.49M","-3.08%"
"07/01/2022","52","63","69","50","246.10M","-17.46%"
