"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2007","1,896","1,936","2,045","1,876","202.58M","-1.56%"
"01/01/2008","1,746","1,896","2,020","1,556","323.50M","-7.91%"
"02/01/2008","1,666","1,756","1,786","1,656","96.37M","-4.58%"
"03/01/2008","1,397","1,646","1,676","1,217","106.81M","-16.15%"
"04/01/2008","1,357","1,397","1,427","1,227","66.41M","-2.86%"
"05/01/2008","1,407","1,367","1,427","1,297","125.54M","3.68%"
"06/01/2008","1,157","1,407","1,447","1,147","157.52M","-17.77%"
"07/01/2008","1,257","1,157","1,277","1,058","172.30M","8.64%"
"08/01/2008","1,187","1,257","1,377","1,088","370.92M","-5.57%"
"09/01/2008","1,008","1,177","1,197","828","169.62M","-15.08%"
"10/01/2008","798","998","998","609","188.57M","-20.83%"
"11/01/2008","818","828","958","718","152.33M","2.51%"
"12/01/2008","908","818","968","758","282.53M","11.00%"
"01/01/2009","958","928","1,058","908","219.68M","5.51%"
"02/01/2009","918","948","978","908","83.63M","-4.18%"
"03/01/2009","898","908","948","828","498.89M","-2.18%"
"04/01/2009","1,177","918","1,217","898","472.74M","31.07%"
"05/01/2009","1,457","1,177","1,496","1,147","311.33M","23.79%"
"06/01/2009","1,546","1,476","1,736","1,447","218.97M","6.11%"
"07/01/2009","1,676","1,536","1,696","1,536","164.66M","8.41%"
"08/01/2009","1,776","1,686","1,896","1,676","486.26M","5.97%"
"09/01/2009","1,866","1,786","1,916","1,726","172.44M","5.07%"
"10/01/2009","1,786","1,866","1,886","1,706","168.24M","-4.29%"
"11/01/2009","1,876","1,746","1,935","1,716","153.95M","5.04%"
"12/01/2009","1,806","1,886","1,935","1,786","107.44M","-3.73%"
"01/01/2010","1,796","1,806","1,896","1,766","141.59M","-0.55%"
"02/01/2010","1,776","1,786","1,796","1,656","48.19M","-1.11%"
"03/01/2010","1,786","1,756","1,836","1,726","152.78M","0.56%"
"04/01/2010","2,070","1,786","2,145","1,776","708.83M","15.90%"
"05/01/2010","1,965","2,045","2,070","1,746","209.84M","-5.07%"
"06/01/2010","2,020","1,965","2,195","1,896","201.44M","2.80%"
"07/01/2010","2,669","1,995","2,719","1,995","271.25M","32.13%"
"08/01/2010","2,918","2,669","3,018","2,519","167.92M","9.33%"
"09/01/2010","3,192","2,943","3,367","2,893","150.13M","9.39%"
"10/01/2010","3,741","3,193","3,891","3,168","169.06M","17.21%"
"11/01/2010","3,467","3,766","3,766","3,342","248.38M","-7.33%"
"12/01/2010","3,417","3,442","3,592","3,143","120.04M","-1.44%"
"01/01/2011","2,993","3,442","3,567","2,918","191.98M","-12.41%"
