,2021,2020,2019,2018
Revenue,15169552000000,13704021000000,26345260000000,36974074000000.69
Net Income,1615281000000,501047000000,2207117000000,2202600000000.42
Total Assets,101242884000000,104086646000000,99679570000000,82418603000000
Total Liabilities,80637033000000,85012157000000,80996890000000,65510095000000
Total Equity,20605851000000,19074489000000,18682680000000,16908508000000
Total Common Shares,7257000000.87,7257000000.87,7257000000.87,7257000000.87
PER,13.72,,,
EPS,222.56,,,
PBV,1.19,,,
Book Value Per Share,2963,,,
Price,3540,,,
