"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2003","210","195","230","195","152.43M","7.69%"
"01/01/2004","210","205","230","205","93.39M","0.00%"
"02/01/2004","205","205","220","205","29.83M","-2.38%"
"03/01/2004","180","210","210","180","25.36M","-12.20%"
"04/01/2004","185","180","200","180","31.24M","2.78%"
"05/01/2004","160","185","190","150","35.30M","-13.51%"
"06/01/2004","150","160","165","140","35.32M","-6.25%"
"07/01/2004","150","145","160","145","23.43M","0.00%"
"08/01/2004","150","145","155","145","13.19M","0.00%"
"09/01/2004","165","150","175","150","70.42M","10.00%"
"10/01/2004","200","165","205","165","98.37M","21.21%"
"11/01/2004","210","200","210","190","134.04M","5.00%"
"12/01/2004","205","210","210","195","116.38M","-2.38%"
"01/01/2005","200","205","210","200","55.38M","-2.44%"
"02/01/2005","215","200","230","190","103.87M","7.50%"
"03/01/2005","200","210","220","200","118.37M","-6.98%"
"04/01/2005","185","205","220","175","60.27M","-7.50%"
"05/01/2005","190","185","195","175","21.87M","2.70%"
"06/01/2005","185","185","190","180","13.20M","-2.63%"
"07/01/2005","180","180","190","170","15.66M","-2.70%"
"08/01/2005","140","180","180","125","40.23M","-22.22%"
"09/01/2005","130","140","150","120","44.58M","-7.14%"
"10/01/2005","135","130","140","125","38.34M","3.85%"
"11/01/2005","150","130","155","120","50.37M","11.11%"
"12/01/2005","145","150","160","140","33.54M","-3.33%"
"01/01/2006","150","145","165","145","46.87M","3.45%"
"02/01/2006","155","150","165","145","51.24M","3.33%"
"03/01/2006","165","155","170","155","51.51M","6.45%"
"04/01/2006","160","160","175","155","31.35M","-3.03%"
"05/01/2006","155","160","180","145","60.19M","-3.13%"
"06/01/2006","150","150","155","140","11.43M","-3.23%"
"07/01/2006","135","145","150","130","8.73M","-10.00%"
"08/01/2006","140","135","140","130","7.78M","3.70%"
"09/01/2006","140","140","145","130","21.14M","0.00%"
"10/01/2006","140","135","140","130","14.79M","0.00%"
"11/01/2006","150","135","160","135","74.60M","7.14%"
"12/01/2006","165","150","170","145","35.39M","10.00%"
"01/01/2007","160","158","178","153","73.92M","-3.03%"
"02/01/2007","161","155","173","155","17.60M","0.63%"
"03/01/2007","165","163","173","162","29.56M","2.48%"
"04/01/2007","172","165","173","165","17.02M","4.24%"
