,2021,2020,2019,2018
Revenue,12857626000000.59  ,10006173000000.02,9400535000000.48  ,8459247000000.29
Net Income,302273000000.63,17638000000.83,-12724000000,491565000000.94
Total Assets,17760195000000.04,17562816000000.67  ,18352877000000.13,11329090000000.86
Total Liabilities,10620551000000.65,10569419000000.84,11110983000000.2,7337298000000.18
Total Equity,7139643000000.39,6993396000000.84,7241893000000.93,3991792000000.68
Total Common Shares,5554000000,,,
PER,-32.14,,,
EPS,54.42,,,
PBV,0.81,,,
Book Value Per Share,1297,,,
Price,1040,,,
