"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2004","37","36","41","32","1.08M","28.57%"
"02/01/2004","41","41","47","37","1.10M","11.10%"
"03/01/2004","64","47","65","41","4.12M","54.00%"
"04/01/2004","136","65","136","63","19.59M","114.31%"
"05/01/2004","145","128","153","112","26.07M","6.06%"
"06/01/2004","178","149","178","132","42.25M","22.85%"
"07/01/2004","248","178","265","178","84.68M","39.53%"
"08/01/2004","273","248","281","215","129.98M","10.00%"
"09/01/2004","277","273","281","256","83.00M","1.52%"
"10/01/2004","277","277","298","265","28.45M","0.00%"
"11/01/2004","298","273","318","261","18.78M","7.46%"
"12/01/2004","309","302","318","289","108.93M","3.77%"
"01/01/2005","287","318","319","264","141.34M","-7.08%"
"02/01/2005","287","287","291","283","76.20M","0.00%"
"03/01/2005","285","287","295","283","142.53M","-0.66%"
"04/01/2005","281","285","289","280","110.55M","-1.34%"
"05/01/2005","280","281","283","276","99.53M","-0.68%"
"06/01/2005","280","280","285","276","97.30M","0.00%"
"07/01/2005","310","280","314","276","564.51M","10.88%"
"08/01/2005","308","310","316","304","355.23M","-0.61%"
"09/01/2005","310","308","312","304","86.79M","0.62%"
"10/01/2005","314","310","318","308","138.40M","1.23%"
"11/01/2005","319","314","321","310","119.95M","1.82%"
"12/01/2005","333","319","337","318","759.45M","4.17%"
"01/01/2006","342","335","346","333","1.52B","2.86%"
"02/01/2006","346","342","350","340","1.64B","1.11%"
"03/01/2006","376","344","380","344","2.18B","8.79%"
"04/01/2006","371","376","380","367","1.57B","-1.51%"
"05/01/2006","338","371","375","327","2.02B","-8.72%"
"06/01/2006","327","338","338","321","1.08B","-3.37%"
"07/01/2006","342","327","346","314","689.13M","4.65%"
"08/01/2006","335","342","346","327","640.76M","-2.22%"
"09/01/2006","342","335","346","335","906.91M","2.27%"
"10/01/2006","346","338","354","331","793.05M","1.11%"
"11/01/2006","384","346","388","342","1.08B","10.99%"
"12/01/2006","407","380","415","380","264.85M","5.94%"
"01/01/2007","388","407","407","388","10.54M","-4.67%"
"02/01/2007","380","403","407","373","63.13M","-1.96%"
"03/01/2007","392","380","399","373","311.90M","3.00%"
"04/01/2007","487","395","491","395","609.04M","24.27%"
"05/01/2007","586","487","593","479","1.26B","20.31%"
"06/01/2007","578","586","601","570","808.41M","-1.30%"
"07/01/2007","669","574","692","574","1.39B","15.79%"
"08/01/2007","684","665","688","631","520.19M","2.27%"
"09/01/2007","681","684","704","681","327.29M","-0.56%"
"10/01/2007","669","684","688","665","184.48M","-1.68%"
"11/01/2007","639","669","677","627","143.08M","-4.55%"
"12/01/2007","656","643","665","608","352.68M","2.68%"
"01/01/2008","599","646","713","580","504.68M","-8.70%"
"02/01/2008","694","599","723","561","493.93M","15.87%"
"03/01/2008","761","684","789","637","479.87M","9.59%"
