"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2004","177","177","177","169","591.03K","0.00%"
"03/01/2004","200","200","200","177","295.52K","12.99%"
"04/01/2004","262","200","269","166","11.37M","31.00%"
"05/01/2004","223","266","266","196","1.35M","-14.89%"
"06/01/2004","200","216","223","200","568.30K","-10.31%"
"07/01/2004","185","192","216","173","743.66K","-7.50%"
"08/01/2004","196","192","204","189","315.00K","5.95%"
"09/01/2004","231","200","242","196","3.60M","17.86%"
"10/01/2004","281","216","281","216","5.63M","21.65%"
"11/01/2004","266","266","273","266","828.10K","-5.34%"
"12/01/2004","300","269","300","266","2.58M","12.78%"
"01/01/2005","308","302","312","293","2.79M","2.67%"
"02/01/2005","316","304","323","300","7.89M","2.60%"
"03/01/2005","370","323","385","323","4.15M","17.09%"
"04/01/2005","292","366","385","292","2.56M","-21.08%"
"05/01/2005","320","280","364","268","1.03M","9.59%"
"06/01/2005","371","310","383","306","2.93M","15.94%"
"07/01/2005","376","352","385","352","1.20M","1.35%"
"08/01/2005","411","376","420","373","2.57M","9.31%"
"09/01/2005","418","411","418","397","1.12M","1.70%"
"10/01/2005","441","420","443","397","803.29K","5.50%"
"11/01/2005","525","422","525","422","53.55K","19.05%"
"12/01/2005","478","478","478","467","207.79K","-8.95%"
"01/01/2006","502","478","502","478","25.71K","5.02%"
"02/01/2006","484","514","537","467","2.43M","-3.59%"
"03/01/2006","490","496","496","467","1.94M","1.24%"
"04/01/2006","560","490","578","473","8.96M","14.29%"
"05/01/2006","560","566","566","514","1.36M","0.00%"
"06/01/2006","537","537","560","514","1.02M","-4.11%"
"07/01/2006","566","572","572","514","381.30K","5.40%"
"08/01/2006","508","514","554","508","332.03K","-10.25%"
"09/01/2006","543","478","554","467","987.51K","6.89%"
"10/01/2006","537","478","549","467","332.03K","-1.10%"
"11/01/2006","525","525","537","467","552.67K","-2.23%"
"12/01/2006","490","525","537","478","197.07K","-6.67%"
"01/01/2007","478","484","508","467","1.06M","-2.45%"
"02/01/2007","490","490","502","490","327.74K","2.51%"
"03/01/2007","467","490","496","467","655.49K","-4.69%"
"04/01/2007","700","490","770","467","2.08M","49.89%"
