,2022,2021,2020,2019
Revenue,11566652000000,11250580000000,10965623000000,9803153000000
Net Income,4052678000000,4008051000000,3008311000000,2002733000000
Total Assets,141750449000000,132879390000000,112202653000000,100803831000000
Total Liabilities,121116769000000,113734926000000,93994503000000,85262393000000
Total Equity,20633680000000,19144464000000,18208150000000,15541438000000
Total Common Shares,11740000000.92,,,
PER,16.44,,,
EPS,345.18,,,
PBV,3.23,,,
Book Value Per Share,1757,,,
Price,5775,,,
