"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2014","429","342","444","342","1.88B","23.57%"
"02/01/2014","447","432","474","417","1.30B","4.05%"
"03/01/2014","419","447","454","402","1.12B","-6.11%"
"04/01/2014","404","424","427","397","659.55M","-3.55%"
"05/01/2014","417","404","429","392","399.02M","3.07%"
"06/01/2014","377","417","417","367","238.74M","-9.52%"
"07/01/2014","397","377","399","370","179.26M","5.26%"
"08/01/2014","382","397","412","357","150.57M","-3.75%"
"09/01/2014","320","382","390","318","243.04M","-16.23%"
"10/01/2014","345","320","352","293","725.91M","7.75%"
"11/01/2014","323","345","347","308","243.75M","-6.47%"
"12/01/2014","303","325","337","300","186.48M","-6.15%"
"01/01/2015","293","305","310","283","227.56M","-3.28%"
"02/01/2015","290","295","303","275","232.34M","-0.85%"
"03/01/2015","283","290","293","268","201.98M","-2.56%"
"04/01/2015","258","283","283","235","250.56M","-8.77%"
"05/01/2015","290","256","298","237","507.51M","12.50%"
"06/01/2015","280","293","295","253","417.31M","-3.42%"
"07/01/2015","270","280","283","248","256.94M","-3.54%"
"08/01/2015","253","270","270","208","204.86M","-6.42%"
"09/01/2015","243","253","283","233","113.51M","-3.92%"
"10/01/2015","240","242","256","233","261.59M","-1.43%"
"11/01/2015","275","240","283","238","274.91M","14.91%"
"12/01/2015","273","270","275","256","141.59M","-0.90%"
"01/01/2016","248","273","273","245","115.79M","-9.09%"
"02/01/2016","253","251","261","247","126.45M","2.00%"
"03/01/2016","248","253","268","248","96.18M","-1.96%"
"04/01/2016","248","251","253","246","147.02M","0.00%"
"05/01/2016","251","248","268","247","246.57M","1.00%"
"06/01/2016","251","253","258","247","182.70M","0.00%"
"07/01/2016","285","251","308","245","554.99M","13.86%"
"08/01/2016","280","285","303","268","245.09M","-1.74%"
"09/01/2016","265","280","280","248","240.15M","-5.31%"
"10/01/2016","280","268","293","265","221.59M","5.61%"
"11/01/2016","270","280","285","253","129.04M","-3.54%"
"12/01/2016","258","273","278","251","55.22M","-4.59%"
"01/01/2017","278","258","285","253","99.79M","7.69%"
"02/01/2017","280","278","290","270","58.40M","0.89%"
"03/01/2017","280","275","288","273","74.88M","0.00%"
"04/01/2017","278","283","290","273","48.00M","-0.88%"
"05/01/2017","253","278","283","253","239.48M","-8.93%"
"06/01/2017","247","253","256","245","144.16M","-2.36%"
"07/01/2017","248","247","256","240","161.09M","0.40%"
"08/01/2017","248","248","253","246","65.61M","0.00%"
"09/01/2017","234","248","248","230","56.35M","-5.60%"
"10/01/2017","244","234","258","216","314.09M","4.24%"
"11/01/2017","248","244","273","244","191.26M","1.63%"
"12/01/2017","270","245","278","245","240.11M","9.00%"
"01/01/2018","308","273","315","265","290.83M","13.76%"
"02/01/2018","337","313","347","310","284.84M","9.68%"
"03/01/2018","337","337","342","288","128.63M","0.00%"
"04/01/2018","404","340","409","335","168.52M","19.85%"
"05/01/2018","434","407","442","375","212.12M","7.36%"
"06/01/2018","387","434","484","335","206.06M","-10.86%"
"07/01/2018","407","387","427","352","147.71M","5.13%"
"08/01/2018","412","407","434","367","117.33M","1.22%"
"09/01/2018","417","412","434","397","147.90M","1.20%"
"10/01/2018","397","417","427","387","98.20M","-4.76%"
"11/01/2018","419","397","419","392","70.26M","5.63%"
"12/01/2018","417","422","437","397","71.27M","-0.59%"
"01/01/2019","407","417","429","372","135.17M","-2.38%"
"02/01/2019","514","407","514","397","268.95M","26.22%"
"03/01/2019","496","514","531","479","104.25M","-3.38%"
"04/01/2019","506","494","521","479","104.20M","2.00%"
"05/01/2019","476","506","506","447","131.86M","-5.88%"
"06/01/2019","499","479","521","479","44.24M","4.69%"
"07/01/2019","501","499","521","486","88.31M","0.50%"
"08/01/2019","635","501","635","501","235.80M","26.73%"
"09/01/2019","610","635","645","543","175.42M","-3.91%"
"10/01/2019","610","610","635","546","221.91M","0.00%"
"11/01/2019","630","608","643","576","152.82M","3.25%"
"12/01/2019","633","633","672","600","137.75M","0.39%"
"01/01/2020","593","633","653","578","152.34M","-6.27%"
"02/01/2020","610","571","653","566","171.78M","2.93%"
"03/01/2020","581","610","645","449","274.59M","-4.88%"
"04/01/2020","625","576","705","541","275.87M","7.69%"
"05/01/2020","605","625","635","595","100.48M","-3.17%"
"06/01/2020","603","608","665","573","260.08M","-0.41%"
"07/01/2020","645","603","653","586","311.37M","7.00%"
"08/01/2020","687","645","729","618","432.45M","6.54%"
"09/01/2020","739","690","824","655","744.41M","7.58%"
"10/01/2020","794","739","853","715","426.27M","7.38%"
"11/01/2020","754","799","849","754","538.54M","-5.00%"
"12/01/2020","799","754","829","754","560.52M","5.92%"
"01/01/2021","724","799","809","710","583.18M","-9.32%"
"02/01/2021","789","734","829","715","596.76M","8.90%"
"03/01/2021","779","789","794","759","232.64M","-1.26%"
"04/01/2021","789","779","814","749","319.46M","1.27%"
"05/01/2021","769","794","794","759","112.63M","-2.52%"
"06/01/2021","705","769","779","705","177.35M","-8.39%"
"07/01/2021","799","705","814","700","196.58M","13.38%"
"08/01/2021","789","799","809","774","149.79M","-1.24%"
"09/01/2021","770","794","795","769","135.25M","-2.41%"
"10/01/2021","845","770","900","755","473.21M","9.74%"
"11/01/2021","915","845","935","835","239.27M","8.28%"
"12/01/2021","865","915","920","860","116.42M","-5.46%"
"01/01/2022","930","865","985","865","208.63M","7.51%"
"02/01/2022","975","930","1,000","915","351.09M","4.84%"
"03/01/2022","1,020","975","1,070","935","458.18M","4.62%"
"04/01/2022","940","1,020","1,025","900","1.02B","-7.84%"
"05/01/2022","1,020","945","1,020","900","321.27M","8.51%"
"06/01/2022","1,000","1,020","1,020","935","398.90M","-1.96%"
"07/01/2022","905","1,000","1,000","905","438.04M","-9.50%"
"08/01/2022","710","905","905","705","1.69B","-21.55%"
"09/01/2022","710","710","760","700","910.44M","0.00%"
"10/01/2022","740","710","750","630","664.95M","4.23%"
"11/01/2022","785","740","790","720","473.40M","6.08%"
"12/01/2022","755","785","790","730","249.14M","-3.82%"
"01/01/2023","755","755","775","700","378.78M","0.00%"
"02/01/2023","870","760","890","755","42.63M","15.23%"
