"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2013","407","390","424","368","880.47M","4.45%"
"02/01/2013","528","407","546","399","1.74B","29.79%"
"03/01/2013","624","537","632","502","1.70B","18.03%"
"04/01/2013","667","624","693","572","1.26B","6.95%"
"05/01/2013","910","676","936","667","1.71B","36.36%"
"06/01/2013","667","910","918","615","2.46B","-26.67%"
"07/01/2013","684","658","736","537","1.73B","2.60%"
"08/01/2013","476","684","719","386","1.37B","-30.38%"
"09/01/2013","511","485","589","390","2.04B","7.27%"
"10/01/2013","520","520","563","476","1.39B","1.70%"
"11/01/2013","394","511","528","381","1.02B","-24.17%"
"12/01/2013","351","394","420","347","907.51M","-10.99%"
"01/01/2014","468","355","502","348","1.56B","33.33%"
"02/01/2014","576","463","598","463","1.64B","23.15%"
"03/01/2014","658","572","710","559","2.02B","14.28%"
"04/01/2014","645","667","693","576","1.89B","-1.97%"
"05/01/2014","624","650","693","611","804.61M","-3.36%"
"06/01/2014","589","624","624","554","814.41M","-5.56%"
"07/01/2014","702","593","754","576","1.88B","19.12%"
"08/01/2014","784","689","823","680","1.44B","11.73%"
"09/01/2014","723","780","819","710","1.54B","-7.73%"
"10/01/2014","840","728","853","693","1.65B","16.17%"
"11/01/2014","905","836","918","814","958.39M","7.73%"
"12/01/2014","1,273","905","1,343","901","1.46B","40.67%"
"01/01/2015","1,486","1,273","1,507","1,174","1.56B","16.67%"
"02/01/2015","1,572","1,486","1,637","1,455","1.16B","5.83%"
"03/01/2015","1,542","1,581","1,581","1,412","1.02B","-1.93%"
"04/01/2015","1,490","1,533","1,572","1,343","553.50M","-3.37%"
"05/01/2015","1,473","1,351","1,572","1,304","352.67M","-1.16%"
"06/01/2015","1,351","1,473","1,512","1,324","454.39M","-8.27%"
"07/01/2015","1,573","1,355","1,689","1,346","924.34M","16.45%"
"08/01/2015","1,426","1,573","1,640","1,338","538.51M","-9.32%"
"09/01/2015","1,378","1,422","1,489","1,355","450.36M","-3.43%"
"10/01/2015","1,449","1,395","1,573","1,391","962.93M","5.16%"
"11/01/2015","1,426","1,444","1,564","1,426","700.11M","-1.53%"
"12/01/2015","1,484","1,466","1,502","1,426","411.29M","4.05%"
"01/01/2016","1,542","1,489","1,578","1,435","892.01M","3.89%"
"02/01/2016","1,715","1,564","1,777","1,533","897.55M","11.24%"
"03/01/2016","1,782","1,715","1,817","1,671","597.38M","3.89%"
"04/01/2016","2,084","1,795","2,129","1,773","838.34M","16.96%"
"05/01/2016","2,231","2,133","2,364","2,071","1.30B","7.04%"
"06/01/2016","2,266","2,248","2,293","2,097","1.22B","1.59%"
"07/01/2016","2,462","2,240","2,542","2,213","896.04M","8.63%"
"08/01/2016","2,480","2,462","2,542","2,373","834.06M","0.72%"
"09/01/2016","2,328","2,453","2,488","2,115","805.63M","-6.09%"
"10/01/2016","2,328","2,346","2,435","2,275","457.99M","0.00%"
"11/01/2016","2,266","2,328","2,328","1,884","695.03M","-2.67%"
"12/01/2016","2,266","2,266","2,355","2,035","363.95M","0.00%"
