,2021,2020,2019,2018
Revenue,12224128000000.32,16190456000000.52  ,31387389000000.63,48788950000000.84
Net Income,+AC0-1096212000000.05,+AC0-7359679000000.86  ,938142000000.36,3962838000000.03
Total Assets,103601611000000.88,100767648000000.41,122589259000000.35,124391581000000.62
Total Liabilities,93531838000000.51,97571241000000.09,104706851000000.36,106390465000000.56
Total Equity,10069773000000.37,3196407000000.32,17882407000000.99,18001116000000.07
Total Common Shares,28806000000.81,28806000000.81,26315000000.89,13573000000.95
PER,+AC0-7.89,,,
EPS,+AC0-41.66,,,
PBV,1.14,,,
Book Value Per Share,305,,,
Price,348,,,
