"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/1990","636.40","636.40","636.40","636.40","","-0.38%"
"06/01/1990","624.32","624.32","624.32","624.32","","-1.90%"
"07/01/1990","614.41","614.41","614.41","614.41","","-1.59%"
"08/01/1990","571.02","571.02","571.02","571.02","","-7.06%"
"09/01/1990","468.51","468.51","468.51","468.51","","-17.95%"
"10/01/1990","416.49","416.49","416.49","416.49","","-11.10%"
"11/01/1990","382.20","382.20","382.20","382.20","","-8.23%"
"12/01/1990","417.79","417.79","417.79","417.79","","9.31%"
"01/01/1991","383.02","383.02","383.02","383.02","","-8.32%"
"02/01/1991","391.33","391.33","391.33","391.33","","2.17%"
"03/01/1991","408.11","408.11","408.11","408.11","","4.29%"
"04/01/1991","413.71","413.71","413.71","413.71","","1.37%"
"05/01/1991","397.60","397.60","397.60","397.60","","-3.89%"
"06/01/1991","346.27","346.27","346.27","346.27","","-12.91%"
"07/01/1991","339.96","339.96","339.96","339.96","","-1.82%"
"08/01/1991","300.98","300.98","300.98","300.98","","-11.47%"
"09/01/1991","249.19","249.19","249.19","249.19","","-17.21%"
"10/01/1991","226.68","226.68","226.68","226.68","","-9.03%"
"11/01/1991","241.32","241.32","241.32","241.32","","6.46%"
"12/01/1991","247.39","247.39","247.39","247.39","","2.52%"
"01/01/1992","282.24","282.24","282.24","282.24","","14.09%"
"02/01/1992","281.00","281.00","281.00","281.00","","-0.44%"
"03/01/1992","278.69","278.69","278.69","278.69","","-0.82%"
"04/01/1992","277.27","277.27","277.27","277.27","","-0.51%"
"05/01/1992","299.22","299.22","299.22","299.22","","7.92%"
"06/01/1992","313.56","313.56","313.56","313.56","","4.79%"
"07/01/1992","317.19","317.19","317.19","317.19","","1.16%"
"08/01/1992","301.28","301.28","301.28","301.28","","-5.02%"
"09/01/1992","298.39","298.39","298.39","298.39","","-0.96%"
"10/01/1992","307.58","307.58","307.58","307.58","","3.08%"
"11/01/1992","285.60","285.60","285.60","285.60","","-7.15%"
"12/01/1992","274.34","274.34","274.34","274.34","","-3.94%"
"01/01/1993","280.15","280.15","280.15","280.15","219.02M","2.12%"
"02/01/1993","300.38","300.38","300.38","300.38","272.10M","7.22%"
"03/01/1993","310.76","310.76","310.76","310.76","222.29M","3.46%"
"04/01/1993","314.10","314.10","314.10","314.10","136.76M","1.07%"
"05/01/1993","341.85","341.85","341.85","341.85","228.36M","8.83%"
"06/01/1993","360.35","360.35","360.35","360.35","324.09M","5.41%"
"07/01/1993","356.72","356.72","356.72","356.72","318.74M","-1.01%"
"08/01/1993","417.30","417.30","417.30","417.30","344.51M","16.98%"
"09/01/1993","419.96","419.96","419.96","419.96","382.44M","0.64%"
"10/01/1993","466.15","466.15","466.15","466.15","409.73M","11.00%"
"11/01/1993","518.78","518.78","518.78","518.78","501.86M","11.29%"
"12/01/1993","588.77","588.77","588.77","588.77","484.15M","13.49%"
"01/01/1994","592.02","592.02","592.02","592.02","510.99M","0.55%"
"02/01/1994","546.23","546.23","546.23","546.23","380.96M","-7.73%"
"03/01/1994","492.37","492.37","492.37","492.37","427.65M","-9.86%"
"04/01/1994","462.40","462.40","462.40","462.40","340.18M","-6.09%"
"05/01/1994","501.79","501.79","501.79","501.79","422.89M","8.52%"
"06/01/1994","457.30","457.30","457.30","457.30","253.61M","-8.87%"
"07/01/1994","451.08","451.08","451.08","451.08","287.05M","-1.36%"
"08/01/1994","510.26","510.26","510.26","510.26","573.84M","13.12%"
"09/01/1994","497.97","497.97","497.97","497.97","540.78M","-2.41%"
"10/01/1994","523.49","523.49","523.49","523.49","541.51M","5.12%"
"11/01/1994","482.63","482.63","482.63","482.63","409.80M","-7.81%"
"12/01/1994","469.64","469.64","469.64","469.64","603.32M","-2.69%"
"01/01/1995","433.83","433.83","433.83","433.83","560.21M","-7.62%"
"02/01/1995","453.58","453.58","453.58","453.58","1.16B","4.55%"
"03/01/1995","428.64","428.64","428.64","428.64","425.55M","-5.50%"
"04/01/1995","416.45","416.45","416.45","416.45","463.08M","-2.84%"
"05/01/1995","475.28","461.53","461.53","461.53","823.39M","14.13%"
"06/01/1995","492.28","475.33","499.16","475.33","854.59M","3.58%"
"07/01/1995","512.06","492.34","512.82","488.47","1.10B","4.02%"
"08/01/1995","500.75","512.10","519.53","493.20","784.44M","-2.21%"
"09/01/1995","493.24","500.58","502.60","481.96","859.08M","-1.50%"
"10/01/1995","488.45","493.24","502.41","486.27","898.28M","-0.97%"
"11/01/1995","481.73","488.50","490.64","450.90","1.41B","-1.38%"
"12/01/1995","513.85","481.73","516.24","481.73","1.31B","6.67%"
"01/01/1996","578.56","513.85","579.74","510.66","1.62B","12.59%"
"02/01/1996","585.21","579.11","601.97","575.92","1.55B","1.15%"
"03/01/1996","585.71","585.21","593.58","541.10","1.68B","0.09%"
"04/01/1996","623.91","585.69","631.41","585.69","2.34B","6.52%"
"05/01/1996","617.47","624.01","629.64","598.40","1.77B","-1.03%"
"06/01/1996","594.26","617.43","629.86","569.54","1.77B","-3.76%"
"07/01/1996","536.03","594.47","597.42","527.77","2.84B","-9.80%"
"08/01/1996","547.61","536.12","568.77","530.89","2.51B","2.16%"
"09/01/1996","573.94","547.61","574.70","536.41","2.70B","4.81%"
"10/01/1996","568.03","574.30","592.63","563.31","2.92B","-1.03%"
"11/01/1996","613.01","568.03","631.89","567.87","3.67B","7.92%"
"12/01/1996","637.43","613.01","638.56","612.74","4.15B","3.98%"
"01/01/1997","691.12","637.43","695.98","634.14","5.09B","8.42%"
"02/01/1997","705.37","691.12","717.47","677.14","3.61B","2.06%"
"03/01/1997","662.24","705.78","706.66","646.94","3.79B","-6.11%"
"04/01/1997","652.05","662.24","662.24","630.07","4.12B","-1.54%"
"05/01/1997","696.03","652.50","699.72","644.53","5.03B","6.74%"
"06/01/1997","724.56","696.12","724.56","686.87","6.06B","4.10%"
"07/01/1997","721.27","725.03","742.95","707.42","6.98B","-0.45%"
"08/01/1997","493.96","721.50","722.22","491.91","7.66B","-31.52%"
"09/01/1997","546.69","493.60","615.13","475.47","8.29B","10.67%"
"10/01/1997","500.42","546.22","546.22","444.30","8.91B","-8.46%"
"11/01/1997","401.71","500.80","514.72","385.85","6.83B","-19.73%"
"12/01/1997","401.71","401.30","427.89","335.69","10.24B","0.00%"
"01/01/1998","485.94","402.10","486.89","321.08","9.93B","20.97%"
"02/01/1998","482.38","486.02","570.05","437.98","13.78B","-0.73%"
"03/01/1998","541.42","482.38","550.27","482.38","12.68B","12.24%"
"04/01/1998","460.13","543.10","546.68","456.04","8.73B","-15.01%"
"05/01/1998","420.46","460.12","460.12","384.10","4.82B","-8.62%"
