"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/1980","139.99","139.99","139.99","139.99","","6.86%"
"05/01/1980","150.45","150.45","150.45","150.45","","7.47%"
"06/01/1980","157.78","157.78","157.78","157.78","","4.87%"
"07/01/1980","171.81","171.81","171.81","171.81","","8.89%"
"08/01/1980","181.52","181.52","181.52","181.52","","5.65%"
"09/01/1980","187.76","187.76","187.76","187.76","","3.44%"
"10/01/1980","192.78","192.78","192.78","192.78","","2.67%"
"11/01/1980","208.15","208.15","208.15","208.15","","7.97%"
"12/01/1980","202.34","202.34","202.34","202.34","","-2.79%"
"01/01/1981","197.81","197.81","197.81","197.81","","-2.24%"
"02/01/1981","198.01","198.01","198.01","198.01","","0.10%"
"03/01/1981","210.18","210.18","210.18","210.18","","6.15%"
"04/01/1981","216.74","216.74","216.74","216.74","","3.12%"
"05/01/1981","223.47","223.47","223.47","223.47","","3.11%"
"06/01/1981","215.75","215.75","215.75","215.75","","-3.45%"
"07/01/1981","211.63","211.63","211.63","211.63","","-1.91%"
"08/01/1981","195.75","195.75","195.75","195.75","","-7.50%"
"09/01/1981","180.03","180.03","180.03","180.03","","-8.03%"
"10/01/1981","195.24","195.24","195.24","195.24","","8.45%"
"11/01/1981","201.37","201.37","201.37","201.37","","3.14%"
"12/01/1981","195.84","195.84","195.84","195.84","","-2.75%"
"01/01/1982","188.39","188.39","188.39","188.39","","-3.80%"
"02/01/1982","179.43","179.43","179.43","179.43","","-4.76%"
"03/01/1982","175.65","175.65","175.65","175.65","","-2.11%"
"04/01/1982","184.70","184.70","184.70","184.70","","5.15%"
"05/01/1982","178.54","178.54","178.54","178.54","","-3.34%"
"06/01/1982","171.30","171.30","171.30","171.30","","-4.06%"
"07/01/1982","167.35","167.35","167.35","167.35","","-2.31%"
"08/01/1982","177.71","177.71","177.71","177.71","","6.19%"
"09/01/1982","187.65","187.65","189.62","185.53","","5.59%"
"10/01/1982","212.63","212.63","215.29","187.79","","13.31%"
"11/01/1982","232.31","232.31","233.13","212.64","","9.26%"
"12/01/1982","232.41","232.41","241.63","224.91","","0.04%"
"01/01/1983","248.35","248.35","248.35","229.88","","6.86%"
"02/01/1983","260.67","260.67","263.21","246.89","","4.96%"
"03/01/1983","270.80","270.80","272.24","260.62","","3.89%"
"04/01/1983","293.06","293.06","293.06","266.21","","8.22%"
"05/01/1983","308.73","308.73","312.18","288.56","","5.35%"
"06/01/1983","318.70","318.70","329.11","307.10","","3.23%"
"07/01/1983","303.96","303.96","321.58","303.09","","-4.63%"
"08/01/1983","292.42","292.42","304.34","288.42","","-3.80%"
"09/01/1983","296.65","296.65","305.06","292.91","","1.45%"
"10/01/1983","274.55","274.55","297.81","274.16","","-7.45%"
"11/01/1983","285.67","285.67","289.60","269.42","","4.05%"
"12/01/1983","278.60","278.60","286.12","274.36","","-2.47%"
"01/01/1984","268.43","268.43","288.41","267.75","","-3.65%"
"02/01/1984","252.57","252.57","268.79","246.03","","-5.91%"
"03/01/1984","250.78","250.78","255.67","248.49","","-0.71%"
"04/01/1984","247.44","247.44","251.28","240.70","","-1.33%"
"05/01/1984","232.82","232.82","253.45","230.22","","-5.91%"
"06/01/1984","239.65","239.65","241.52","232.80","","2.93%"
"07/01/1984","229.70","229.70","239.77","225.29","","-4.15%"
"08/01/1984","254.64","254.64","255.29","229.62","","10.86%"
"09/01/1984","249.94","249.94","255.87","249.36","","-1.85%"
"10/01/1984","247.03","247.03","252.59","242.20","","-1.16%"
"11/01/1984","242.53","242.53","250.96","242.19","","-1.82%"
"12/01/1984","247.35","247.35","247.41","237.58","","1.99%"
"01/01/1985","278.70","278.70","278.95","245.70","","12.67%"
"02/01/1985","284.17","284.17","288.87","277.69","","1.96%"
"03/01/1985","279.20","279.20","287.96","275.61","","-1.75%"
"04/01/1985","280.56","280.56","284.79","276.21","","0.49%"
"05/01/1985","290.80","290.80","294.80","278.76","","3.65%"
"06/01/1985","296.20","296.20","296.20","286.69","","1.86%"
"07/01/1985","301.29","301.29","307.94","295.54","","1.72%"
"08/01/1985","297.71","297.71","304.58","295.52","","-1.19%"
"09/01/1985","280.33","280.33","297.73","279.48","","-5.84%"
"10/01/1985","292.54","292.54","292.78","276.61","","4.36%"
"11/01/1985","313.95","313.95","314.05","292.50","","7.32%"
"12/01/1985","324.93","324.93","325.61","312.30","","3.50%"
"01/01/1986","335.77","335.77","335.82","322.06","","3.34%"
"02/01/1986","359.53","359.53","360.00","335.77","","7.08%"
"03/01/1986","374.72","374.72","374.74","359.07","","4.22%"
"04/01/1986","383.24","383.24","392.95","368.00","","2.27%"
"05/01/1986","400.16","400.16","400.39","381.45","","4.41%"
"06/01/1986","405.51","405.51","405.51","391.75","","1.34%"
"07/01/1986","371.37","371.37","411.33","369.11","","-8.42%"
"08/01/1986","382.86","382.86","383.22","364.36","","3.09%"
"09/01/1986","350.67","350.67","383.99","342.28","","-8.41%"
"10/01/1986","360.77","360.77","361.60","351.22","","2.88%"
"11/01/1986","359.57","359.57","362.48","349.09","","-0.33%"
"12/01/1986","348.83","348.83","364.65","347.00","","-2.99%"
"01/01/1987","392.06","392.06","402.33","348.81","","12.39%"
"02/01/1987","424.97","424.97","424.97","392.04","","8.39%"
"03/01/1987","430.05","430.05","439.99","422.92","","1.20%"
"04/01/1987","417.81","417.81","439.16","407.35","","-2.85%"
"05/01/1987","416.54","416.54","424.83","404.52","","-0.30%"
"06/01/1987","424.67","424.67","429.89","413.53","","1.95%"
"07/01/1987","434.93","434.93","434.94","423.73","","2.42%"
"08/01/1987","454.97","454.97","455.78","431.17","","4.61%"
"09/01/1987","444.29","444.29","456.27","433.86","","-2.35%"
"10/01/1987","323.30","323.30","453.88","288.49","","-27.23%"
