"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/1995","73.56","83.00","83.00","72.06","","-14.55%"
"11/01/1995","70.47","72.70","73.75","68.09","","-4.20%"
"12/01/1995","82.92","70.95","83.83","70.95","","17.67%"
"01/01/1996","80.71","87.35","91.19","77.97","","-2.67%"
"02/01/1996","71.31","81.19","83.56","70.84","","-11.65%"
"03/01/1996","75.63","70.23","77.92","66.69","","6.06%"
"04/01/1996","103.97","77.56","108.63","77.56","","37.47%"
"05/01/1996","146.91","103.52","164.49","103.52","","41.30%"
"06/01/1996","204.13","149.15","227.70","136.86","","38.95%"
"07/01/1996","152.15","198.63","227.79","146.42","","-25.46%"
"08/01/1996","182.64","158.05","189.39","158.05","","20.04%"
"09/01/1996","165.93","185.52","185.52","157.16","","-9.15%"
"10/01/1996","177.99","165.57","187.56","161.38","","7.27%"
"11/01/1996","187.90","178.64","192.82","178.64","","5.57%"
"12/01/1996","200.50","189.73","200.50","184.26","","6.71%"
"01/01/1997","274.68","197.54","293.33","197.54","","37.00%"
"02/01/1997","329.97","274.63","349.27","274.63","","20.13%"
"03/01/1997","301.30","329.53","334.64","295.39","","-8.69%"
"04/01/1997","321.19","301.23","321.19","282.20","","6.60%"
"05/01/1997","355.64","322.14","366.80","322.14","","10.73%"
"06/01/1997","418.63","355.81","433.12","354.90","","17.71%"
"07/01/1997","506.45","419.09","519.19","419.09","","20.98%"
"08/01/1997","474.80","507.42","570.66","474.80","","-6.25%"
"09/01/1997","498.42","473.13","506.16","452.70","","4.97%"
"10/01/1997","422.26","498.60","571.66","392.86","","-15.28%"
"11/01/1997","328.49","424.25","444.67","328.49","","-22.21%"
"12/01/1997","396.86","328.25","397.08","319.60","","20.81%"
"01/01/1998","284.35","401.30","421.55","263.42","","-28.35%"
"02/01/1998","309.56","295.52","313.14","284.30","","8.87%"
"03/01/1998","325.50","310.32","367.25","310.32","","5.15%"
"04/01/1998","312.37","322.88","330.40","303.08","","-4.03%"
"05/01/1998","191.29","320.23","320.23","182.21","","-38.76%"
"06/01/1998","151.35","185.67","216.47","149.98","","-20.88%"
"07/01/1998","149.65","154.74","194.51","131.71","","-1.12%"
"08/01/1998","65.61","146.60","148.74","61.15","","-56.16%"
"09/01/1998","43.81","63.01","67.11","43.81","","-33.23%"
"10/01/1998","57.54","43.81","64.57","37.74","","31.34%"
"11/01/1998","71.46","57.30","73.80","57.30","","24.19%"
"12/01/1998","58.93","69.90","69.90","58.48","","-17.53%"
"01/01/1999","55.12","58.93","62.93","54.18","","-6.47%"
"02/01/1999","70.03","55.29","76.99","55.04","","27.05%"
"03/01/1999","80.36","72.04","91.11","70.93","","14.75%"
"04/01/1999","91.83","79.98","92.25","66.38","","14.27%"
"05/01/1999","97.64","104.54","104.68","77.70","","6.33%"
"06/01/1999","125.65","98.26","132.80","93.83","","28.69%"
"07/01/1999","116.49","129.66","148.14","114.02","","-7.29%"
"08/01/1999","102.50","117.88","118.50","91.59","","-12.01%"
"09/01/1999","83.12","102.57","105.62","74.10","","-18.91%"
"10/01/1999","97.80","83.59","100.54","83.59","","17.66%"
"11/01/1999","112.36","97.82","124.99","94.93","","14.89%"
"12/01/1999","175.26","112.62","175.26","105.98","","55.98%"
"01/01/2000","172.31","168.56","204.62","167.03","","-1.68%"
"02/01/2000","170.93","174.03","196.64","164.32","","-0.80%"
"03/01/2000","231.88","175.35","255.89","175.35","","35.66%"
"04/01/2000","226.87","232.48","232.48","202.25","","-2.16%"
"05/01/2000","190.21","228.73","230.43","156.56","","-16.16%"
"06/01/2000","171.40","192.41","208.32","162.69","","-9.89%"
"07/01/2000","194.09","172.89","194.09","171.65","","13.24%"
"08/01/2000","239.99","198.85","245.99","198.85","","23.65%"
"09/01/2000","199.08","240.60","240.60","179.98","","-17.05%"
"10/01/2000","189.00","198.46","212.91","182.53","","-5.06%"
"11/01/2000","143.42","192.52","195.60","143.42","","-24.12%"
"12/01/2000","143.29","146.98","163.03","130.32","","-0.09%"
"01/01/2001","173.53","137.95","178.90","130.06","","21.10%"
"02/01/2001","164.76","172.33","186.74","161.12","","-5.05%"
"03/01/2001","169.46","161.04","180.83","159.57","","2.85%"
"04/01/2001","180.68","169.62","182.77","158.29","","6.62%"
"05/01/2001","208.80","186.43","209.60","184.60","","15.56%"
