"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/1990","566.50","561.25","574.00","557.50","","0.98%"
"03/01/1990","595.00","568.00","606.50","564.00","","5.03%"
"04/01/1990","632.50","593.00","639.00","581.50","","6.30%"
"05/01/1990","607.25","631.50","655.00","602.00","","-3.99%"
"06/01/1990","623.50","609.00","624.00","583.00","","2.68%"
"07/01/1990","594.50","634.00","655.00","579.75","","-4.65%"
"08/01/1990","601.00","596.25","631.50","577.25","","1.09%"
"09/01/1990","617.50","601.00","629.00","600.00","","2.75%"
"10/01/1990","592.00","612.25","636.50","589.00","","-4.13%"
"11/01/1990","589.50","592.50","600.00","552.00","","-0.42%"
"12/01/1990","559.75","587.63","605.00","556.50","","-5.05%"
"01/01/1991","566.75","559.75","589.25","545.00","","1.25%"
"02/01/1991","575.75","572.25","582.75","569.00","","1.59%"
"03/01/1991","574.75","578.50","600.50","563.50","","-0.17%"
"04/01/1991","576.50","580.50","601.00","575.50","","0.30%"
"05/01/1991","581.75","577.50","588.50","559.00","","0.91%"
"06/01/1991","528.00","583.50","588.00","522.50","","-9.24%"
"07/01/1991","583.00","533.25","602.00","518.50","","10.42%"
"08/01/1991","579.25","592.00","640.00","514.00","","-0.64%"
"09/01/1991","587.00","579.25","618.00","566.50","","1.34%"
"10/01/1991","558.00","589.00","591.75","539.00","","-4.94%"
"11/01/1991","557.00","560.50","571.50","543.75","","-0.18%"
"12/01/1991","554.75","557.00","568.00","543.00","","-0.40%"
"01/01/1992","572.00","553.50","585.75","548.25","","3.11%"
"02/01/1992","580.25","571.50","585.00","564.50","","1.44%"
"03/01/1992","588.25","581.00","595.50","578.75","","1.38%"
"04/01/1992","574.25","587.50","588.50","566.00","","-2.38%"
"05/01/1992","614.00","573.50","624.00","573.00","","6.92%"
"06/01/1992","600.75","626.00","637.00","590.50","","-2.16%"
"07/01/1992","557.75","587.00","599.00","551.75","","-7.16%"
"08/01/1992","550.50","557.00","564.00","539.00","","-1.30%"
"09/01/1992","540.75","551.50","567.00","536.00","","-1.77%"
"10/01/1992","549.25","539.50","552.00","524.50","","1.57%"
"11/01/1992","563.75","553.50","569.00","542.00","","2.64%"
"12/01/1992","568.75","562.50","579.00","556.25","","0.89%"
"01/01/1993","574.00","567.00","589.00","561.75","","0.92%"
"02/01/1993","577.25","573.50","579.00","562.50","","0.57%"
"03/01/1993","588.25","577.00","595.00","573.00","","1.91%"
"04/01/1993","588.75","592.00","598.00","586.00","","0.08%"
"05/01/1993","608.50","591.50","613.75","586.75","","3.35%"
"06/01/1993","652.50","607.00","654.50","580.50","","7.23%"
"07/01/1993","685.50","643.00","755.00","642.00","","5.06%"
"08/01/1993","659.50","688.00","709.00","651.50","","-3.79%"
"09/01/1993","629.75","661.00","662.00","620.00","","-4.51%"
"10/01/1993","619.75","627.00","627.00","604.00","","-1.59%"
"11/01/1993","671.50","622.00","687.75","613.00","","8.35%"
"12/01/1993","704.25","672.00","706.00","666.00","","4.88%"
"01/01/1994","686.75","701.00","713.00","681.00","336.53K","-2.48%"
"02/01/1994","677.25","686.50","690.75","670.00","384.59K","-1.38%"
"03/01/1994","681.75","678.50","695.00","662.00","172.65K","0.66%"
"04/01/1994","677.25","676.00","678.00","648.00","229.32K","-0.66%"
"05/01/1994","701.00","675.50","732.50","656.25","254.96K","3.51%"
"06/01/1994","658.50","694.00","715.00","653.50","305.57K","-6.06%"
"07/01/1994","588.75","655.00","655.00","573.75","123.44K","-10.59%"
"08/01/1994","581.00","583.50","604.50","568.00","74.53K","-1.32%"
"09/01/1994","536.00","580.75","593.50","535.50","162.18K","-7.75%"
"10/01/1994","542.25","534.75","554.75","534.00","291.95K","1.17%"
"11/01/1994","563.50","542.50","576.50","540.25","276.59K","3.92%"
"12/01/1994","550.75","564.00","569.00","550.25","320.66K","-2.26%"
"01/01/1995","547.50","548.50","559.00","546.25","160.55K","-0.59%"
"02/01/1995","554.75","546.00","561.00","544.50","274.29K","1.32%"
"03/01/1995","574.00","554.00","584.00","551.00","132.68K","3.47%"
"04/01/1995","567.00","573.50","592.00","562.00","186.95K","-1.22%"
"05/01/1995","580.75","567.50","618.50","556.50","305.78K","2.43%"
"06/01/1995","577.50","585.00","616.00","570.00","357.86K","-0.56%"
"07/01/1995","601.25","581.50","648.50","581.50","185.64K","4.11%"
"08/01/1995","613.50","601.25","615.00","574.00","96.68K","2.04%"
"09/01/1995","646.00","614.00","672.50","612.00","242.77K","5.30%"
"10/01/1995","675.25","646.50","679.00","632.00","621.82K","4.53%"
"11/01/1995","686.25","674.00","690.00","665.50","179.85K","1.63%"
"12/01/1995","735.25","689.00","741.75","688.00","487.43K","7.14%"
