"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/1988","1,660.0","1,660.0","1,660.0","1,660.0","","0.61%"
"02/01/1988","1,660.0","1,660.0","1,660.0","1,660.0","","0.00%"
"03/01/1988","1,660.0","1,660.0","1,660.0","1,660.0","","0.00%"
"04/01/1988","1,667.0","1,667.0","1,667.0","1,667.0","","0.42%"
"05/01/1988","1,671.0","1,671.0","1,671.0","1,671.0","","0.24%"
"06/01/1988","1,683.0","1,683.0","1,683.0","1,683.0","","0.72%"
"07/01/1988","1,688.0","1,688.0","1,688.0","1,688.0","","0.30%"
"08/01/1988","1,694.0","1,694.0","1,694.0","1,694.0","","0.36%"
"09/01/1988","1,702.0","1,702.0","1,702.0","1,702.0","","0.47%"
"10/01/1988","1,713.0","1,713.0","1,713.0","1,713.0","","0.65%"
"11/01/1988","1,716.0","1,716.0","1,716.0","1,716.0","","0.18%"
"12/01/1988","1,725.0","1,725.0","1,725.0","1,725.0","","0.52%"
"01/01/1989","1,729.0","1,729.0","1,729.0","1,729.0","","0.23%"
"02/01/1989","1,731.0","1,731.0","1,731.0","1,731.0","","0.12%"
"03/01/1989","1,741.0","1,741.0","1,741.0","1,741.0","","0.58%"
"04/01/1989","1,742.0","1,742.0","1,742.0","1,742.0","","0.06%"
"05/01/1989","1,759.0","1,759.0","1,759.0","1,759.0","","0.98%"
"06/01/1989","1,757.0","1,757.0","1,757.0","1,757.0","","-0.11%"
"07/01/1989","1,765.0","1,765.0","1,765.0","1,765.0","","0.46%"
"08/01/1989","1,775.0","1,775.0","1,775.0","1,775.0","","0.57%"
"09/01/1989","1,774.0","1,774.0","1,774.0","1,774.0","","-0.06%"
"10/01/1989","1,786.0","1,786.0","1,786.0","1,786.0","","0.68%"
"11/01/1989","1,780.0","1,780.0","1,780.0","1,780.0","","-0.34%"
"11/01/1990","1,884.0","1,884.0","1,884.0","1,884.0","","5.84%"
"12/01/1990","1,901.0","1,901.0","1,901.0","1,901.0","","0.90%"
"01/01/1991","1,912.0","1,912.0","1,912.0","1,912.0","","0.58%"
"02/01/1991","1,920.0","1,920.0","1,920.0","1,920.0","","0.42%"
"03/01/1991","1,932.0","1,932.0","1,932.0","1,932.0","","0.63%"
"04/01/1991","1,939.0","1,939.0","1,939.0","1,939.0","","0.36%"
"05/01/1991","1,947.0","1,947.0","1,947.0","1,947.0","","0.41%"
"06/01/1991","1,954.0","1,954.0","1,954.0","1,954.0","","0.36%"
"07/01/1991","1,959.0","1,959.0","1,959.0","1,955.0","","0.26%"
"08/01/1991","1,964.0","1,964.0","1,965.0","1,958.0","","0.26%"
"09/01/1991","1,968.0","1,968.0","1,974.0","1,963.0","","0.20%"
"10/01/1991","1,979.8","1,979.8","1,980.8","1,965.8","","0.60%"
"11/01/1991","1,984.0","1,984.0","1,986.0","1,976.0","","0.21%"
"12/01/1991","1,992.0","1,992.0","1,996.0","1,984.5","","0.40%"
"01/01/1992","2,004.0","2,004.0","2,004.0","1,992.0","","0.60%"
"02/01/1992","2,009.0","2,009.0","2,014.5","2,001.0","","0.25%"
"03/01/1992","2,017.0","2,017.0","2,018.0","2,010.0","","0.40%"
"04/01/1992","2,022.0","2,022.0","2,024.0","2,016.0","","0.25%"
"05/01/1992","2,031.0","2,031.0","2,027.5","2,019.5","","0.45%"
"06/01/1992","2,033.0","2,033.0","2,033.0","2,033.0","","0.10%"
"07/01/1992","2,031.0","2,031.0","2,031.0","2,031.0","","-0.10%"
"08/01/1992","2,031.5","2,031.5","2,031.5","2,031.5","","0.02%"
"09/01/1992","2,038.0","2,038.0","2,038.0","2,038.0","","0.32%"
"10/01/1992","2,045.5","2,045.5","2,045.5","2,045.5","","0.37%"
"11/01/1992","2,064.0","2,064.0","2,064.0","2,064.0","","0.90%"
"12/01/1992","2,067.5","2,067.5","2,067.5","2,067.5","","0.17%"
"01/01/1993","2,065.0","2,065.0","2,065.0","2,065.0","","-0.12%"
"02/01/1993","2,067.0","2,067.0","2,067.0","2,067.0","","0.10%"
"03/01/1993","2,071.0","2,071.0","2,071.0","2,071.0","","0.19%"
"04/01/1993","2,079.5","2,079.5","2,079.5","2,079.5","","0.41%"
