"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/1971","357.56","357.56","357.56","357.56","","-0.04%"
"03/01/1971","357.42","357.42","357.42","357.42","","-0.04%"
"04/01/1971","357.40","357.40","357.40","357.40","","-0.01%"
"05/01/1971","357.40","357.40","357.40","357.40","","0.00%"
"06/01/1971","357.40","357.40","357.40","357.40","","0.00%"
"07/01/1971","357.39","357.39","357.39","357.39","","0.00%"
"08/01/1971","339.85","339.85","339.85","339.85","","-4.91%"
"09/01/1971","335.35","335.35","335.35","335.35","","-1.32%"
"10/01/1971","329.50","329.50","329.50","329.50","","-1.74%"
"11/01/1971","327.44","327.44","327.44","327.44","","-0.63%"
"12/01/1971","315.01","315.01","315.01","315.01","","-3.80%"
"01/01/1972","310.56","310.56","310.56","310.56","","-1.41%"
"02/01/1972","303.40","303.40","303.40","303.40","","-2.31%"
"03/01/1972","304.32","304.32","304.32","304.32","","0.30%"
"04/01/1972","304.88","304.88","304.88","304.88","","0.18%"
"05/01/1972","304.69","304.69","304.69","304.69","","-0.06%"
"06/01/1972","300.93","300.93","300.93","300.93","","-1.23%"
"07/01/1972","301.39","301.39","301.39","301.39","","0.15%"
"08/01/1972","301.11","301.11","301.11","301.11","","-0.09%"
"09/01/1972","301.11","301.11","301.11","301.11","","0.00%"
"10/01/1972","301.11","301.11","301.11","301.11","","0.00%"
"11/01/1972","301.11","301.11","301.11","301.11","","0.00%"
"12/01/1972","301.66","301.66","301.66","301.66","","0.18%"
"01/01/1973","301.39","301.39","301.39","301.39","","-0.09%"
"02/01/1973","265.67","265.67","265.67","265.67","","-11.85%"
"03/01/1973","265.96","265.96","265.96","265.96","","0.11%"
"04/01/1973","265.53","265.53","265.53","265.53","","-0.16%"
"05/01/1973","264.69","264.69","264.69","264.69","","-0.32%"
"06/01/1973","263.16","263.16","263.16","263.16","","-0.58%"
"07/01/1973","263.44","263.44","263.44","263.44","","0.11%"
"08/01/1973","265.39","265.39","265.39","265.39","","0.74%"
"09/01/1973","265.60","265.60","265.60","265.60","","0.08%"
"10/01/1973","266.95","266.95","266.95","266.95","","0.51%"
"11/01/1973","280.11","280.11","280.11","280.11","","4.93%"
"12/01/1973","280.27","280.27","280.27","280.27","","0.06%"
"01/01/1974","298.77","298.77","298.77","298.77","","6.60%"
"02/01/1974","288.43","288.43","288.43","288.43","","-3.46%"
"03/01/1974","276.09","276.09","276.09","276.09","","-4.28%"
