"Date","Price","Open","High","Low","Change %"
"Feb 90","7.9260","7.9260","7.9260","7.9260","1.15%"
"Mar 90","7.9970","7.9970","7.9970","7.9970","0.90%"
"Apr 90","7.9810","7.9810","7.9810","7.9810","-0.20%"
"May 90","7.9030","7.9030","7.9030","7.9030","-0.98%"
"Jun 90","7.8880","7.8880","7.8880","7.8880","-0.19%"
"Jul 90","7.6360","7.6360","7.6360","7.6360","-3.19%"
"Aug 90","7.5120","7.5120","7.5120","7.5120","-1.62%"
"Sep 90","7.2650","7.2650","7.2650","7.2650","-3.29%"
"Oct 90","7.2400","7.2400","7.2400","7.2400","-0.34%"
"Nov 90","7.1620","7.1620","7.1620","7.1620","-1.08%"
"Dec 90","6.6100","6.6100","6.6100","6.6100","-7.71%"
"Jan 91","6.3850","6.3850","6.3850","6.3850","-3.40%"
"Feb 91","6.2660","6.2660","6.2660","6.2660","-1.86%"
"Mar 91","5.9180","5.9180","5.9180","5.9180","-5.55%"
"Apr 91","5.6920","5.6920","5.6920","5.6920","-3.82%"
"May 91","5.7040","5.7040","5.7040","5.7040","0.21%"
"Jun 91","5.6980","5.6980","5.6980","5.6980","-0.11%"
"Jul 91","5.6910","5.6910","5.6910","5.6910","-0.12%"
"Aug 91","5.4900","5.4900","5.4900","5.4900","-3.53%"
"Sep 91","5.2800","5.2800","5.2800","5.2800","-3.83%"
"Oct 91","4.9600","4.9600","4.9600","4.9600","-6.06%"
"Nov 91","4.4800","4.4800","4.4800","4.4800","-9.68%"
"Dec 91","3.9630","3.9630","3.9630","3.9630","-11.54%"
"Jan 92","3.9410","3.9410","3.9410","3.9410","-0.56%"
"Feb 92","4.0230","4.0230","4.0230","4.0230","2.08%"
"Mar 92","4.1440","4.1440","4.1440","4.1440","3.01%"
"Apr 92","3.7710","3.7710","3.7710","3.7710","-9.00%"
"May 92","3.7850","3.7850","3.7850","3.7850","0.37%"
"Jun 92","3.6530","3.6530","3.6530","3.6530","-3.49%"
"Jul 92","3.2130","3.2130","3.2130","3.2130","-12.04%"
"Aug 92","3.1650","3.1650","3.1650","3.1650","-1.49%"
"Sep 92","2.7050","2.7050","2.7050","2.7050","-14.53%"
"Oct 92","3.0180","3.0180","3.0180","3.0180","11.57%"
"Nov 92","3.3750","3.3750","3.3750","3.3750","11.83%"
"Dec 92","3.1360","3.1360","3.1360","3.1360","-7.08%"
"Jan 93","2.9660","2.9660","2.9660","2.9660","-5.42%"
"Feb 93","2.9970","2.9970","2.9970","2.9970","1.05%"
"Mar 93","2.9520","2.9520","2.9520","2.9520","-1.50%"
"Apr 93","2.9510","2.9510","2.9510","2.9510","-0.03%"
"May 93","3.1250","3.1250","3.1250","3.1250","5.90%"
"Jun 93","3.0800","3.0800","3.0800","3.0800","-1.44%"
"Jul 93","3.0950","3.0950","3.0950","3.0950","0.49%"
"Aug 93","3.0650","3.0650","3.0650","3.0650","-0.97%"
"Sep 93","2.9820","2.9820","2.9820","2.9820","-2.71%"
"Oct 93","3.0950","3.0950","3.0950","3.0950","3.79%"
"Nov 93","3.2040","3.2040","3.2040","3.2040","3.52%"
"Dec 93","3.0430","3.0430","3.0430","3.0430","-5.02%"
"Jan 94","3.0330","3.0330","3.0330","3.0330","-0.33%"
"Feb 94","3.4340","3.4340","3.4340","3.4340","13.22%"
"Mar 94","3.5650","3.5650","3.5650","3.5650","3.81%"
"Apr 94","3.9510","3.9510","3.9510","3.9510","10.83%"
"May 94","4.2440","4.2440","4.2440","4.2440","7.42%"
"Jun 94","4.1790","4.1790","4.1790","4.1790","-1.53%"
"Jul 94","4.3640","4.3640","4.3640","4.3640","4.43%"
"Aug 94","4.6460","4.6460","4.6460","4.6460","6.46%"
"Sep 94","4.7790","4.7790","4.7790","4.7790","2.86%"
"Oct 94","5.1520","5.1520","5.1520","5.1520","7.80%"
"Nov 94","5.7070","5.7070","5.7070","5.7070","10.77%"
"Dec 94","5.6300","5.6300","5.6300","5.6300","-1.35%"
"Jan 95","5.9590","5.9590","5.9590","5.9590","5.84%"
"Feb 95","5.9540","5.9540","5.9540","5.9540","-0.08%"
"Mar 95","5.8550","5.8550","5.8550","5.8550","-1.66%"
"Apr 95","5.8660","5.8660","5.8660","5.8660","0.19%"
"May 95","5.7860","5.7860","5.7860","5.7860","-1.36%"
"Jun 95","5.5730","5.5730","5.5730","5.5730","-3.68%"
"Jul 95","5.5720","5.5720","5.5720","5.5720","-0.02%"
"Aug 95","5.4500","5.4500","5.4500","5.4500","-2.19%"
"Sep 95","5.3960","5.3960","5.3960","5.3960","-0.99%"
"Oct 95","5.4620","5.4620","5.4620","5.4620","1.22%"
"Nov 95","5.4820","5.4820","5.4820","5.4820","0.37%"
"Dec 95","5.0830","5.0830","5.0830","5.0830","-7.28%"
"Jan 96","5.0510","5.0510","5.0510","5.0510","-0.63%"
"Feb 96","4.9960","4.9960","4.9960","4.9960","-1.09%"
"Mar 96","5.1260","5.1260","5.1260","5.1260","2.60%"
"Apr 96","5.1350","5.1350","5.1350","5.1350","0.18%"
"May 96","5.1520","5.1520","5.1520","5.1520","0.33%"
"Jun 96","5.1520","5.1520","5.1520","5.1520","0.00%"
"Jul 96","5.3060","5.3060","5.3060","5.3060","2.99%"
"Aug 96","5.2820","5.2820","5.2820","5.2820","-0.45%"
"Sep 96","5.0250","5.0250","5.0250","5.0250","-4.87%"
"Oct 96","5.1440","5.1440","5.1440","5.1440","2.37%"
"Nov 96","5.1190","5.1190","5.1190","5.1190","-0.49%"
"Dec 96","5.1860","5.1860","5.1860","5.1860","1.31%"
"Jan 97","5.1400","5.1400","5.1400","5.1400","-0.89%"
"Feb 97","5.2250","5.2250","5.2250","5.2250","1.65%"
"Mar 97","5.3170","5.3170","5.3170","5.3170","1.76%"
"Apr 97","5.2160","5.2160","5.2160","5.2160","-1.90%"
"May 97","4.9340","4.9340","4.9340","4.9340","-5.41%"
"Jun 97","5.1850","5.1850","5.1850","5.1850","5.09%"
"Jul 97","5.2270","5.2270","5.2270","5.2270","0.81%"
"Aug 97","5.2000","5.2000","5.2000","5.2000","-0.52%"
"Sep 97","5.0730","5.0730","5.0730","5.0730","-2.44%"
"Oct 97","5.1920","5.1920","5.1920","5.1920","2.35%"
"Nov 97","5.1800","5.1800","5.1800","5.1800","-0.23%"
"Dec 97","5.3520","5.3520","5.3520","5.3520","3.32%"
"Jan 98","5.1720","5.1720","5.1720","5.1720","-3.36%"
"Feb 98","5.3080","5.3080","5.3080","5.3080","2.63%"
"Mar 98","5.1250","5.1250","5.1250","5.1250","-3.45%"
"Apr 98","4.9670","4.9670","4.9670","4.9670","-3.08%"
"May 98","5.0070","5.0070","5.0070","5.0070","0.81%"
"Jun 98","5.0830","5.0830","5.0830","5.0830","1.52%"
"Jul 98","5.0690","5.0690","5.0690","5.0690","-0.28%"
"Aug 98","4.8080","4.8080","4.8080","4.8080","-5.15%"
"Sep 98","4.2810","4.2810","4.2810","4.2810","-10.96%"
"Oct 98","4.3020","4.3020","4.3020","4.3020","0.49%"
"Nov 98","4.5020","4.5020","4.5020","4.5020","4.65%"
"Dec 98","4.4680","4.4680","4.4680","4.4680","-0.76%"
"Jan 99","4.4470","4.4470","4.4470","4.4470","-0.47%"
"Feb 99","4.6570","4.6570","4.6570","4.6570","4.72%"
"Mar 99","4.4870","4.4870","4.4870","4.4870","-3.65%"
"Apr 99","4.5320","4.5320","4.5320","4.5320","1.00%"
"May 99","4.6350","4.6350","4.6350","4.6350","2.27%"
"Jun 99","4.7530","4.7530","4.7530","4.7530","2.55%"
"Jul 99","4.7450","4.7450","4.7450","4.7450","-0.17%"
"Aug 99","4.9720","4.9720","4.9720","4.9720","4.78%"
"Sep 99","4.7940","4.7940","4.7940","4.7940","-3.58%"
"Oct 99","5.0930","5.0930","5.0930","5.0930","6.24%"
"Nov 99","5.2850","5.2850","5.2850","5.2850","3.77%"
"Dec 99","5.2070","5.2070","5.2070","5.2070","-1.48%"
"Jan 00","5.6920","5.6920","5.6920","5.6920","9.31%"
"Feb 00","5.7920","5.7920","5.7920","5.7920","1.76%"
"Mar 00","5.8600","5.8600","5.8600","5.8600","1.17%"
"Apr 00","5.8130","5.8130","5.8130","5.8130","-0.80%"
"May 00","5.6130","5.6130","5.6130","5.6130","-3.44%"
"Jun 00","5.8600","5.8600","5.8600","5.8600","4.40%"
"Jul 00","6.2030","6.2030","6.2030","6.2030","5.85%"
"Aug 00","6.3070","6.3070","6.3070","6.3070","1.68%"
"Sep 00","6.2090","6.2090","6.2090","6.2090","-1.55%"
"Oct 00","6.3510","6.3510","6.3510","6.3510","2.29%"
"Nov 00","6.2070","6.2070","6.2070","6.2070","-2.27%"
"Dec 00","5.8690","5.8690","5.8690","5.8690","-5.45%"
"Jan 01","4.9780","4.9780","4.9780","4.9780","-15.18%"
"Feb 01","4.8690","4.8690","4.8690","4.8690","-2.19%"
"Mar 01","4.2910","4.2910","4.2910","4.2910","-11.87%"
"Apr 01","3.8800","3.8800","3.8800","3.8800","-9.58%"
"May 01","3.6420","3.6420","3.6420","3.6420","-6.13%"
"Jun 01","3.6720","3.6720","3.6720","3.6720","0.82%"
"Jul 01","3.5490","3.5490","3.5490","3.5490","-3.35%"
"Aug 01","3.3780","3.3780","3.3780","3.3780","-4.82%"
"Sep 01","2.3700","2.3700","2.3700","2.3700","-29.84%"
"Oct 01","2.0380","2.0380","2.0380","2.0380","-14.01%"
"Nov 01","1.7820","1.7820","1.7820","1.7820","-12.56%"
"Dec 01","1.7360","1.7360","1.7360","1.7360","-2.58%"
"Jan 02","1.7770","1.7770","1.7770","1.7770","2.36%"
