,year,company,pricejan2010,pricemar2023,bvps2023,latitude,longitude,highpricetilldec2022,lowestpricetilldec2022,debtequityratio2023,per2023,revenue2021,netincome2021,equity2021,assets2021
0,2010,Adhi Karya,351,432,1604,-6.2,106.81,3129,385,187,64,11530471000000,55185000000,5599819000000,39900337000000
1,2010,Adaro Energy,1940,2860,2850,-6.2,106.81,3430,449,28,2,59890800000000,14002350000000,66874800000000,113804100000000
2,2010,AKR Corporindo,219,1405,512,-6.2,106.81,1540,219,30,14,25707068000000,1111613000000,9345116000000,23508585000000
3,2010,Barito Pacific,138,790,300,-6.2,106.81,1500,12,189,288,47334900000000,1636800000000,64006200000000,138623250000000
4,2010,Bukit Asam,3660,3830,2274,-3.66,103.77,4560,905,4,3,29261468000000,7909113000000,24059665000000,36123703000000
5,2010,Charoen Pokphand,455,5125,1600,-6.2,106.81,8150,455,34,22,51698249000000,3620961000000,25135288000000,35446051000000
6,2010,Gajah Tunggal,435,620,1981,-6.17830,106.63188,3250,260,82,-21,15344138000000,86364000000,6967889000000,18449075000000
7,2010,Indah Kiat Pulp & Paper,2150,7725,14700,-6.2,106.81,19750,885,63,3,52748850000000,7906200000000,71373000000000,134676600000000
8,2010,Indofood,3759,6250,5890,-6.2,106.81,8825,3759,138,8,99345618000000,7642197000000,86632111000000,179356193000000
9,2010,Indosat,5450,6950,3515,-6.2,106.81,7800,1375,0,11,31388311000000,6750873000000,9180455000000,63397148000000
10,2010,Jasa Marga,1856,3240,2963,-6.2,106.81,7083,1700,279,13,15169552000000,1615281000000,20605851000000,101242884000000
11,2010,Kalbe Farma,272,2080,418,-6.90,107.59,2110,272,5,31,26261194000000,3183621000000,21265877000000,25666635000000
12,2010,Kimia Farma,133,1045,1297,-6.8948,107.6052,5375,146,123,-32,12857626000000,302273000000,7139643000000,17760195000000
13,2010,Mayora Indah,148,2700,525,-6.2,106.81,2970,148,56,46,27904558000000,1186598000000,11118707000000,19917653000000
14,2010,Petrosea,1035,4930,4350,-6.17830,106.63188,4930,285,40,6,6236100000000,505650000000,3892350000000,7991100000000
15,2010,Semen Indonesia,7800,7075,6257,-6.2,106.81,19000,6000,44,19,34957871000000,2021190000000,39782883000000,76504240000000
16,2010,Unilever Indonesia,2200,4080,104,-6.94,107.69,10910,2200,32,30,39545959000000,5758148000000,4321269000000,19068532000000
17,2010,United Tractors,17732,26825,21255,-6.2,106.81,39200,13100,8,4,79460503000000,10279683000000,68559923000000,112561356000000
18,2010,XL Axiata,2218,2080,1961,-6.2,106.81,7199,1800,0,26,26754050000000,1287807000000,20088745000000,72753282000000
